Date,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Open_average,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Open_max,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Open_min,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Open_volatility,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Open_change,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_High_average,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_High_max,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_High_min,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_High_volatility,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_High_change,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Low_average,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Low_max,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Low_min,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Low_volatility,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Low_change,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Close_average,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Close_max,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Close_min,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Close_volatility,Deutsche X-trackers MSCI Emerging Markets Hedged E_etf_Close_change
2016-01-03,17.26,17.26,17.26,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.01,17.01,17.01,0.0,0.0
2016-01-10,16.65,16.65,16.65,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.41,16.41,16.41,0.0,0.0,16.59,16.59,16.59,0.0,0.0
2016-01-17,16.89,16.89,16.89,0.0,0.0,16.95,16.95,16.95,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.91,16.91,16.91,0.0,0.0
2016-01-24,17.26,17.26,17.26,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.24,17.24,17.24,0.0,0.0,17.46,17.46,17.46,0.0,0.0
2016-01-31,17.29,17.29,17.29,0.0,0.0,17.29,17.29,17.29,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.19,17.19,17.19,0.0,0.0
2016-02-07,16.65,16.65,16.65,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.62,16.62,16.62,0.0,0.0,16.74,16.74,16.74,0.0,0.0
2016-02-14,17.34,17.34,17.34,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.33,17.33,17.33,0.0,0.0,17.47,17.47,17.47,0.0,0.0
2016-02-21,17.64,17.64,17.64,0.0,0.0,17.64,17.64,17.64,0.0,0.0,17.43,17.43,17.43,0.0,0.0,17.45,17.45,17.45,0.0,0.0
2016-02-28,18.37,18.37,18.37,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.34,18.34,18.34,0.0,0.0,18.52,18.52,18.52,0.0,0.0
2016-03-06,18.47,18.47,18.47,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.65,18.65,18.65,0.0,0.0
