Date,iShares MSCI Qatar Capped_etf_Open_average,iShares MSCI Qatar Capped_etf_Open_max,iShares MSCI Qatar Capped_etf_Open_min,iShares MSCI Qatar Capped_etf_Open_volatility,iShares MSCI Qatar Capped_etf_Open_change,iShares MSCI Qatar Capped_etf_High_average,iShares MSCI Qatar Capped_etf_High_max,iShares MSCI Qatar Capped_etf_High_min,iShares MSCI Qatar Capped_etf_High_volatility,iShares MSCI Qatar Capped_etf_High_change,iShares MSCI Qatar Capped_etf_Low_average,iShares MSCI Qatar Capped_etf_Low_max,iShares MSCI Qatar Capped_etf_Low_min,iShares MSCI Qatar Capped_etf_Low_volatility,iShares MSCI Qatar Capped_etf_Low_change,iShares MSCI Qatar Capped_etf_Close_average,iShares MSCI Qatar Capped_etf_Close_max,iShares MSCI Qatar Capped_etf_Close_min,iShares MSCI Qatar Capped_etf_Close_volatility,iShares MSCI Qatar Capped_etf_Close_change
2016-01-03,18.03,18.03,18.03,0.0,0.0,18.03,18.03,18.03,0.0,0.0,17.95,17.95,17.95,0.0,0.0,17.96,17.96,17.96,0.0,0.0
2016-01-10,16.9,16.9,16.9,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.59,16.59,16.59,0.0,0.0,16.7,16.7,16.7,0.0,0.0
2016-01-17,15.99,15.99,15.99,0.0,0.0,16.35,16.35,16.35,0.0,0.0,15.99,15.99,15.99,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2016-01-24,17.35,17.35,17.35,0.0,0.0,17.58,17.58,17.58,0.0,0.0,17.35,17.35,17.35,0.0,0.0,17.58,17.58,17.58,0.0,0.0
2016-01-31,17.78,17.78,17.78,0.0,0.0,18.01,18.01,18.01,0.0,0.0,17.78,17.78,17.78,0.0,0.0,17.81,17.81,17.81,0.0,0.0
2016-02-07,17.59,17.59,17.59,0.0,0.0,17.59,17.59,17.59,0.0,0.0,17.59,17.59,17.59,0.0,0.0,17.59,17.59,17.59,0.0,0.0
2016-02-14,18.55,18.55,18.55,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.45,18.45,18.45,0.0,0.0
2016-02-21,18.57,18.57,18.57,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.57,18.57,18.57,0.0,0.0
2016-02-28,19.14,19.14,19.14,0.0,0.0,19.15,19.15,19.15,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.04,19.04,19.04,0.0,0.0
2016-03-06,19.75,19.75,19.75,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.48,19.48,19.48,0.0,0.0,19.48,19.48,19.48,0.0,0.0
2016-03-13,19.69,19.69,19.69,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2016-03-20,19.36,19.36,19.36,0.0,0.0,19.68,19.68,19.68,0.0,0.0,19.29,19.29,19.29,0.0,0.0,19.56,19.56,19.56,0.0,0.0
2016-03-27,20.05,20.05,20.05,0.0,0.0,20.08,20.08,20.08,0.0,0.0,19.63,19.63,19.63,0.0,0.0,20.07,20.07,20.07,0.0,0.0
2016-04-03,19.29,19.29,19.29,0.0,0.0,19.38,19.38,19.38,0.0,0.0,19.29,19.29,19.29,0.0,0.0,19.36,19.36,19.36,0.0,0.0
2016-04-10,19.45,19.45,19.45,0.0,0.0,19.74,19.74,19.74,0.0,0.0,19.35,19.35,19.35,0.0,0.0,19.74,19.74,19.74,0.0,0.0
2016-04-17,19.71,19.71,19.71,0.0,0.0,19.98,19.98,19.98,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.84,19.84,19.84,0.0,0.0
2016-04-24,19.42,19.42,19.42,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.67,19.67,19.67,0.0,0.0
2016-05-01,18.64,18.64,18.64,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.63,18.63,18.63,0.0,0.0
2016-05-08,18.71,18.71,18.71,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.85,18.85,18.85,0.0,0.0
2016-05-15,18.83,18.83,18.83,0.0,0.0,18.83,18.83,18.83,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.73,18.73,18.73,0.0,0.0
2016-05-22,18.3,18.3,18.3,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.48,18.48,18.48,0.0,0.0
2016-05-29,18.2,18.2,18.2,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.2,18.2,18.2,0.0,0.0
2016-06-05,18.63,18.63,18.63,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.63,18.63,18.63,0.0,0.0
2016-06-12,18.61,18.61,18.61,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.61,18.61,18.61,0.0,0.0
2016-06-19,17.72,17.72,17.72,0.0,0.0,17.75,17.75,17.75,0.0,0.0,17.55,17.55,17.55,0.0,0.0,17.58,17.58,17.58,0.0,0.0
2016-06-26,18.04,18.04,18.04,0.0,0.0,18.04,18.04,18.04,0.0,0.0,18.04,18.04,18.04,0.0,0.0,18.04,18.04,18.04,0.0,0.0
2016-07-03,18.0,18.0,18.0,0.0,0.0,18.18,18.18,18.18,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.18,18.18,18.18,0.0,0.0
2016-07-10,19.12,19.12,19.12,0.0,0.0,19.17,19.17,19.17,0.0,0.0,18.92,18.92,18.92,0.0,0.0,19.09,19.09,19.09,0.0,0.0
