Date,GD_stock_Open_average,GD_stock_Open_max,GD_stock_Open_min,GD_stock_Open_volatility,GD_stock_Open_change,GD_stock_High_average,GD_stock_High_max,GD_stock_High_min,GD_stock_High_volatility,GD_stock_High_change,GD_stock_Low_average,GD_stock_Low_max,GD_stock_Low_min,GD_stock_Low_volatility,GD_stock_Low_change,GD_stock_Close_average,GD_stock_Close_max,GD_stock_Close_min,GD_stock_Close_volatility,GD_stock_Close_change,GD_stock_Volume_average,GD_stock_Volume_max,GD_stock_Volume_min,GD_stock_Volume_volatility,GD_stock_Volume_change
2016-01-03,134.27,136.1,130.94,5.159999999999997,-4.680000000000007,135.152,137.35,132.21,5.139999999999986,-3.8899999999999864,132.942,135.53,129.87,5.659999999999997,-4.939999999999998,133.792,136.64,130.19,6.449999999999989,-5.8799999999999955,1818300,2121060,1525876,595184,348877
2016-01-10,130.264,132.52,125.83,6.690000000000012,-5.570000000000007,131.032,132.89,127.11,5.779999999999987,-5.070000000000007,128.386,131.03,124.57,6.460000000000008,-5.5800000000000125,129.572,132.49,125.99,6.500000000000014,-5.299999999999997,1912150,2849330,1400925,1448405,769193
2016-01-17,125.545,126.9,124.38,2.5200000000000102,-1.4000000000000057,126.57249999999999,128.1,125.61,2.489999999999995,-1.6099999999999994,124.0425,126.11,121.61,4.5,-1.3499999999999943,125.5625,127.38,124.18,3.1999999999999886,-1.009999999999991,1642480,2161812,1195840,965972,-448115
2016-01-24,126.482,129.15,124.11,5.040000000000006,3.1400000000000006,130.75,135.34,126.33,9.010000000000005,7.8999999999999915,125.50800000000001,129.15,122.67,6.480000000000004,4.719999999999999,128.68,133.77,124.6,9.170000000000016,9.170000000000016,3132687,5841567,1777792,4063775,1963608
2016-01-31,133.608,135.21,132.3,2.9099999999999966,2.9099999999999966,134.99,136.13,133.94,2.1899999999999977,1.75,132.252,133.84,130.83,3.009999999999991,3.009999999999991,134.09799999999998,135.35,133.53,1.8199999999999932,0.5799999999999841,2368614,2896669,1799121,1097548,-994772
2016-02-07,131.10999999999999,132.53,129.64,2.890000000000015,-2.680000000000007,132.34799999999998,134.37,130.55,3.819999999999993,-2.1799999999999784,129.424,132.5,125.74,6.760000000000005,-3.049999999999983,131.244,133.07,128.58,4.489999999999981,-2.079999999999984,1957245,2580369,1337243,1243126,-219003
2016-02-14,133.3075,134.89,131.48,3.4099999999999966,3.4099999999999966,135.085,136.27,132.59,3.680000000000007,3.4099999999999966,132.7525,134.32,130.25,4.069999999999993,4.069999999999993,134.2125,135.26,131.51,3.75,3.75,1479154,1620483,1359083,261400,-249774
2016-02-21,136.078,137.61,135.0,2.6100000000000136,1.2900000000000205,137.284,138.53,135.63,2.9000000000000057,0.8100000000000023,135.23,137.01,132.85,4.159999999999997,1.299999999999983,136.406,137.24,135.15,2.0900000000000034,0.4900000000000091,1329470,1752840,1091739,661101,543777
2016-02-28,136.608,137.69,135.74,1.9499999999999886,-1.1599999999999966,137.418,138.37,136.52,1.8499999999999943,-1.0300000000000011,135.06199999999998,136.64,133.57,3.069999999999993,-0.6700000000000159,136.228,138.24,135.28,2.960000000000008,-0.9900000000000091,2124934,2944684,1291376,1653308,-1234420
2016-03-06,132.88400000000001,134.55,131.28,3.2700000000000102,0.3800000000000239,133.972,136.04,132.27,3.769999999999982,1.0900000000000034,131.828,134.32,130.63,3.6899999999999977,2.8100000000000023,132.946,135.52,131.4,4.1200000000000045,3.1899999999999977,1823135,2234647,1496187,738460,-603117
