Date,iShares JPMorgan USD EM Bond_etf_Open_average,iShares JPMorgan USD EM Bond_etf_Open_max,iShares JPMorgan USD EM Bond_etf_Open_min,iShares JPMorgan USD EM Bond_etf_Open_volatility,iShares JPMorgan USD EM Bond_etf_Open_change,iShares JPMorgan USD EM Bond_etf_High_average,iShares JPMorgan USD EM Bond_etf_High_max,iShares JPMorgan USD EM Bond_etf_High_min,iShares JPMorgan USD EM Bond_etf_High_volatility,iShares JPMorgan USD EM Bond_etf_High_change,iShares JPMorgan USD EM Bond_etf_Low_average,iShares JPMorgan USD EM Bond_etf_Low_max,iShares JPMorgan USD EM Bond_etf_Low_min,iShares JPMorgan USD EM Bond_etf_Low_volatility,iShares JPMorgan USD EM Bond_etf_Low_change,iShares JPMorgan USD EM Bond_etf_Close_average,iShares JPMorgan USD EM Bond_etf_Close_max,iShares JPMorgan USD EM Bond_etf_Close_min,iShares JPMorgan USD EM Bond_etf_Close_volatility,iShares JPMorgan USD EM Bond_etf_Close_change
2016-03-27,109.91,109.91,109.91,0.0,0.0,110.48,110.48,110.48,0.0,0.0,109.7,109.7,109.7,0.0,0.0,110.21,110.21,110.21,0.0,0.0
2016-04-03,110.0,110.0,110.0,0.0,0.0,110.15,110.15,110.15,0.0,0.0,109.93,109.93,109.93,0.0,0.0,110.05,110.05,110.05,0.0,0.0
2016-04-10,111.4,111.4,111.4,0.0,0.0,111.42,111.42,111.42,0.0,0.0,111.24,111.24,111.24,0.0,0.0,111.35,111.35,111.35,0.0,0.0
2016-04-17,111.49,111.49,111.49,0.0,0.0,111.59,111.59,111.59,0.0,0.0,111.36,111.36,111.36,0.0,0.0,111.36,111.36,111.36,0.0,0.0
2016-04-24,111.9,111.9,111.9,0.0,0.0,111.97,111.97,111.97,0.0,0.0,111.54,111.54,111.54,0.0,0.0,111.63,111.63,111.63,0.0,0.0
2016-05-01,110.79,110.79,110.79,0.0,0.0,111.11,111.11,111.11,0.0,0.0,110.63,110.63,110.63,0.0,0.0,111.09,111.09,111.09,0.0,0.0
2016-05-08,111.9,111.9,111.9,0.0,0.0,111.9,111.9,111.9,0.0,0.0,111.6,111.6,111.6,0.0,0.0,111.85,111.85,111.85,0.0,0.0
2016-05-15,110.62,110.62,110.62,0.0,0.0,110.84,110.84,110.84,0.0,0.0,110.41,110.41,110.41,0.0,0.0,110.48,110.48,110.48,0.0,0.0
2016-05-22,111.23,111.23,111.23,0.0,0.0,111.28,111.28,111.28,0.0,0.0,111.04,111.04,111.04,0.0,0.0,111.04,111.04,111.04,0.0,0.0
2016-05-29,111.79,111.79,111.79,0.0,0.0,112.32,112.32,112.32,0.0,0.0,111.78,111.78,111.78,0.0,0.0,112.0,112.0,112.0,0.0,0.0
2016-06-05,112.65,112.65,112.65,0.0,0.0,112.66,112.66,112.66,0.0,0.0,112.4,112.4,112.4,0.0,0.0,112.41,112.41,112.41,0.0,0.0
2016-06-12,112.14,112.14,112.14,0.0,0.0,112.23,112.23,112.23,0.0,0.0,111.83,111.83,111.83,0.0,0.0,111.84,111.84,111.84,0.0,0.0
2016-06-19,111.51,111.51,111.51,0.0,0.0,112.67,112.67,112.67,0.0,0.0,111.51,111.51,111.51,0.0,0.0,112.31,112.31,112.31,0.0,0.0
2016-06-26,115.14,115.14,115.14,0.0,0.0,115.5,115.5,115.5,0.0,0.0,114.61,114.61,114.61,0.0,0.0,115.06,115.06,115.06,0.0,0.0
2016-07-03,115.67,115.67,115.67,0.0,0.0,116.36,116.36,116.36,0.0,0.0,115.67,115.67,115.67,0.0,0.0,116.36,116.36,116.36,0.0,0.0
2016-07-10,116.35,116.35,116.35,0.0,0.0,116.49,116.49,116.49,0.0,0.0,116.24,116.24,116.24,0.0,0.0,116.37,116.37,116.37,0.0,0.0
2016-07-17,116.33,116.33,116.33,0.0,0.0,116.74,116.74,116.74,0.0,0.0,116.13,116.13,116.13,0.0,0.0,116.2,116.2,116.2,0.0,0.0
2016-07-24,115.9,115.9,115.9,0.0,0.0,116.2,116.2,116.2,0.0,0.0,115.77,115.77,115.77,0.0,0.0,116.19,116.19,116.19,0.0,0.0
2016-07-31,116.1,116.1,116.1,0.0,0.0,116.1,116.1,116.1,0.0,0.0,115.6,115.6,115.6,0.0,0.0,115.61,115.61,115.61,0.0,0.0
2016-08-07,117.17,117.17,117.17,0.0,0.0,117.52,117.52,117.52,0.0,0.0,117.17,117.17,117.17,0.0,0.0,117.5,117.5,117.5,0.0,0.0
2016-08-14,117.75,117.75,117.75,0.0,0.0,117.78,117.78,117.78,0.0,0.0,117.38,117.38,117.38,0.0,0.0,117.42,117.42,117.42,0.0,0.0
2016-08-21,117.49,117.49,117.49,0.0,0.0,117.84,117.84,117.84,0.0,0.0,117.08,117.08,117.08,0.0,0.0,117.11,117.11,117.11,0.0,0.0
2016-08-28,116.96,116.96,116.96,0.0,0.0,116.96,116.96,116.96,0.0,0.0,116.54,116.54,116.54,0.0,0.0,116.92,116.92,116.92,0.0,0.0
2016-09-04,117.21,117.21,117.21,0.0,0.0,117.25,117.25,117.25,0.0,0.0,116.16,116.16,116.16,0.0,0.0,116.28,116.28,116.28,0.0,0.0
2016-09-11,115.83,115.83,115.83,0.0,0.0,115.83,115.83,115.83,0.0,0.0,115.18,115.18,115.18,0.0,0.0,115.35,115.35,115.35,0.0,0.0
2016-09-18,117.69,117.69,117.69,0.0,0.0,117.69,117.69,117.69,0.0,0.0,116.98,116.98,116.98,0.0,0.0,117.24,117.24,117.24,0.0,0.0
2016-09-25,117.11,117.11,117.11,0.0,0.0,117.44,117.44,117.44,0.0,0.0,117.05,117.05,117.05,0.0,0.0,117.21,117.21,117.21,0.0,0.0
2016-10-02,116.15,116.15,116.15,0.0,0.0,116.37,116.37,116.37,0.0,0.0,115.89,115.89,115.89,0.0,0.0,116.35,116.35,116.35,0.0,0.0
2016-10-09,116.23,116.23,116.23,0.0,0.0,116.23,116.23,116.23,0.0,0.0,115.48,115.48,115.48,0.0,0.0,115.54,115.54,115.54,0.0,0.0
2016-10-16,116.13,116.13,116.13,0.0,0.0,116.52,116.52,116.52,0.0,0.0,116.09,116.09,116.09,0.0,0.0,116.48,116.48,116.48,0.0,0.0
2016-10-23,114.98,114.98,114.98,0.0,0.0,115.13,115.13,115.13,0.0,0.0,114.55,114.55,114.55,0.0,0.0,114.57,114.57,114.57,0.0,0.0
2016-10-30,114.23,114.23,114.23,0.0,0.0,114.4,114.4,114.4,0.0,0.0,114.0,114.0,114.0,0.0,0.0,114.02,114.02,114.02,0.0,0.0
2016-11-06,109.16,109.16,109.16,0.0,0.0,110.15,110.15,110.15,0.0,0.0,108.6,108.6,108.6,0.0,0.0,108.71,108.71,108.71,0.0,0.0
2016-11-13,109.72,109.72,109.72,0.0,0.0,109.92,109.92,109.92,0.0,0.0,109.08,109.08,109.08,0.0,0.0,109.1,109.1,109.1,0.0,0.0
2016-11-20,109.68,109.68,109.68,0.0,0.0,109.68,109.68,109.68,0.0,0.0,109.29,109.29,109.29,0.0,0.0,109.31,109.31,109.31,0.0,0.0
2016-11-27,108.2,108.2,108.2,0.0,0.0,108.76,108.76,108.76,0.0,0.0,108.2,108.2,108.2,0.0,0.0,108.33,108.33,108.33,0.0,0.0
2016-12-04,110.16,110.16,110.16,0.0,0.0,110.16,110.16,110.16,0.0,0.0,109.42,109.42,109.42,0.0,0.0,109.43,109.43,109.43,0.0,0.0
2016-12-11,109.22,109.22,109.22,0.0,0.0,109.55,109.55,109.55,0.0,0.0,109.0,109.0,109.0,0.0,0.0,109.11,109.11,109.11,0.0,0.0
2016-12-18,109.98,109.98,109.98,0.0,0.0,110.09,110.09,110.09,0.0,0.0,109.93,109.93,109.93,0.0,0.0,110.09,110.09,110.09,0.0,0.0
2016-12-25,110.36,110.36,110.36,0.0,0.0,110.49,110.49,110.49,0.0,0.0,110.22,110.22,110.22,0.0,0.0,110.22,110.22,110.22,0.0,0.0
2017-01-01,112.15,112.15,112.15,0.0,0.0,112.15,112.15,112.15,0.0,0.0,111.73,111.73,111.73,0.0,0.0,112.09,112.09,112.09,0.0,0.0
2017-01-08,112.37,112.37,112.37,0.0,0.0,112.47,112.47,112.47,0.0,0.0,112.03,112.03,112.03,0.0,0.0,112.16,112.16,112.16,0.0,0.0
2017-01-15,111.45,111.45,111.45,0.0,0.0,111.73,111.73,111.73,0.0,0.0,111.3,111.3,111.3,0.0,0.0,111.7,111.7,111.7,0.0,0.0
2017-01-22,111.83,111.83,111.83,0.0,0.0,112.05,112.05,112.05,0.0,0.0,111.77,111.77,111.77,0.0,0.0,111.97,111.97,111.97,0.0,0.0
2017-01-29,112.34,112.34,112.34,0.0,0.0,112.78,112.78,112.78,0.0,0.0,112.22,112.22,112.22,0.0,0.0,112.69,112.69,112.69,0.0,0.0
2017-02-05,112.73,112.73,112.73,0.0,0.0,113.05,113.05,113.05,0.0,0.0,112.73,112.73,112.73,0.0,0.0,113.01,113.01,113.01,0.0,0.0
2017-02-12,112.79,112.79,112.79,0.0,0.0,112.99,112.99,112.99,0.0,0.0,112.73,112.73,112.73,0.0,0.0,112.95,112.95,112.95,0.0,0.0
2017-02-19,113.7,113.7,113.7,0.0,0.0,113.86,113.86,113.86,0.0,0.0,113.58,113.58,113.58,0.0,0.0,113.83,113.83,113.83,0.0,0.0
2017-02-26,112.87,112.87,112.87,0.0,0.0,113.19,113.19,113.19,0.0,0.0,112.75,112.75,112.75,0.0,0.0,113.15,113.15,113.15,0.0,0.0
2017-03-05,111.99,111.99,111.99,0.0,0.0,112.1,112.1,112.1,0.0,0.0,111.71,111.71,111.71,0.0,0.0,111.92,111.92,111.92,0.0,0.0
2017-03-12,112.84,112.84,112.84,0.0,0.0,113.09,113.09,113.09,0.0,0.0,112.82,112.82,112.82,0.0,0.0,113.04,113.04,113.04,0.0,0.0
2017-03-19,113.63,113.63,113.63,0.0,0.0,113.87,113.87,113.87,0.0,0.0,113.59,113.59,113.59,0.0,0.0,113.74,113.74,113.74,0.0,0.0
2017-03-26,113.69,113.69,113.69,0.0,0.0,113.8,113.8,113.8,0.0,0.0,113.56,113.56,113.56,0.0,0.0,113.7,113.7,113.7,0.0,0.0
2017-04-02,113.72,113.72,113.72,0.0,0.0,113.87,113.87,113.87,0.0,0.0,113.58,113.58,113.58,0.0,0.0,113.65,113.65,113.65,0.0,0.0
2017-04-09,114.3,114.3,114.3,0.0,0.0,114.34,114.34,114.34,0.0,0.0,114.08,114.08,114.08,0.0,0.0,114.11,114.11,114.11,0.0,0.0
2017-04-16,114.5,114.5,114.5,0.0,0.0,114.61,114.61,114.61,0.0,0.0,114.45,114.45,114.45,0.0,0.0,114.54,114.54,114.54,0.0,0.0
2017-04-23,114.9,114.9,114.9,0.0,0.0,115.2,115.2,115.2,0.0,0.0,114.82,114.82,114.82,0.0,0.0,115.2,115.2,115.2,0.0,0.0
2017-04-30,114.3,114.3,114.3,0.0,0.0,114.54,114.54,114.54,0.0,0.0,114.18,114.18,114.18,0.0,0.0,114.47,114.47,114.47,0.0,0.0
2017-05-07,114.74,114.74,114.74,0.0,0.0,114.98,114.98,114.98,0.0,0.0,114.73,114.73,114.73,0.0,0.0,114.97,114.97,114.97,0.0,0.0
2017-05-14,114.78,114.78,114.78,0.0,0.0,115.0,115.0,115.0,0.0,0.0,114.75,114.75,114.75,0.0,0.0,114.92,114.92,114.92,0.0,0.0
2017-05-21,115.42,115.42,115.42,0.0,0.0,115.49,115.49,115.49,0.0,0.0,115.37,115.37,115.37,0.0,0.0,115.49,115.49,115.49,0.0,0.0
2017-05-28,115.55,115.55,115.55,0.0,0.0,116.02,116.02,116.02,0.0,0.0,115.44,115.44,115.44,0.0,0.0,116.01,116.01,116.01,0.0,0.0
2017-06-04,115.9,115.9,115.9,0.0,0.0,115.9,115.9,115.9,0.0,0.0,115.49,115.49,115.49,0.0,0.0,115.53,115.53,115.53,0.0,0.0
2017-06-11,115.66,115.66,115.66,0.0,0.0,115.79,115.79,115.79,0.0,0.0,115.49,115.49,115.49,0.0,0.0,115.57,115.57,115.57,0.0,0.0
2017-06-18,115.26,115.26,115.26,0.0,0.0,115.32,115.32,115.32,0.0,0.0,115.12,115.12,115.12,0.0,0.0,115.3,115.3,115.3,0.0,0.0
2017-06-25,114.62,114.62,114.62,0.0,0.0,114.66,114.66,114.66,0.0,0.0,114.33,114.33,114.33,0.0,0.0,114.36,114.36,114.36,0.0,0.0
2017-07-02,112.68,112.68,112.68,0.0,0.0,113.05,113.05,113.05,0.0,0.0,112.6,112.6,112.6,0.0,0.0,112.9,112.9,112.9,0.0,0.0
2017-07-09,114.58,114.58,114.58,0.0,0.0,114.67,114.67,114.67,0.0,0.0,114.43,114.43,114.43,0.0,0.0,114.48,114.48,114.48,0.0,0.0
2017-07-16,115.27,115.27,115.27,0.0,0.0,115.41,115.41,115.41,0.0,0.0,115.17,115.17,115.17,0.0,0.0,115.29,115.29,115.29,0.0,0.0
2017-07-23,115.13,115.13,115.13,0.0,0.0,115.2,115.2,115.2,0.0,0.0,115.0,115.0,115.0,0.0,0.0,115.17,115.17,115.17,0.0,0.0
2017-07-30,115.35,115.35,115.35,0.0,0.0,115.36,115.36,115.36,0.0,0.0,115.08,115.08,115.08,0.0,0.0,115.23,115.23,115.23,0.0,0.0
2017-08-06,114.84,114.84,114.84,0.0,0.0,115.05,115.05,115.05,0.0,0.0,114.79,114.79,114.79,0.0,0.0,114.97,114.97,114.97,0.0,0.0
2017-08-13,115.46,115.46,115.46,0.0,0.0,115.69,115.69,115.69,0.0,0.0,115.41,115.41,115.41,0.0,0.0,115.55,115.55,115.55,0.0,0.0
2017-08-20,116.22,116.22,116.22,0.0,0.0,116.4,116.4,116.4,0.0,0.0,116.18,116.18,116.18,0.0,0.0,116.38,116.38,116.38,0.0,0.0
2017-08-27,116.58,116.58,116.58,0.0,0.0,116.67,116.67,116.67,0.0,0.0,116.38,116.38,116.38,0.0,0.0,116.53,116.53,116.53,0.0,0.0
2017-09-03,117.46,117.46,117.46,0.0,0.0,117.46,117.46,117.46,0.0,0.0,117.12,117.12,117.12,0.0,0.0,117.26,117.26,117.26,0.0,0.0
2017-09-10,117.03,117.03,117.03,0.0,0.0,117.08,117.08,117.08,0.0,0.0,116.93,116.93,116.93,0.0,0.0,117.06,117.06,117.06,0.0,0.0
2017-09-17,116.46,116.46,116.46,0.0,0.0,116.48,116.48,116.48,0.0,0.0,116.32,116.32,116.32,0.0,0.0,116.44,116.44,116.44,0.0,0.0
2017-09-24,116.25,116.25,116.25,0.0,0.0,116.51,116.51,116.51,0.0,0.0,116.11,116.11,116.11,0.0,0.0,116.42,116.42,116.42,0.0,0.0
2017-10-01,115.74,115.74,115.74,0.0,0.0,115.86,115.86,115.86,0.0,0.0,115.57,115.57,115.57,0.0,0.0,115.69,115.69,115.69,0.0,0.0
2017-10-08,116.32,116.32,116.32,0.0,0.0,116.46,116.46,116.46,0.0,0.0,116.27,116.27,116.27,0.0,0.0,116.42,116.42,116.42,0.0,0.0
2017-10-15,116.27,116.27,116.27,0.0,0.0,116.27,116.27,116.27,0.0,0.0,115.99,115.99,115.99,0.0,0.0,116.04,116.04,116.04,0.0,0.0
2017-10-22,115.42,115.42,115.42,0.0,0.0,115.86,115.86,115.86,0.0,0.0,115.28,115.28,115.28,0.0,0.0,115.8,115.8,115.8,0.0,0.0
2017-10-29,115.5,115.5,115.5,0.0,0.0,115.69,115.69,115.69,0.0,0.0,115.35,115.35,115.35,0.0,0.0,115.42,115.42,115.42,0.0,0.0
2017-11-05,114.36,114.36,114.36,0.0,0.0,114.47,114.47,114.47,0.0,0.0,114.18,114.18,114.18,0.0,0.0,114.45,114.45,114.45,0.0,0.0
2017-11-12,115.12,115.12,115.12,0.0,0.0,115.33,115.33,115.33,0.0,0.0,115.07,115.07,115.07,0.0,0.0,115.24,115.24,115.24,0.0,0.0
2017-11-19,115.87,115.87,115.87,0.0,0.0,115.9,115.9,115.9,0.0,0.0,115.78,115.78,115.78,0.0,0.0,115.82,115.82,115.82,0.0,0.0
2017-11-26,115.35,115.35,115.35,0.0,0.0,115.58,115.58,115.58,0.0,0.0,115.2,115.2,115.2,0.0,0.0,115.42,115.42,115.42,0.0,0.0
2017-12-03,115.59,115.59,115.59,0.0,0.0,115.69,115.69,115.69,0.0,0.0,115.41,115.41,115.41,0.0,0.0,115.53,115.53,115.53,0.0,0.0
2017-12-10,116.03,116.03,116.03,0.0,0.0,116.17,116.17,116.17,0.0,0.0,115.84,115.84,115.84,0.0,0.0,116.05,116.05,116.05,0.0,0.0
2017-12-17,115.43,115.43,115.43,0.0,0.0,115.8,115.8,115.8,0.0,0.0,115.41,115.41,115.41,0.0,0.0,115.74,115.74,115.74,0.0,0.0
2017-12-24,116.04,116.04,116.04,0.0,0.0,116.22,116.22,116.22,0.0,0.0,115.87,115.87,115.87,0.0,0.0,116.1,116.1,116.1,0.0,0.0
2017-12-31,116.82,116.82,116.82,0.0,0.0,116.86,116.86,116.86,0.0,0.0,116.57,116.57,116.57,0.0,0.0,116.72,116.72,116.72,0.0,0.0
