Date,iShares JPMorgan USD EM Bond_etf_Open_average,iShares JPMorgan USD EM Bond_etf_Open_max,iShares JPMorgan USD EM Bond_etf_Open_min,iShares JPMorgan USD EM Bond_etf_Open_volatility,iShares JPMorgan USD EM Bond_etf_Open_change,iShares JPMorgan USD EM Bond_etf_High_average,iShares JPMorgan USD EM Bond_etf_High_max,iShares JPMorgan USD EM Bond_etf_High_min,iShares JPMorgan USD EM Bond_etf_High_volatility,iShares JPMorgan USD EM Bond_etf_High_change,iShares JPMorgan USD EM Bond_etf_Low_average,iShares JPMorgan USD EM Bond_etf_Low_max,iShares JPMorgan USD EM Bond_etf_Low_min,iShares JPMorgan USD EM Bond_etf_Low_volatility,iShares JPMorgan USD EM Bond_etf_Low_change,iShares JPMorgan USD EM Bond_etf_Close_average,iShares JPMorgan USD EM Bond_etf_Close_max,iShares JPMorgan USD EM Bond_etf_Close_min,iShares JPMorgan USD EM Bond_etf_Close_volatility,iShares JPMorgan USD EM Bond_etf_Close_change
2016-01-03,105.55,105.55,105.55,0.0,0.0,105.81,105.81,105.81,0.0,0.0,105.31,105.31,105.31,0.0,0.0,105.35,105.35,105.35,0.0,0.0
2016-01-10,103.6,103.6,103.6,0.0,0.0,104.24,104.24,104.24,0.0,0.0,103.12,103.12,103.12,0.0,0.0,103.36,103.36,103.36,0.0,0.0
2016-01-17,104.45,104.45,104.45,0.0,0.0,104.79,104.79,104.79,0.0,0.0,104.17,104.17,104.17,0.0,0.0,104.55,104.55,104.55,0.0,0.0
2016-01-24,106.11,106.11,106.11,0.0,0.0,106.11,106.11,106.11,0.0,0.0,105.61,105.61,105.61,0.0,0.0,105.82,105.82,105.82,0.0,0.0
2016-01-31,105.12,105.12,105.12,0.0,0.0,105.27,105.27,105.27,0.0,0.0,105.1,105.1,105.1,0.0,0.0,105.13,105.13,105.13,0.0,0.0
2016-02-07,104.41,104.41,104.41,0.0,0.0,104.83,104.83,104.83,0.0,0.0,104.28,104.28,104.28,0.0,0.0,104.71,104.71,104.71,0.0,0.0
2016-02-14,106.18,106.18,106.18,0.0,0.0,106.18,106.18,106.18,0.0,0.0,105.75,105.75,105.75,0.0,0.0,106.02,106.02,106.02,0.0,0.0
2016-02-21,107.27,107.27,107.27,0.0,0.0,107.46,107.46,107.46,0.0,0.0,107.01,107.01,107.01,0.0,0.0,107.09,107.09,107.09,0.0,0.0
2016-02-28,107.99,107.99,107.99,0.0,0.0,108.25,108.25,108.25,0.0,0.0,107.99,107.99,107.99,0.0,0.0,108.19,108.19,108.19,0.0,0.0
2016-03-06,108.45,108.45,108.45,0.0,0.0,108.89,108.89,108.89,0.0,0.0,108.45,108.45,108.45,0.0,0.0,108.84,108.84,108.84,0.0,0.0
2016-03-13,110.36,110.36,110.36,0.0,0.0,110.41,110.41,110.41,0.0,0.0,109.91,109.91,109.91,0.0,0.0,110.0,110.0,110.0,0.0,0.0
2016-03-20,109.33,109.33,109.33,0.0,0.0,109.48,109.48,109.48,0.0,0.0,108.86,108.86,108.86,0.0,0.0,109.25,109.25,109.25,0.0,0.0
