Date,ProShares Ultra Basic Materials_etf_Open_average,ProShares Ultra Basic Materials_etf_Open_max,ProShares Ultra Basic Materials_etf_Open_min,ProShares Ultra Basic Materials_etf_Open_volatility,ProShares Ultra Basic Materials_etf_Open_change,ProShares Ultra Basic Materials_etf_High_average,ProShares Ultra Basic Materials_etf_High_max,ProShares Ultra Basic Materials_etf_High_min,ProShares Ultra Basic Materials_etf_High_volatility,ProShares Ultra Basic Materials_etf_High_change,ProShares Ultra Basic Materials_etf_Low_average,ProShares Ultra Basic Materials_etf_Low_max,ProShares Ultra Basic Materials_etf_Low_min,ProShares Ultra Basic Materials_etf_Low_volatility,ProShares Ultra Basic Materials_etf_Low_change,ProShares Ultra Basic Materials_etf_Close_average,ProShares Ultra Basic Materials_etf_Close_max,ProShares Ultra Basic Materials_etf_Close_min,ProShares Ultra Basic Materials_etf_Close_volatility,ProShares Ultra Basic Materials_etf_Close_change
2016-01-03,31.58,31.58,31.58,0.0,0.0,31.58,31.58,31.58,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.37,30.37,30.37,0.0,0.0
2016-01-10,27.67,27.67,27.67,0.0,0.0,27.88,27.88,27.88,0.0,0.0,26.75,26.75,26.75,0.0,0.0,27.49,27.49,27.49,0.0,0.0
2016-01-17,27.91,27.91,27.91,0.0,0.0,28.54,28.54,28.54,0.0,0.0,27.45,27.45,27.45,0.0,0.0,27.79,27.79,27.79,0.0,0.0
2016-01-24,27.46,27.46,27.46,0.0,0.0,28.67,28.67,28.67,0.0,0.0,27.25,27.25,27.25,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2016-01-31,31.5,31.5,31.5,0.0,0.0,31.89,31.89,31.89,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.17,31.17,31.17,0.0,0.0
2016-02-07,28.77,28.77,28.77,0.0,0.0,29.8,29.8,29.8,0.0,0.0,28.51,28.51,28.51,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2016-02-14,31.62,31.62,31.62,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.05,31.05,31.05,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2016-02-21,32.81,32.81,32.81,0.0,0.0,33.19,33.19,33.19,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2016-02-28,34.7,34.7,34.7,0.0,0.0,36.07,36.07,36.07,0.0,0.0,34.68,34.68,34.68,0.0,0.0,35.49,35.49,35.49,0.0,0.0
2016-03-06,36.78,36.78,36.78,0.0,0.0,37.37,37.37,37.37,0.0,0.0,36.78,36.78,36.78,0.0,0.0,37.19,37.19,37.19,0.0,0.0
2016-03-13,39.72,39.72,39.72,0.0,0.0,40.0,40.0,40.0,0.0,0.0,39.02,39.02,39.02,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2016-03-20,37.05,37.05,37.05,0.0,0.0,37.73,37.73,37.73,0.0,0.0,36.64,36.64,36.64,0.0,0.0,37.73,37.73,37.73,0.0,0.0
2016-03-27,37.63,37.63,37.63,0.0,0.0,39.02,39.02,39.02,0.0,0.0,37.36,37.36,37.36,0.0,0.0,38.94,38.94,38.94,0.0,0.0
2016-04-03,38.01,38.01,38.01,0.0,0.0,38.52,38.52,38.52,0.0,0.0,37.78,37.78,37.78,0.0,0.0,37.78,37.78,37.78,0.0,0.0
2016-04-10,40.12,40.12,40.12,0.0,0.0,40.84,40.84,40.84,0.0,0.0,40.12,40.12,40.12,0.0,0.0,40.8,40.8,40.8,0.0,0.0
2016-04-17,42.98,42.98,42.98,0.0,0.0,43.17,43.17,43.17,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.81,42.81,42.81,0.0,0.0
2016-04-24,43.09,43.09,43.09,0.0,0.0,43.81,43.81,43.81,0.0,0.0,42.52,42.52,42.52,0.0,0.0,43.0,43.0,43.0,0.0,0.0
2016-05-01,39.94,39.94,39.94,0.0,0.0,40.93,40.93,40.93,0.0,0.0,39.9,39.9,39.9,0.0,0.0,40.9,40.9,40.9,0.0,0.0
2016-05-08,40.58,40.58,40.58,0.0,0.0,40.92,40.92,40.92,0.0,0.0,39.82,39.82,39.82,0.0,0.0,39.91,39.91,39.91,0.0,0.0
2016-05-15,40.3,40.3,40.3,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.27,40.27,40.27,0.0,0.0,40.44,40.44,40.44,0.0,0.0
2016-05-22,42.23,42.23,42.23,0.0,0.0,42.27,42.27,42.27,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.24,42.24,42.24,0.0,0.0
2016-05-29,42.75,42.75,42.75,0.0,0.0,43.44,43.44,43.44,0.0,0.0,42.65,42.65,42.65,0.0,0.0,43.44,43.44,43.44,0.0,0.0
2016-06-05,43.56,43.56,43.56,0.0,0.0,44.08,44.08,44.08,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.89,43.89,43.89,0.0,0.0
2016-06-12,43.42,43.42,43.42,0.0,0.0,43.48,43.48,43.48,0.0,0.0,42.8,42.8,42.8,0.0,0.0,43.37,43.37,43.37,0.0,0.0
2016-06-19,41.76,41.76,41.76,0.0,0.0,42.44,42.44,42.44,0.0,0.0,40.27,40.27,40.27,0.0,0.0,40.44,40.44,40.44,0.0,0.0
2016-06-26,41.02,41.02,41.02,0.0,0.0,41.8,41.8,41.8,0.0,0.0,40.92,40.92,40.92,0.0,0.0,41.21,41.21,41.21,0.0,0.0
2016-07-03,40.59,40.59,40.59,0.0,0.0,42.4,42.4,42.4,0.0,0.0,40.59,40.59,40.59,0.0,0.0,42.23,42.23,42.23,0.0,0.0
2016-07-10,45.95,45.95,45.95,0.0,0.0,46.1,46.1,46.1,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.91,45.91,45.91,0.0,0.0
2016-07-17,45.28,45.28,45.28,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.28,45.28,45.28,0.0,0.0,45.45,45.45,45.45,0.0,0.0
2016-07-24,45.71,45.71,45.71,0.0,0.0,45.72,45.72,45.72,0.0,0.0,44.92,44.92,44.92,0.0,0.0,45.55,45.55,45.55,0.0,0.0
2016-07-31,45.42,45.42,45.42,0.0,0.0,45.74,45.74,45.74,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.53,45.53,45.53,0.0,0.0
2016-08-07,45.85,45.85,45.85,0.0,0.0,45.85,45.85,45.85,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.58,44.58,44.58,0.0,0.0
2016-08-14,45.35,45.35,45.35,0.0,0.0,46.12,46.12,46.12,0.0,0.0,45.35,45.35,45.35,0.0,0.0,46.02,46.02,46.02,0.0,0.0
2016-08-21,46.19,46.19,46.19,0.0,0.0,46.38,46.38,46.38,0.0,0.0,45.11,45.11,45.11,0.0,0.0,45.37,45.37,45.37,0.0,0.0
2016-08-28,46.24,46.24,46.24,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.1,46.1,46.1,0.0,0.0,46.25,46.25,46.25,0.0,0.0
2016-09-04,45.2,45.2,45.2,0.0,0.0,45.2,45.2,45.2,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.0,43.0,43.0,0.0,0.0
2016-09-11,41.52,41.52,41.52,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.52,41.52,41.52,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2016-09-18,43.3,43.3,43.3,0.0,0.0,43.3,43.3,43.3,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.19,43.19,43.19,0.0,0.0
2016-09-25,44.23,44.23,44.23,0.0,0.0,44.53,44.53,44.53,0.0,0.0,44.23,44.23,44.23,0.0,0.0,44.53,44.53,44.53,0.0,0.0
2016-10-02,44.38,44.38,44.38,0.0,0.0,44.38,44.38,44.38,0.0,0.0,42.34,42.34,42.34,0.0,0.0,42.76,42.76,42.76,0.0,0.0
2016-10-09,41.44,41.44,41.44,0.0,0.0,41.98,41.98,41.98,0.0,0.0,41.2,41.2,41.2,0.0,0.0,41.32,41.32,41.32,0.0,0.0
2016-10-16,42.22,42.22,42.22,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.22,42.22,42.22,0.0,0.0,42.84,42.84,42.84,0.0,0.0
2016-10-23,42.47,42.47,42.47,0.0,0.0,43.17,43.17,43.17,0.0,0.0,42.43,42.43,42.43,0.0,0.0,42.52,42.52,42.52,0.0,0.0
2016-10-30,41.71,41.71,41.71,0.0,0.0,42.4,42.4,42.4,0.0,0.0,41.62,41.62,41.62,0.0,0.0,42.04,42.04,42.04,0.0,0.0
2016-11-06,46.42,46.42,46.42,0.0,0.0,46.53,46.53,46.53,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.4,45.4,45.4,0.0,0.0
2016-11-13,45.84,45.84,45.84,0.0,0.0,46.18,46.18,46.18,0.0,0.0,45.75,45.75,45.75,0.0,0.0,46.13,46.13,46.13,0.0,0.0
2016-11-20,48.63,48.63,48.63,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2016-11-27,49.69,49.69,49.69,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2016-12-04,52.9,52.9,52.9,0.0,0.0,53.16,53.16,53.16,0.0,0.0,52.59,52.59,52.59,0.0,0.0,53.04,53.04,53.04,0.0,0.0
2016-12-11,51.73,51.73,51.73,0.0,0.0,51.73,51.73,51.73,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2016-12-18,50.0,50.0,50.0,0.0,0.0,50.47,50.47,50.47,0.0,0.0,49.8,49.8,49.8,0.0,0.0,50.41,50.41,50.41,0.0,0.0
2016-12-25,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,48.85,48.85,48.85,0.0,0.0,49.09,49.09,49.09,0.0,0.0
2017-01-01,51.0,51.0,51.0,0.0,0.0,51.17,51.17,51.17,0.0,0.0,50.54,50.54,50.54,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2017-01-08,51.75,51.75,51.75,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.59,51.59,51.59,0.0,0.0,51.59,51.59,51.59,0.0,0.0
2017-01-15,51.44,51.44,51.44,0.0,0.0,52.11,52.11,52.11,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.91,51.91,51.91,0.0,0.0
2017-01-22,55.23,55.23,55.23,0.0,0.0,55.4,55.4,55.4,0.0,0.0,54.87,54.87,54.87,0.0,0.0,55.19,55.19,55.19,0.0,0.0
2017-01-29,54.24,54.24,54.24,0.0,0.0,54.32,54.32,54.32,0.0,0.0,53.79,53.79,53.79,0.0,0.0,54.22,54.22,54.22,0.0,0.0
2017-02-05,54.54,54.54,54.54,0.0,0.0,55.0,55.0,55.0,0.0,0.0,54.54,54.54,54.54,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2017-02-12,55.67,55.67,55.67,0.0,0.0,55.96,55.96,55.96,0.0,0.0,55.43,55.43,55.43,0.0,0.0,55.96,55.96,55.96,0.0,0.0
2017-02-19,54.95,54.95,54.95,0.0,0.0,55.73,55.73,55.73,0.0,0.0,54.65,54.65,54.65,0.0,0.0,55.73,55.73,55.73,0.0,0.0
2017-02-26,55.93,55.93,55.93,0.0,0.0,56.15,56.15,56.15,0.0,0.0,55.77,55.77,55.77,0.0,0.0,56.03,56.03,56.03,0.0,0.0
2017-03-05,55.04,55.04,55.04,0.0,0.0,55.05,55.05,55.05,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.79,54.79,54.79,0.0,0.0
2017-03-12,56.17,56.17,56.17,0.0,0.0,56.68,56.68,56.68,0.0,0.0,56.17,56.17,56.17,0.0,0.0,56.49,56.49,56.49,0.0,0.0
2017-03-19,55.37,55.37,55.37,0.0,0.0,55.5,55.5,55.5,0.0,0.0,54.09,54.09,54.09,0.0,0.0,54.39,54.39,54.39,0.0,0.0
2017-03-26,56.49,56.49,56.49,0.0,0.0,56.85,56.85,56.85,0.0,0.0,56.2,56.2,56.2,0.0,0.0,56.2,56.2,56.2,0.0,0.0
2017-04-02,56.35,56.35,56.35,0.0,0.0,56.87,56.87,56.87,0.0,0.0,56.31,56.31,56.31,0.0,0.0,56.47,56.47,56.47,0.0,0.0
2017-04-09,54.68,54.68,54.68,0.0,0.0,54.7,54.7,54.7,0.0,0.0,53.43,53.43,53.43,0.0,0.0,53.43,53.43,53.43,0.0,0.0
2017-04-16,54.73,54.73,54.73,0.0,0.0,55.24,55.24,55.24,0.0,0.0,54.73,54.73,54.73,0.0,0.0,54.9,54.9,54.9,0.0,0.0
2017-04-23,57.45,57.45,57.45,0.0,0.0,57.45,57.45,57.45,0.0,0.0,56.4,56.4,56.4,0.0,0.0,56.4,56.4,56.4,0.0,0.0
2017-04-30,54.65,54.65,54.65,0.0,0.0,56.13,56.13,56.13,0.0,0.0,54.65,54.65,54.65,0.0,0.0,56.06,56.06,56.06,0.0,0.0
2017-05-07,54.49,54.49,54.49,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.34,54.34,54.34,0.0,0.0,54.48,54.48,54.48,0.0,0.0
2017-05-14,53.6,53.6,53.6,0.0,0.0,54.76,54.76,54.76,0.0,0.0,53.6,53.6,53.6,0.0,0.0,54.34,54.34,54.34,0.0,0.0
2017-05-21,54.76,54.76,54.76,0.0,0.0,55.05,55.05,55.05,0.0,0.0,54.76,54.76,54.76,0.0,0.0,55.04,55.04,55.04,0.0,0.0
2017-05-28,56.47,56.47,56.47,0.0,0.0,56.9,56.9,56.9,0.0,0.0,56.36,56.36,56.36,0.0,0.0,56.64,56.64,56.64,0.0,0.0
2017-06-04,57.5,57.5,57.5,0.0,0.0,58.2,58.2,58.2,0.0,0.0,57.33,57.33,57.33,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2017-06-11,56.53,56.53,56.53,0.0,0.0,56.53,56.53,56.53,0.0,0.0,55.89,55.89,55.89,0.0,0.0,56.48,56.48,56.48,0.0,0.0
2017-06-18,56.0,56.0,56.0,0.0,0.0,56.38,56.38,56.38,0.0,0.0,55.82,55.82,55.82,0.0,0.0,55.82,55.82,55.82,0.0,0.0
2017-06-25,56.3,56.3,56.3,0.0,0.0,57.02,57.02,57.02,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.72,56.72,56.72,0.0,0.0
2017-07-02,56.65,56.65,56.65,0.0,0.0,57.47,57.47,57.47,0.0,0.0,56.3,56.3,56.3,0.0,0.0,57.3,57.3,57.3,0.0,0.0
2017-07-09,59.52,59.52,59.52,0.0,0.0,60.43,60.43,60.43,0.0,0.0,59.52,59.52,59.52,0.0,0.0,60.17,60.17,60.17,0.0,0.0
2017-07-16,60.22,60.22,60.22,0.0,0.0,60.47,60.47,60.47,0.0,0.0,60.08,60.08,60.08,0.0,0.0,60.38,60.38,60.38,0.0,0.0
2017-07-23,60.39,60.39,60.39,0.0,0.0,61.23,61.23,61.23,0.0,0.0,59.8,59.8,59.8,0.0,0.0,60.21,60.21,60.21,0.0,0.0
2017-07-30,59.47,59.47,59.47,0.0,0.0,59.64,59.64,59.64,0.0,0.0,59.47,59.47,59.47,0.0,0.0,59.5,59.5,59.5,0.0,0.0
2017-08-06,57.0,57.0,57.0,0.0,0.0,57.29,57.29,57.29,0.0,0.0,56.9,56.9,56.9,0.0,0.0,56.93,56.93,56.93,0.0,0.0
2017-08-13,57.0,57.0,57.0,0.0,0.0,57.59,57.59,57.59,0.0,0.0,56.75,56.75,56.75,0.0,0.0,57.35,57.35,57.35,0.0,0.0
2017-08-20,59.95,59.95,59.95,0.0,0.0,59.95,59.95,59.95,0.0,0.0,59.18,59.18,59.18,0.0,0.0,59.28,59.28,59.28,0.0,0.0
2017-08-27,61.02,61.02,61.02,0.0,0.0,61.37,61.37,61.37,0.0,0.0,60.94,60.94,60.94,0.0,0.0,61.23,61.23,61.23,0.0,0.0
2017-09-03,59.79,59.79,59.79,0.0,0.0,59.93,59.93,59.93,0.0,0.0,59.75,59.75,59.75,0.0,0.0,59.93,59.93,59.93,0.0,0.0
2017-09-10,63.15,63.15,63.15,0.0,0.0,63.74,63.74,63.74,0.0,0.0,63.15,63.15,63.15,0.0,0.0,63.44,63.44,63.44,0.0,0.0
2017-09-17,65.1,65.1,65.1,0.0,0.0,65.1,65.1,65.1,0.0,0.0,64.83,64.83,64.83,0.0,0.0,64.9,64.9,64.9,0.0,0.0
2017-09-24,65.47,65.47,65.47,0.0,0.0,65.47,65.47,65.47,0.0,0.0,64.99,64.99,64.99,0.0,0.0,65.22,65.22,65.22,0.0,0.0
2017-10-01,67.2,67.2,67.2,0.0,0.0,67.32,67.32,67.32,0.0,0.0,67.19,67.19,67.19,0.0,0.0,67.19,67.19,67.19,0.0,0.0
2017-10-08,69.38,69.38,69.38,0.0,0.0,69.38,69.38,69.38,0.0,0.0,68.83,68.83,68.83,0.0,0.0,69.0,69.0,69.0,0.0,0.0
2017-10-15,68.56,68.56,68.56,0.0,0.0,69.98,69.98,69.98,0.0,0.0,68.56,68.56,68.56,0.0,0.0,69.12,69.12,69.12,0.0,0.0
2017-10-22,70.43,70.43,70.43,0.0,0.0,70.43,70.43,70.43,0.0,0.0,69.59,69.59,69.59,0.0,0.0,70.25,70.25,70.25,0.0,0.0
2017-10-29,70.02,70.02,70.02,0.0,0.0,70.02,70.02,70.02,0.0,0.0,68.95,68.95,68.95,0.0,0.0,69.51,69.51,69.51,0.0,0.0
2017-11-05,67.71,67.71,67.71,0.0,0.0,68.19,68.19,68.19,0.0,0.0,67.55,67.55,67.55,0.0,0.0,67.73,67.73,67.73,0.0,0.0
2017-11-12,67.82,67.82,67.82,0.0,0.0,68.66,68.66,68.66,0.0,0.0,67.82,67.82,67.82,0.0,0.0,68.34,68.34,68.34,0.0,0.0
2017-11-19,69.71,69.71,69.71,0.0,0.0,70.14,70.14,70.14,0.0,0.0,69.71,69.71,69.71,0.0,0.0,70.14,70.14,70.14,0.0,0.0
2017-11-26,70.95,70.95,70.95,0.0,0.0,71.22,71.22,71.22,0.0,0.0,68.38,68.38,68.38,0.0,0.0,69.75,69.75,69.75,0.0,0.0
