Date,CRAI_stock_Open_average,CRAI_stock_Open_max,CRAI_stock_Open_min,CRAI_stock_Open_volatility,CRAI_stock_Open_change,CRAI_stock_High_average,CRAI_stock_High_max,CRAI_stock_High_min,CRAI_stock_High_volatility,CRAI_stock_High_change,CRAI_stock_Low_average,CRAI_stock_Low_max,CRAI_stock_Low_min,CRAI_stock_Low_volatility,CRAI_stock_Low_change,CRAI_stock_Close_average,CRAI_stock_Close_max,CRAI_stock_Close_min,CRAI_stock_Close_volatility,CRAI_stock_Close_change,CRAI_stock_Volume_average,CRAI_stock_Volume_max,CRAI_stock_Volume_min,CRAI_stock_Volume_volatility,CRAI_stock_Volume_change
2016-01-03,19.098,19.71,18.52,1.1900000000000013,0.4200000000000017,19.54,20.07,19.16,0.9100000000000001,-0.03999999999999915,18.702,19.03,17.96,1.0700000000000003,0.8200000000000003,19.226,19.87,18.83,1.0400000000000027,-0.25,66282,76357,48361,27996,9845
2016-01-10,19.148,19.39,18.81,0.5800000000000018,-0.2900000000000027,19.432,19.64,19.11,0.5300000000000011,-0.26000000000000156,18.754,19.08,17.93,1.1499999999999986,-1.0700000000000003,19.14,19.39,18.71,0.6799999999999997,-0.4499999999999993,60208,73137,40427,32710,19348
2016-01-17,18.3075,18.82,17.82,1.0,-0.1999999999999993,18.8375,19.24,18.63,0.6099999999999994,0.41999999999999815,17.7425,18.05,17.25,0.8000000000000007,0.120000000000001,18.3525,18.49,18.28,0.2099999999999973,0.04999999999999716,52420,79139,34036,45103,45103
2016-01-24,17.746,18.09,17.58,0.5100000000000016,-0.3500000000000014,18.06,18.68,17.77,0.9100000000000001,0.5899999999999999,17.374,17.7,17.23,0.46999999999999886,0.46999999999999886,17.81,18.63,17.49,1.1400000000000006,1.1400000000000006,57946,89251,26787,62464,-47320
2016-01-31,17.84,18.61,17.31,1.3000000000000007,-1.3000000000000007,18.016000000000002,18.77,17.66,1.1099999999999994,-1.1099999999999994,17.374,18.17,16.8,1.370000000000001,-1.370000000000001,17.578,18.35,17.01,1.3399999999999999,-1.3399999999999999,38668,46234,32834,13400,9123
2016-02-07,16.634,16.93,16.26,0.6699999999999982,-0.509999999999998,16.914,17.17,16.64,0.5300000000000011,0.0,16.382,16.43,16.25,0.17999999999999972,0.0400000000000027,16.663999999999998,16.83,16.48,0.34999999999999787,-0.07000000000000028,36101,45968,27241,18727,-5057
2016-02-14,17.0775,17.39,16.95,0.4400000000000013,0.05000000000000071,17.33,17.53,17.2,0.33000000000000185,0.0,16.82,16.92,16.66,0.26000000000000156,-0.120000000000001,17.177500000000002,17.53,16.98,0.5500000000000007,0.16000000000000014,36867,51131,12770,38361,28370
2016-02-21,19.036,19.51,18.79,0.7200000000000024,0.5,19.386,19.75,19.0,0.75,0.2699999999999996,18.93,19.39,18.75,0.6400000000000006,0.6400000000000006,19.182,19.6,18.88,0.7200000000000024,0.620000000000001,135883,268406,83776,184630,-156796
2016-02-28,19.748,19.8,19.68,0.120000000000001,0.019999999999999574,19.918,19.96,19.85,0.10999999999999943,0.019999999999999574,19.644,19.68,19.55,0.129999999999999,-0.10999999999999943,19.772,19.84,19.71,0.129999999999999,-0.00999999999999801,69588,144341,27620,116721,-116721
2016-03-06,19.702,19.79,19.56,0.23000000000000043,0.0,19.914,20.1,19.7,0.40000000000000213,0.10000000000000142,19.548000000000002,19.66,19.46,0.1999999999999993,-0.019999999999999574,19.732,20.03,19.47,0.5600000000000023,0.030000000000001137,54578,83338,36031,47307,20439
2016-03-13,20.032,20.29,19.92,0.36999999999999744,0.3000000000000007,20.352,20.86,20.09,0.7699999999999996,0.5700000000000003,19.91,20.11,19.77,0.33999999999999986,0.21000000000000085,20.2,20.68,20.0,0.6799999999999997,0.5700000000000003,107190,194015,36663,157352,91252
2016-03-20,20.61,21.31,19.77,1.5399999999999991,-1.0199999999999996,20.9625,21.73,19.82,1.9100000000000001,-1.9100000000000001,20.189999999999998,20.79,19.55,1.2399999999999984,-1.2399999999999984,20.3975,21.5,19.61,1.8900000000000006,-1.8900000000000006,88713,153040,38672,114368,-114368
2016-03-27,19.632,20.07,19.39,0.6799999999999997,-0.08999999999999986,19.904,20.07,19.63,0.4400000000000013,0.14000000000000057,19.314,19.66,18.94,0.7199999999999989,-0.259999999999998,19.604,20.02,19.26,0.759999999999998,-0.129999999999999,43001,59291,30144,29147,-14490
2016-04-03,18.958000000000002,19.32,18.67,0.6499999999999986,-0.25,19.36,19.75,19.05,0.6999999999999993,0.2699999999999996,18.712,19.12,18.44,0.6799999999999997,-0.1700000000000017,18.990000000000002,19.3,18.64,0.6600000000000001,0.16000000000000014,57288,74928,27405,47523,30291
2016-04-10,19.562,20.04,19.36,0.6799999999999997,0.08999999999999986,19.948,20.24,19.61,0.629999999999999,0.21000000000000085,19.37,19.51,19.27,0.240000000000002,0.019999999999999574,19.724,19.99,19.5,0.48999999999999844,0.41000000000000014,48751,65479,28287,37192,-27506
2016-04-17,20.49,20.84,19.92,0.9199999999999982,0.9199999999999982,20.872,21.12,20.42,0.6999999999999993,0.5199999999999996,20.21,20.49,19.66,0.8299999999999983,0.8299999999999983,20.542,20.92,20.13,0.7900000000000027,0.5,44004,90474,16166,74308,-74308
2016-04-24,20.594,22.55,19.64,2.91,2.210000000000001,21.196,22.93,19.95,2.9800000000000004,2.41,20.082,21.47,19.45,2.0199999999999996,1.9299999999999997,20.648,22.52,19.67,2.849999999999998,2.0299999999999976,56532,82968,30542,52426,24574
2016-05-01,21.848,22.25,21.57,0.6799999999999997,0.33000000000000185,22.448,22.87,21.99,0.8800000000000026,0.8800000000000026,21.67,22.05,21.46,0.5899999999999999,0.5399999999999991,22.154,22.82,21.68,1.1400000000000006,1.0599999999999987,60785,85612,37105,48507,-48507
2016-05-08,23.544,24.11,22.84,1.2699999999999996,0.8099999999999987,23.78,24.31,23.55,0.759999999999998,0.09999999999999787,22.944,23.3,22.75,0.5500000000000007,0.21000000000000085,23.336,23.67,23.08,0.5900000000000034,-0.07000000000000028,48317,61384,36403,24981,-11542
2016-05-15,22.8,23.46,22.32,1.1400000000000006,-0.5,23.326,23.98,23.0,0.9800000000000004,-0.9800000000000004,22.502,22.93,22.32,0.6099999999999994,-0.370000000000001,22.77,23.58,22.38,1.1999999999999993,-0.7799999999999976,45606,55804,36245,19559,1703
