Date,PowerShares DWA Momentum PortfolioEtf_Open_average,PowerShares DWA Momentum PortfolioEtf_Open_max,PowerShares DWA Momentum PortfolioEtf_Open_min,PowerShares DWA Momentum PortfolioEtf_Open_volatility,PowerShares DWA Momentum PortfolioEtf_Open_change,PowerShares DWA Momentum PortfolioEtf_High_average,PowerShares DWA Momentum PortfolioEtf_High_max,PowerShares DWA Momentum PortfolioEtf_High_min,PowerShares DWA Momentum PortfolioEtf_High_volatility,PowerShares DWA Momentum PortfolioEtf_High_change,PowerShares DWA Momentum PortfolioEtf_Low_average,PowerShares DWA Momentum PortfolioEtf_Low_max,PowerShares DWA Momentum PortfolioEtf_Low_min,PowerShares DWA Momentum PortfolioEtf_Low_volatility,PowerShares DWA Momentum PortfolioEtf_Low_change,PowerShares DWA Momentum PortfolioEtf_Close_average,PowerShares DWA Momentum PortfolioEtf_Close_max,PowerShares DWA Momentum PortfolioEtf_Close_min,PowerShares DWA Momentum PortfolioEtf_Close_volatility,PowerShares DWA Momentum PortfolioEtf_Close_change
2016-01-03,39.35,39.35,39.35,0.0,0.0,39.45,39.45,39.45,0.0,0.0,38.67,38.67,38.67,0.0,0.0,38.72,38.72,38.72,0.0,0.0
2016-01-10,37.57,37.57,37.57,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.74,37.74,37.74,0.0,0.0
2016-01-17,38.16,38.16,38.16,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.47,38.47,38.47,0.0,0.0
2016-01-24,37.57,37.57,37.57,0.0,0.0,38.44,38.44,38.44,0.0,0.0,37.57,37.57,37.57,0.0,0.0,38.37,38.37,38.37,0.0,0.0
2016-01-31,37.71,37.71,37.71,0.0,0.0,37.71,37.71,37.71,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.78,36.78,36.78,0.0,0.0
2016-02-07,36.5,36.5,36.5,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2016-02-14,37.79,37.79,37.79,0.0,0.0,38.18,38.18,38.18,0.0,0.0,37.63,37.63,37.63,0.0,0.0,38.16,38.16,38.16,0.0,0.0
2016-02-21,39.22,39.22,39.22,0.0,0.0,39.33,39.33,39.33,0.0,0.0,39.06,39.06,39.06,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2016-02-28,39.82,39.82,39.82,0.0,0.0,40.03,40.03,40.03,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.86,39.86,39.86,0.0,0.0
2016-03-06,39.78,39.78,39.78,0.0,0.0,40.05,40.05,40.05,0.0,0.0,39.71,39.71,39.71,0.0,0.0,40.04,40.04,40.04,0.0,0.0
2016-03-13,40.46,40.46,40.46,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.43,40.43,40.43,0.0,0.0
2016-03-20,39.98,39.98,39.98,0.0,0.0,40.05,40.05,40.05,0.0,0.0,39.81,39.81,39.81,0.0,0.0,40.05,40.05,40.05,0.0,0.0
2016-03-27,40.61,40.61,40.61,0.0,0.0,41.21,41.21,41.21,0.0,0.0,40.53,40.53,40.53,0.0,0.0,41.19,41.19,41.19,0.0,0.0
2016-04-03,40.61,40.61,40.61,0.0,0.0,40.68,40.68,40.68,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.5,40.5,40.5,0.0,0.0
2016-04-10,40.73,40.73,40.73,0.0,0.0,40.96,40.96,40.96,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.94,40.94,40.94,0.0,0.0
2016-04-17,40.7,40.7,40.7,0.0,0.0,40.84,40.84,40.84,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.82,40.82,40.82,0.0,0.0
2016-04-24,40.55,40.55,40.55,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.49,40.49,40.49,0.0,0.0
2016-05-01,40.41,40.41,40.41,0.0,0.0,40.79,40.79,40.79,0.0,0.0,40.35,40.35,40.35,0.0,0.0,40.76,40.76,40.76,0.0,0.0
2016-05-08,41.18,41.18,41.18,0.0,0.0,41.29,41.29,41.29,0.0,0.0,40.87,40.87,40.87,0.0,0.0,40.97,40.97,40.97,0.0,0.0
2016-05-15,40.73,40.73,40.73,0.0,0.0,40.97,40.97,40.97,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.88,40.88,40.88,0.0,0.0
2016-05-22,41.47,41.47,41.47,0.0,0.0,41.68,41.68,41.68,0.0,0.0,41.47,41.47,41.47,0.0,0.0,41.67,41.67,41.67,0.0,0.0
2016-05-29,41.92,41.92,41.92,0.0,0.0,41.93,41.93,41.93,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.86,41.86,41.86,0.0,0.0
2016-06-05,42.0,42.0,42.0,0.0,0.0,42.0,42.0,42.0,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.84,41.84,41.84,0.0,0.0
2016-06-12,41.35,41.35,41.35,0.0,0.0,41.35,41.35,41.35,0.0,0.0,40.98,40.98,40.98,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2016-06-19,40.69,40.69,40.69,0.0,0.0,41.29,41.29,41.29,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.75,40.75,40.75,0.0,0.0
2016-06-26,42.11,42.11,42.11,0.0,0.0,42.29,42.29,42.29,0.0,0.0,41.99,41.99,41.99,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2016-07-03,42.4,42.4,42.4,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.7,42.7,42.7,0.0,0.0
2016-07-10,42.97,42.97,42.97,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.75,42.75,42.75,0.0,0.0
2016-07-17,42.71,42.71,42.71,0.0,0.0,43.07,43.07,43.07,0.0,0.0,42.71,42.71,42.71,0.0,0.0,43.02,43.02,43.02,0.0,0.0
2016-07-24,42.92,42.92,42.92,0.0,0.0,43.19,43.19,43.19,0.0,0.0,42.88,42.88,42.88,0.0,0.0,43.06,43.06,43.06,0.0,0.0
