Date,BKSC_stock_Open_average,BKSC_stock_Open_max,BKSC_stock_Open_min,BKSC_stock_Open_volatility,BKSC_stock_Open_change,BKSC_stock_High_average,BKSC_stock_High_max,BKSC_stock_High_min,BKSC_stock_High_volatility,BKSC_stock_High_change,BKSC_stock_Low_average,BKSC_stock_Low_max,BKSC_stock_Low_min,BKSC_stock_Low_volatility,BKSC_stock_Low_change,BKSC_stock_Close_average,BKSC_stock_Close_max,BKSC_stock_Close_min,BKSC_stock_Close_volatility,BKSC_stock_Close_change,BKSC_stock_Volume_average,BKSC_stock_Volume_max,BKSC_stock_Volume_min,BKSC_stock_Volume_volatility,BKSC_stock_Volume_change
2016-01-03,16.104,16.23,16.0,0.23000000000000043,-0.23000000000000043,16.34,16.61,16.07,0.5399999999999991,0.259999999999998,16.024,16.09,16.0,0.08999999999999986,0.0,16.116,16.29,16.01,0.2799999999999976,-0.04999999999999716,5305,22743,143,22600,-1127
2016-01-10,16.056,16.47,15.75,0.7199999999999989,-0.1899999999999995,16.266,16.49,15.81,0.6799999999999979,-0.6799999999999979,15.908,16.47,15.62,0.8499999999999996,-0.3800000000000008,16.104,16.49,15.62,0.8699999999999992,-0.8699999999999992,1449,4901,1,4900,61
2016-01-17,15.165,15.62,14.69,0.9299999999999997,-0.9299999999999997,15.3875,15.71,15.1,0.6100000000000012,-0.370000000000001,14.5975,15.41,14.05,1.3599999999999994,-0.7300000000000004,15.135,15.44,14.91,0.5299999999999994,-0.25,5068,7544,1095,6449,6449
2016-01-24,16.086000000000002,16.73,15.15,1.58,1.4000000000000004,16.286,16.75,15.59,1.1600000000000001,1.1600000000000001,15.7,16.0,15.15,0.8499999999999996,0.4599999999999991,15.99,16.34,15.59,0.75,0.4299999999999997,1795,3149,832,2317,2111
2016-01-31,16.164,16.53,15.76,0.7700000000000014,-0.46999999999999886,16.496,16.75,15.89,0.8599999999999994,-0.6799999999999997,15.972,16.11,15.76,0.34999999999999964,-0.18999999999999773,16.298000000000002,16.75,15.89,0.8599999999999994,-0.2699999999999996,1544,3572,96,3476,-3257
2016-02-07,15.745000000000001,16.03,15.5,0.5300000000000011,-0.5300000000000011,15.885,16.59,15.5,1.0899999999999999,-1.0899999999999999,15.4925,15.6,15.42,0.17999999999999972,0.08000000000000007,15.6175,15.92,15.45,0.47000000000000064,-0.41999999999999993,1362,1940,783,1157,1157
2016-02-14,15.7675,15.83,15.71,0.11999999999999922,-0.02999999999999936,16.185,16.7,15.83,0.8699999999999992,0.8699999999999992,15.5325,15.8,14.89,0.9100000000000001,0.9100000000000001,15.7775,15.95,15.3,0.6499999999999986,0.6499999999999986,3838,13066,437,12629,-783
2016-02-21,16.41,16.54,16.12,0.41999999999999815,0.3200000000000003,16.54,16.72,16.44,0.2799999999999976,-0.2799999999999976,16.208,16.54,15.95,0.5899999999999999,0.16999999999999815,16.392,16.54,16.29,0.25,-0.14000000000000057,1103,3014,17,2997,-1003
2016-02-28,16.144000000000002,16.5,15.95,0.5500000000000007,-0.33000000000000185,16.174,16.5,15.98,0.5199999999999996,-0.20000000000000284,15.996,16.04,15.95,0.08999999999999986,-0.08999999999999986,16.016000000000002,16.04,15.98,0.05999999999999872,-0.019999999999999574,1029,2067,564,1503,149
2016-03-06,16.222,16.45,16.0,0.4499999999999993,0.3999999999999986,16.24,16.47,16.07,0.3999999999999986,0.3299999999999983,16.182,16.45,16.0,0.4499999999999993,0.1999999999999993,16.19,16.47,16.0,0.46999999999999886,0.21999999999999886,1003,2132,0,2132,675
