Date,FlexShares Ready Access Variable Income_etf_Open_average,FlexShares Ready Access Variable Income_etf_Open_max,FlexShares Ready Access Variable Income_etf_Open_min,FlexShares Ready Access Variable Income_etf_Open_volatility,FlexShares Ready Access Variable Income_etf_Open_change,FlexShares Ready Access Variable Income_etf_High_average,FlexShares Ready Access Variable Income_etf_High_max,FlexShares Ready Access Variable Income_etf_High_min,FlexShares Ready Access Variable Income_etf_High_volatility,FlexShares Ready Access Variable Income_etf_High_change,FlexShares Ready Access Variable Income_etf_Low_average,FlexShares Ready Access Variable Income_etf_Low_max,FlexShares Ready Access Variable Income_etf_Low_min,FlexShares Ready Access Variable Income_etf_Low_volatility,FlexShares Ready Access Variable Income_etf_Low_change,FlexShares Ready Access Variable Income_etf_Close_average,FlexShares Ready Access Variable Income_etf_Close_max,FlexShares Ready Access Variable Income_etf_Close_min,FlexShares Ready Access Variable Income_etf_Close_volatility,FlexShares Ready Access Variable Income_etf_Close_change
2016-01-03,75.12,75.12,75.12,0.0,0.0,75.12,75.12,75.12,0.0,0.0,75.01,75.01,75.01,0.0,0.0,75.01,75.01,75.01,0.0,0.0
2016-01-10,75.25,75.25,75.25,0.0,0.0,75.26,75.26,75.26,0.0,0.0,75.19,75.19,75.19,0.0,0.0,75.2,75.2,75.2,0.0,0.0
2016-01-17,75.19,75.19,75.19,0.0,0.0,75.41,75.41,75.41,0.0,0.0,75.18,75.18,75.18,0.0,0.0,75.32,75.32,75.32,0.0,0.0
2016-01-24,75.2,75.2,75.2,0.0,0.0,75.22,75.22,75.22,0.0,0.0,75.19,75.19,75.19,0.0,0.0,75.21,75.21,75.21,0.0,0.0
2016-01-31,75.19,75.19,75.19,0.0,0.0,75.28,75.28,75.28,0.0,0.0,75.19,75.19,75.19,0.0,0.0,75.26,75.26,75.26,0.0,0.0
2016-02-07,75.6,75.6,75.6,0.0,0.0,75.6,75.6,75.6,0.0,0.0,75.2,75.2,75.2,0.0,0.0,75.26,75.26,75.26,0.0,0.0
2016-02-14,74.98,74.98,74.98,0.0,0.0,75.61,75.61,75.61,0.0,0.0,74.98,74.98,74.98,0.0,0.0,75.3,75.3,75.3,0.0,0.0
2016-02-21,75.22,75.22,75.22,0.0,0.0,75.25,75.25,75.25,0.0,0.0,75.22,75.22,75.22,0.0,0.0,75.25,75.25,75.25,0.0,0.0
2016-02-28,75.23,75.23,75.23,0.0,0.0,75.29,75.29,75.29,0.0,0.0,75.23,75.23,75.23,0.0,0.0,75.29,75.29,75.29,0.0,0.0
2016-03-06,75.25,75.25,75.25,0.0,0.0,75.25,75.25,75.25,0.0,0.0,75.17,75.17,75.17,0.0,0.0,75.17,75.17,75.17,0.0,0.0
2016-03-13,75.25,75.25,75.25,0.0,0.0,75.32,75.32,75.32,0.0,0.0,75.17,75.17,75.17,0.0,0.0,75.32,75.32,75.32,0.0,0.0
2016-03-20,75.3,75.3,75.3,0.0,0.0,75.34,75.34,75.34,0.0,0.0,75.26,75.26,75.26,0.0,0.0,75.31,75.31,75.31,0.0,0.0
