Date,IPIStock_Open_average,IPIStock_Open_max,IPIStock_Open_min,IPIStock_Open_volatility,IPIStock_Open_change,IPIStock_High_average,IPIStock_High_max,IPIStock_High_min,IPIStock_High_volatility,IPIStock_High_change,IPIStock_Low_average,IPIStock_Low_max,IPIStock_Low_min,IPIStock_Low_volatility,IPIStock_Low_change,IPIStock_Close_average,IPIStock_Close_max,IPIStock_Close_min,IPIStock_Close_volatility,IPIStock_Close_change,IPIStock_Volume_average,IPIStock_Volume_max,IPIStock_Volume_min,IPIStock_Volume_volatility,IPIStock_Volume_change
2016-01-03,2.738,3.08,2.43,0.6499999999999999,-0.43000000000000016,2.86,3.26,2.49,0.7699999999999996,-0.7699999999999996,2.584,2.87,2.35,0.52,-0.52,2.6599999999999997,3.07,2.4,0.6699999999999999,-0.6699999999999999,1279843,1850572,948773,901799,-675133
2016-01-10,2.158,2.4,2.0,0.3999999999999999,-0.3999999999999999,2.226,2.42,2.11,0.31000000000000005,-0.25,2.024,2.13,1.87,0.2599999999999998,-0.2599999999999998,2.11,2.18,2.03,0.15000000000000036,-0.03000000000000025,1134898,1518942,781306,737636,487169
2016-01-17,2.015,2.21,1.87,0.33999999999999986,-0.21999999999999997,2.1275,2.27,2.01,0.26000000000000023,-0.10000000000000009,1.84,1.92,1.78,0.1399999999999999,-0.1399999999999999,1.935,1.99,1.86,0.1299999999999999,-0.08999999999999986,1090624,1343657,917625,426032,344639
2016-01-24,1.868,1.99,1.79,0.19999999999999996,0.1299999999999999,1.994,2.19,1.88,0.31000000000000005,0.24,1.82,1.97,1.75,0.21999999999999997,0.21999999999999997,1.93,2.18,1.79,0.3900000000000001,0.3900000000000001,662332,832827,468326,364501,182678
2016-01-31,2.096,2.29,1.91,0.3800000000000001,0.10999999999999988,2.246,2.58,2.07,0.5100000000000002,0.3900000000000001,1.996,2.23,1.85,0.3799999999999999,0.25,2.1719999999999997,2.55,1.91,0.6399999999999999,0.46999999999999975,1044030,1591978,599768,992210,785691
2016-02-07,2.1799999999999997,2.51,2.0,0.5099999999999998,-0.5,2.282,2.55,2.09,0.45999999999999996,-0.21999999999999975,2.01,2.31,1.89,0.42000000000000015,-0.3500000000000001,2.1,2.39,2.0,0.3900000000000001,-0.31000000000000005,1117459,1381238,451101,930137,80514
2016-02-14,2.2024999999999997,2.36,2.09,0.27,0.08000000000000007,2.315,2.5,2.19,0.31000000000000005,-0.020000000000000018,2.0975,2.19,1.97,0.21999999999999997,0.09000000000000008,2.1950000000000003,2.37,2.06,0.31000000000000005,-0.10000000000000009,805998,1028900,692761,336139,-106376
2016-02-21,2.116,2.24,1.97,0.27000000000000024,0.0,2.252,2.34,2.14,0.19999999999999973,0.06999999999999984,2.01,2.12,1.88,0.2400000000000002,0.050000000000000266,2.146,2.26,1.99,0.2699999999999998,0.08000000000000007,987384,1346063,655519,690544,-263269
2016-02-28,1.018,1.55,0.69,0.8600000000000001,-0.5700000000000001,1.146,1.56,0.89,0.67,-0.25,0.814,0.96,0.65,0.30999999999999994,0.04999999999999993,0.95,1.27,0.67,0.6,0.28,9050422,14270009,4956736,9313273,-6824827
2016-03-06,1.456,1.68,1.27,0.4099999999999999,-0.06000000000000005,1.558,1.81,1.32,0.49,-0.30999999999999983,1.284,1.53,1.03,0.5,-0.1100000000000001,1.424,1.62,1.24,0.3800000000000001,-0.3800000000000001,3694017,5450002,1693679,3756323,-3756323
