Date,CHK_stock_Open_average,CHK_stock_Open_max,CHK_stock_Open_min,CHK_stock_Open_volatility,CHK_stock_Open_change,CHK_stock_High_average,CHK_stock_High_max,CHK_stock_High_min,CHK_stock_High_volatility,CHK_stock_High_change,CHK_stock_Low_average,CHK_stock_Low_max,CHK_stock_Low_min,CHK_stock_Low_volatility,CHK_stock_Low_change,CHK_stock_Close_average,CHK_stock_Close_max,CHK_stock_Close_min,CHK_stock_Close_volatility,CHK_stock_Close_change,CHK_stock_Volume_average,CHK_stock_Volume_max,CHK_stock_Volume_min,CHK_stock_Volume_volatility,CHK_stock_Volume_change
2016-01-03,4.594,4.89,4.43,0.45999999999999996,0.0,4.822,5.09,4.53,0.5599999999999996,-0.4399999999999995,4.492,4.84,4.26,0.5800000000000001,-0.14000000000000057,4.698,5.01,4.41,0.5999999999999996,-0.5099999999999998,27880970,38476072,23666880,14809192,-9914090
2016-01-10,3.9899999999999998,4.49,3.48,1.0100000000000002,-1.0100000000000002,4.076,4.5,3.6,0.8999999999999999,-0.8999999999999999,3.656,4.08,3.28,0.8000000000000003,-0.8000000000000003,3.826,4.17,3.56,0.6099999999999999,-0.6099999999999999,25614513,28054196,21532316,6521880,3097208
2016-01-17,3.3775,3.82,2.86,0.96,0.23999999999999977,3.7175000000000002,4.15,3.45,0.7000000000000002,0.5400000000000005,3.0675,3.46,2.69,0.77,0.5099999999999998,3.3649999999999998,3.55,3.08,0.46999999999999975,0.4299999999999997,30583319,36875596,24335380,12540216,8163442
2016-01-24,3.2560000000000002,3.52,3.08,0.43999999999999995,-0.08000000000000007,3.502,3.63,3.25,0.3799999999999999,-0.14000000000000012,3.052,3.17,2.88,0.29000000000000004,0.20999999999999996,3.194,3.39,2.95,0.43999999999999995,0.43999999999999995,27803500,29659164,25580336,4078828,-1051824
2016-01-31,3.226,3.4,3.08,0.31999999999999984,-0.10999999999999988,3.364,3.65,3.14,0.5099999999999998,-0.1200000000000001,3.012,3.19,2.75,0.43999999999999995,-0.07000000000000028,3.176,3.36,2.99,0.36999999999999966,-0.1499999999999999,24530610,39086180,16936470,22149710,4454998
2016-02-07,2.032,2.56,1.66,0.9000000000000001,-0.7,2.076,2.59,1.81,0.7799999999999998,-0.7,1.604,1.8,1.5,0.30000000000000004,0.06000000000000005,1.812,2.04,1.59,0.44999999999999996,-0.44999999999999996,58847504,121984560,32507974,89476586,-72405380
2016-02-14,1.8824999999999998,1.97,1.68,0.29000000000000004,0.26,2.0175,2.14,1.91,0.2300000000000002,0.11999999999999988,1.825,1.9,1.65,0.25,0.25,1.93,2.0,1.86,0.1399999999999999,0.1399999999999999,33298698,39305372,20667994,18637378,-18637378
2016-02-21,2.518,2.89,2.09,0.8000000000000003,0.8000000000000003,2.746,2.9,2.49,0.4099999999999997,0.3999999999999999,2.346,2.65,2.07,0.5800000000000001,0.5800000000000001,2.5060000000000002,2.7,2.19,0.5100000000000002,0.31000000000000005,43247894,62165252,30763400,31401852,-3145828
2016-02-28,3.208,4.59,2.62,1.9699999999999998,1.77,3.9,5.43,2.78,2.65,2.61,3.06,4.3,2.53,1.77,1.77,3.6239999999999997,5.08,2.61,2.47,2.47,94461809,188966432,24109882,164856550,144497172
2016-03-06,4.898,5.38,4.56,0.8200000000000003,-0.5,5.048,5.76,4.7,1.0599999999999996,-0.7699999999999996,4.513999999999999,5.18,4.1,1.08,-0.54,4.694,5.23,4.3,0.9300000000000006,-0.5300000000000002,60907580,116687328,39907856,76779472,-76260452
