Date,LYTS_stock_Open_average,LYTS_stock_Open_max,LYTS_stock_Open_min,LYTS_stock_Open_volatility,LYTS_stock_Open_change,LYTS_stock_High_average,LYTS_stock_High_max,LYTS_stock_High_min,LYTS_stock_High_volatility,LYTS_stock_High_change,LYTS_stock_Low_average,LYTS_stock_Low_max,LYTS_stock_Low_min,LYTS_stock_Low_volatility,LYTS_stock_Low_change,LYTS_stock_Close_average,LYTS_stock_Close_max,LYTS_stock_Close_min,LYTS_stock_Close_volatility,LYTS_stock_Close_change,LYTS_stock_Volume_average,LYTS_stock_Volume_max,LYTS_stock_Volume_min,LYTS_stock_Volume_volatility,LYTS_stock_Volume_change
2016-01-03,11.706,11.89,11.51,0.3800000000000008,-0.15000000000000036,11.914,12.22,11.77,0.45000000000000107,-0.16999999999999993,11.382,11.56,11.15,0.41000000000000014,0.1899999999999995,11.658,11.87,11.41,0.4599999999999991,-0.4599999999999991,171773,253118,83143,169975,-55579
2016-01-10,11.258000000000001,11.68,10.58,1.0999999999999996,-0.8100000000000005,11.424,11.75,10.81,0.9399999999999995,-0.8399999999999999,10.936,11.49,10.42,1.0700000000000003,-0.7400000000000002,11.148,11.66,10.66,1.0,-0.9399999999999995,176589,234408,142579,91829,58389
2016-01-17,10.575,10.77,10.36,0.41000000000000014,-0.1999999999999993,10.825,10.93,10.72,0.20999999999999908,0.009999999999999787,10.2125,10.39,9.95,0.4400000000000013,0.13000000000000078,10.55,10.86,10.36,0.5,0.379999999999999,233406,307436,195832,111604,111604
2016-01-24,10.756,10.85,10.68,0.16999999999999993,-0.09999999999999964,11.088,11.57,10.79,0.7800000000000011,0.620000000000001,10.562000000000001,10.68,10.46,0.21999999999999886,0.10999999999999943,10.824,11.54,10.53,1.0099999999999998,0.7699999999999996,165569,271796,77485,194311,94695
2016-01-31,10.73,11.41,10.02,1.3900000000000006,-1.17,11.033999999999999,11.54,10.69,0.8499999999999996,-0.8499999999999996,10.198,10.69,9.85,0.8399999999999999,-0.620000000000001,10.536,11.28,10.08,1.1999999999999993,-0.9799999999999986,193351,415682,97311,318371,232998
2016-02-07,10.268,10.66,10.05,0.6099999999999994,0.5600000000000005,10.592,11.07,10.26,0.8100000000000005,0.8100000000000005,10.14,10.48,10.0,0.4800000000000004,0.4800000000000004,10.416,11.04,10.15,0.8899999999999988,0.8699999999999992,254401,309069,140465,168604,29818
2016-02-14,11.11,11.38,10.65,0.7300000000000004,0.030000000000001137,11.415,11.58,11.19,0.39000000000000057,0.3000000000000007,10.502500000000001,10.55,10.47,0.08000000000000007,-0.009999999999999787,11.1175,11.37,10.55,0.8199999999999985,0.7099999999999991,196438,253631,126240,127391,-57334
2016-02-21,10.922,11.33,10.58,0.75,-0.75,11.046,11.46,10.82,0.6400000000000006,-0.6000000000000014,10.45,10.56,10.36,0.20000000000000107,-0.14000000000000057,10.814,11.29,10.5,0.7899999999999991,-0.6099999999999994,148350,204175,107987,96188,-79237
2016-02-28,10.858,11.03,10.68,0.34999999999999964,0.28000000000000114,11.066,11.17,10.96,0.20999999999999908,0.20999999999999908,10.682,10.81,10.39,0.41999999999999993,0.41000000000000014,10.914,11.0,10.8,0.1999999999999993,0.1899999999999995,180277,220148,103780,116368,-88297
2016-03-06,11.022,11.29,10.84,0.4499999999999993,0.05000000000000071,11.214,11.45,10.98,0.46999999999999886,-0.1999999999999993,10.764,10.84,10.66,0.17999999999999972,-0.07000000000000028,11.004,11.27,10.82,0.4499999999999993,-0.21000000000000085,138067,240173,84061,156112,154512
