Date,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Open_average,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Open_max,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Open_min,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Open_volatility,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Open_change,ProShares UltraPro Short NASDAQ BiotechnologyEtf_High_average,ProShares UltraPro Short NASDAQ BiotechnologyEtf_High_max,ProShares UltraPro Short NASDAQ BiotechnologyEtf_High_min,ProShares UltraPro Short NASDAQ BiotechnologyEtf_High_volatility,ProShares UltraPro Short NASDAQ BiotechnologyEtf_High_change,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Low_average,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Low_max,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Low_min,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Low_volatility,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Low_change,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Close_average,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Close_max,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Close_min,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Close_volatility,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Close_change
2016-01-03,25.4,25.4,25.4,0.0,0.0,28.25,28.25,28.25,0.0,0.0,25.33,25.33,25.33,0.0,0.0,28.22,28.22,28.22,0.0,0.0
2016-01-10,33.87,33.87,33.87,0.0,0.0,34.58,34.58,34.58,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2016-01-17,31.68,31.68,31.68,0.0,0.0,32.92,32.92,32.92,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2016-01-24,39.67,39.67,39.67,0.0,0.0,40.81,40.81,40.81,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.96,37.96,37.96,0.0,0.0
2016-01-31,38.89,38.89,38.89,0.0,0.0,43.82,43.82,43.82,0.0,0.0,38.89,38.89,38.89,0.0,0.0,42.5,42.5,42.5,0.0,0.0
2016-02-07,46.49,46.49,46.49,0.0,0.0,50.0,50.0,50.0,0.0,0.0,44.39,44.39,44.39,0.0,0.0,44.49,44.49,44.49,0.0,0.0
2016-02-14,40.15,40.15,40.15,0.0,0.0,41.27,41.27,41.27,0.0,0.0,38.19,38.19,38.19,0.0,0.0,38.64,38.64,38.64,0.0,0.0
2016-02-21,38.65,38.65,38.65,0.0,0.0,39.23,39.23,39.23,0.0,0.0,37.75,37.75,37.75,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2016-02-28,36.47,36.47,36.47,0.0,0.0,37.54,37.54,37.54,0.0,0.0,35.34,35.34,35.34,0.0,0.0,37.06,37.06,37.06,0.0,0.0
2016-03-06,39.03,39.03,39.03,0.0,0.0,39.55,39.55,39.55,0.0,0.0,36.86,36.86,36.86,0.0,0.0,37.03,37.03,37.03,0.0,0.0
2016-03-13,43.0,43.0,43.0,0.0,0.0,44.6,44.6,44.6,0.0,0.0,40.81,40.81,40.81,0.0,0.0,41.36,41.36,41.36,0.0,0.0
2016-03-20,40.41,40.41,40.41,0.0,0.0,41.5,41.5,41.5,0.0,0.0,37.14,37.14,37.14,0.0,0.0,38.77,38.77,38.77,0.0,0.0
2016-03-27,36.7,36.7,36.7,0.0,0.0,37.55,37.55,37.55,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.17,33.17,33.17,0.0,0.0
2016-04-03,26.96,26.96,26.96,0.0,0.0,29.87,29.87,29.87,0.0,0.0,26.96,26.96,26.96,0.0,0.0,29.13,29.13,29.13,0.0,0.0
2016-04-10,27.52,27.52,27.52,0.0,0.0,28.82,28.82,28.82,0.0,0.0,27.52,27.52,27.52,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2016-04-17,25.68,25.68,25.68,0.0,0.0,26.85,26.85,26.85,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2016-04-24,29.95,29.95,29.95,0.0,0.0,32.28,32.28,32.28,0.0,0.0,29.57,29.57,29.57,0.0,0.0,31.57,31.57,31.57,0.0,0.0
2016-05-01,35.81,35.81,35.81,0.0,0.0,37.5,37.5,37.5,0.0,0.0,34.56,34.56,34.56,0.0,0.0,36.15,36.15,36.15,0.0,0.0
2016-05-08,37.71,37.71,37.71,0.0,0.0,37.71,37.71,37.71,0.0,0.0,35.5,35.5,35.5,0.0,0.0,36.35,36.35,36.35,0.0,0.0
