Date,SPDR S&P Bank_etf_Open_average,SPDR S&P Bank_etf_Open_max,SPDR S&P Bank_etf_Open_min,SPDR S&P Bank_etf_Open_volatility,SPDR S&P Bank_etf_Open_change,SPDR S&P Bank_etf_High_average,SPDR S&P Bank_etf_High_max,SPDR S&P Bank_etf_High_min,SPDR S&P Bank_etf_High_volatility,SPDR S&P Bank_etf_High_change,SPDR S&P Bank_etf_Low_average,SPDR S&P Bank_etf_Low_max,SPDR S&P Bank_etf_Low_min,SPDR S&P Bank_etf_Low_volatility,SPDR S&P Bank_etf_Low_change,SPDR S&P Bank_etf_Close_average,SPDR S&P Bank_etf_Close_max,SPDR S&P Bank_etf_Close_min,SPDR S&P Bank_etf_Close_volatility,SPDR S&P Bank_etf_Close_change
2016-01-03,31.82,31.82,31.82,0.0,0.0,31.83,31.83,31.83,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.87,30.87,30.87,0.0,0.0
2016-01-10,29.3,29.3,29.3,0.0,0.0,29.6,29.6,29.6,0.0,0.0,28.93,28.93,28.93,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2016-01-17,28.78,28.78,28.78,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2016-01-24,29.0,29.0,29.0,0.0,0.0,29.56,29.56,29.56,0.0,0.0,28.93,28.93,28.93,0.0,0.0,29.56,29.56,29.56,0.0,0.0
2016-01-31,29.06,29.06,29.06,0.0,0.0,29.32,29.32,29.32,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.59,28.59,28.59,0.0,0.0
2016-02-07,27.04,27.04,27.04,0.0,0.0,27.89,27.89,27.89,0.0,0.0,26.97,26.97,26.97,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2016-02-14,28.12,28.12,28.12,0.0,0.0,28.45,28.45,28.45,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2016-02-21,28.76,28.76,28.76,0.0,0.0,29.22,29.22,29.22,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2016-02-28,30.76,30.76,30.76,0.0,0.0,31.14,31.14,31.14,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.95,30.95,30.95,0.0,0.0
2016-03-06,30.44,30.44,30.44,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.99,30.99,30.99,0.0,0.0
