Date,IDCCStock_Open_average,IDCCStock_Open_max,IDCCStock_Open_min,IDCCStock_Open_volatility,IDCCStock_Open_change,IDCCStock_High_average,IDCCStock_High_max,IDCCStock_High_min,IDCCStock_High_volatility,IDCCStock_High_change,IDCCStock_Low_average,IDCCStock_Low_max,IDCCStock_Low_min,IDCCStock_Low_volatility,IDCCStock_Low_change,IDCCStock_Close_average,IDCCStock_Close_max,IDCCStock_Close_min,IDCCStock_Close_volatility,IDCCStock_Close_change,IDCCStock_Volume_average,IDCCStock_Volume_max,IDCCStock_Volume_min,IDCCStock_Volume_volatility,IDCCStock_Volume_change
2016-01-03,47.644,48.46,46.62,1.8400000000000034,-1.7700000000000031,48.064,48.64,47.09,1.5499999999999972,-1.509999999999998,47.094,48.02,45.91,2.1100000000000065,-1.8300000000000054,47.366,48.44,45.94,2.5,-2.5,345380,433925,281886,152039,113429
2016-01-10,45.49,46.1,43.9,2.200000000000003,-2.020000000000003,46.016,46.6,44.63,1.9699999999999989,-1.9299999999999997,44.906,45.57,43.82,1.75,-1.75,45.184,46.01,44.02,1.9899999999999949,-1.6399999999999935,351180,481131,241708,239423,34297
2016-01-17,43.4225,44.7,42.12,2.5800000000000054,-2.010000000000005,44.4875,45.0,43.36,1.6400000000000006,-1.3800000000000026,41.8775,43.02,41.2,1.8200000000000003,-1.2700000000000031,43.065,44.57,41.56,3.009999999999998,-0.25,571323,815128,429426,385702,-91508
2016-01-24,43.244,43.79,42.65,1.1400000000000006,1.1400000000000006,44.21,45.04,43.74,1.2999999999999972,1.2999999999999972,42.674,43.79,41.01,2.780000000000001,1.4299999999999997,43.69,45.04,42.73,2.3100000000000023,2.3100000000000023,304690,400983,242114,158869,87560
2016-01-31,44.044,44.61,43.64,0.9699999999999989,-0.9699999999999989,44.62,45.63,43.64,1.990000000000002,-1.6099999999999994,43.388,44.29,42.35,1.9399999999999977,-1.9399999999999977,43.684,44.61,42.41,2.200000000000003,-2.200000000000003,245764,301086,188866,112220,-7029
2016-02-07,42.396,42.81,42.01,0.8000000000000043,0.6600000000000037,43.172000000000004,43.46,42.77,0.6899999999999977,0.6899999999999977,42.098,42.52,41.36,1.1600000000000037,1.1600000000000037,42.688,43.17,42.49,0.6799999999999997,0.5700000000000003,184797,225978,154477,71501,-22124
2016-02-14,45.56,47.73,43.6,4.1299999999999955,4.1299999999999955,46.9875,49.44,44.38,5.059999999999995,5.059999999999995,45.504999999999995,47.62,43.49,4.1299999999999955,4.1299999999999955,46.205,47.84,44.32,3.520000000000003,3.479999999999997,478224,748535,216045,532490,322952
2016-02-21,49.84166666666667,51.08,47.98,3.1000000000000014,2.1500000000000057,50.575,51.63,49.58,2.0500000000000043,0.5500000000000043,49.29833333333333,50.13,47.89,2.240000000000002,2.240000000000002,50.245,51.35,49.47,1.8800000000000026,0.6600000000000037,351907,518990,219470,299520,-160248
2016-02-28,51.366,53.22,49.96,3.259999999999998,3.1999999999999957,52.398,54.21,50.35,3.8599999999999994,3.8599999999999994,50.938,52.75,49.53,3.219999999999999,3.219999999999999,52.042,53.51,49.73,3.780000000000001,3.780000000000001,352510,406810,274350,132460,9066
2016-03-06,53.268,53.97,52.45,1.519999999999996,-0.9199999999999946,53.888,54.58,52.99,1.5899999999999963,-1.5899999999999963,52.574,53.26,51.93,1.3299999999999983,-1.2399999999999949,53.038000000000004,54.43,52.1,2.3299999999999983,-1.6899999999999977,427006,749134,245848,503286,-77553
