Date,Guggenheim Invest BRIC_etf_Open_average,Guggenheim Invest BRIC_etf_Open_max,Guggenheim Invest BRIC_etf_Open_min,Guggenheim Invest BRIC_etf_Open_volatility,Guggenheim Invest BRIC_etf_Open_change,Guggenheim Invest BRIC_etf_High_average,Guggenheim Invest BRIC_etf_High_max,Guggenheim Invest BRIC_etf_High_min,Guggenheim Invest BRIC_etf_High_volatility,Guggenheim Invest BRIC_etf_High_change,Guggenheim Invest BRIC_etf_Low_average,Guggenheim Invest BRIC_etf_Low_max,Guggenheim Invest BRIC_etf_Low_min,Guggenheim Invest BRIC_etf_Low_volatility,Guggenheim Invest BRIC_etf_Low_change,Guggenheim Invest BRIC_etf_Close_average,Guggenheim Invest BRIC_etf_Close_max,Guggenheim Invest BRIC_etf_Close_min,Guggenheim Invest BRIC_etf_Close_volatility,Guggenheim Invest BRIC_etf_Close_change
2016-01-03,22.61,22.61,22.61,0.0,0.0,22.61,22.61,22.61,0.0,0.0,22.14,22.14,22.14,0.0,0.0,22.14,22.14,22.14,0.0,0.0
2016-01-10,21.12,21.12,21.12,0.0,0.0,21.17,21.17,21.17,0.0,0.0,20.77,20.77,20.77,0.0,0.0,21.03,21.03,21.03,0.0,0.0
2016-01-17,21.74,21.74,21.74,0.0,0.0,21.8,21.8,21.8,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.68,21.68,21.68,0.0,0.0
2016-01-24,22.04,22.04,22.04,0.0,0.0,22.27,22.27,22.27,0.0,0.0,22.04,22.04,22.04,0.0,0.0,22.27,22.27,22.27,0.0,0.0
2016-01-31,21.89,21.89,21.89,0.0,0.0,21.89,21.89,21.89,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.41,21.41,21.41,0.0,0.0
2016-02-07,20.58,20.58,20.58,0.0,0.0,20.81,20.81,20.81,0.0,0.0,20.58,20.58,20.58,0.0,0.0,20.81,20.81,20.81,0.0,0.0
2016-02-14,21.7,21.7,21.7,0.0,0.0,21.85,21.85,21.85,0.0,0.0,21.7,21.7,21.7,0.0,0.0,21.85,21.85,21.85,0.0,0.0
2016-02-21,22.35,22.35,22.35,0.0,0.0,22.35,22.35,22.35,0.0,0.0,21.94,21.94,21.94,0.0,0.0,21.95,21.95,21.95,0.0,0.0
2016-02-28,24.23,24.23,24.23,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.22,24.22,24.22,0.0,0.0,24.47,24.47,24.47,0.0,0.0
2016-03-06,24.56,24.56,24.56,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.81,24.81,24.81,0.0,0.0
2016-03-13,25.38,25.38,25.38,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.41,25.41,25.41,0.0,0.0
2016-03-20,24.6,24.6,24.6,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2016-03-27,25.1,25.1,25.1,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2016-04-03,25.34,25.34,25.34,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2016-04-10,26.64,26.64,26.64,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.63,26.63,26.63,0.0,0.0
2016-04-17,26.7,26.7,26.7,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2016-04-24,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.63,26.63,26.63,0.0,0.0
2016-05-01,25.32,25.32,25.32,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.59,25.59,25.59,0.0,0.0
2016-05-08,25.35,25.35,25.35,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2016-05-15,25.0,25.0,25.0,0.0,0.0,25.05,25.05,25.05,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.91,24.91,24.91,0.0,0.0
2016-05-22,25.45,25.45,25.45,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.53,25.53,25.53,0.0,0.0
2016-05-29,25.38,25.38,25.38,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2016-06-05,25.49,25.49,25.49,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2016-06-12,25.16,25.16,25.16,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2016-06-19,24.91,24.91,24.91,0.0,0.0,25.23,25.23,25.23,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2016-06-26,26.29,26.29,26.29,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2016-07-03,26.1,26.1,26.1,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.28,26.28,26.28,0.0,0.0
2016-07-10,27.32,27.32,27.32,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.13,27.13,27.13,0.0,0.0,27.26,27.26,27.26,0.0,0.0
2016-07-17,27.39,27.39,27.39,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.54,27.54,27.54,0.0,0.0
2016-07-24,27.23,27.23,27.23,0.0,0.0,27.44,27.44,27.44,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2016-07-31,27.62,27.62,27.62,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2016-08-07,28.51,28.51,28.51,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2016-08-14,29.06,29.06,29.06,0.0,0.0,29.07,29.07,29.07,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.02,29.02,29.02,0.0,0.0
2016-08-21,28.68,28.68,28.68,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.49,28.49,28.49,0.0,0.0
2016-08-28,29.04,29.04,29.04,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2016-09-04,29.51,29.51,29.51,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.2,29.2,29.2,0.0,0.0
2016-09-11,28.92,28.92,28.92,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.88,28.88,28.88,0.0,0.0
2016-09-18,29.9,29.9,29.9,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2016-09-25,29.53,29.53,29.53,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.59,29.59,29.59,0.0,0.0
