Date,ProShares VIX Short-Term Futures_etf_Open_average,ProShares VIX Short-Term Futures_etf_Open_max,ProShares VIX Short-Term Futures_etf_Open_min,ProShares VIX Short-Term Futures_etf_Open_volatility,ProShares VIX Short-Term Futures_etf_Open_change,ProShares VIX Short-Term Futures_etf_High_average,ProShares VIX Short-Term Futures_etf_High_max,ProShares VIX Short-Term Futures_etf_High_min,ProShares VIX Short-Term Futures_etf_High_volatility,ProShares VIX Short-Term Futures_etf_High_change,ProShares VIX Short-Term Futures_etf_Low_average,ProShares VIX Short-Term Futures_etf_Low_max,ProShares VIX Short-Term Futures_etf_Low_min,ProShares VIX Short-Term Futures_etf_Low_volatility,ProShares VIX Short-Term Futures_etf_Low_change,ProShares VIX Short-Term Futures_etf_Close_average,ProShares VIX Short-Term Futures_etf_Close_max,ProShares VIX Short-Term Futures_etf_Close_min,ProShares VIX Short-Term Futures_etf_Close_volatility,ProShares VIX Short-Term Futures_etf_Close_change
2016-01-03,302.0,302.0,302.0,0.0,0.0,334.2,334.2,334.2,0.0,0.0,298.8,298.8,298.8,0.0,0.0,329.8,329.8,329.8,0.0,0.0
2016-01-10,358.4,358.4,358.4,0.0,0.0,366.8,366.8,366.8,0.0,0.0,344.8,344.8,344.8,0.0,0.0,354.8,354.8,354.8,0.0,0.0
2016-01-17,344.6,344.6,344.6,0.0,0.0,349.0,349.0,349.0,0.0,0.0,331.6,331.6,331.6,0.0,0.0,332.0,332.0,332.0,0.0,0.0
2016-01-24,331.2,331.2,331.2,0.0,0.0,332.8,332.8,332.8,0.0,0.0,319.0,319.0,319.0,0.0,0.0,319.8,319.8,319.8,0.0,0.0
2016-01-31,335.2,335.2,335.2,0.0,0.0,355.2,355.2,355.2,0.0,0.0,335.2,335.2,335.2,0.0,0.0,349.6,349.6,349.6,0.0,0.0
2016-02-07,383.0,383.0,383.0,0.0,0.0,392.4,392.4,392.4,0.0,0.0,377.6,377.6,377.6,0.0,0.0,378.8,378.8,378.8,0.0,0.0
2016-02-14,352.0,352.0,352.0,0.0,0.0,355.0,355.0,355.0,0.0,0.0,336.4,336.4,336.4,0.0,0.0,336.8,336.8,336.8,0.0,0.0
2016-02-21,315.0,315.0,315.0,0.0,0.0,327.5,327.5,327.5,0.0,0.0,313.4,313.4,313.4,0.0,0.0,324.8,324.8,324.8,0.0,0.0
2016-02-28,281.2,281.2,281.2,0.0,0.0,292.4,292.4,292.4,0.0,0.0,279.8,279.8,279.8,0.0,0.0,289.2,289.2,289.2,0.0,0.0
2016-03-06,284.8,284.8,284.8,0.0,0.0,286.0,286.0,286.0,0.0,0.0,276.8,276.8,276.8,0.0,0.0,277.0,277.0,277.0,0.0,0.0
2016-03-13,255.0,255.0,255.0,0.0,0.0,261.12,261.12,261.12,0.0,0.0,251.6,251.6,251.6,0.0,0.0,256.0,256.0,256.0,0.0,0.0
2016-03-20,266.4,266.4,266.4,0.0,0.0,268.0,268.0,268.0,0.0,0.0,255.4,255.4,255.4,0.0,0.0,255.8,255.8,255.8,0.0,0.0
2016-03-27,240.8,240.8,240.8,0.0,0.0,242.4,242.4,242.4,0.0,0.0,226.0,226.0,226.0,0.0,0.0,226.4,226.4,226.4,0.0,0.0
2016-04-03,241.8,241.8,241.8,0.0,0.0,249.6,249.6,249.6,0.0,0.0,237.8,237.8,237.8,0.0,0.0,244.6,244.6,244.6,0.0,0.0
2016-04-10,226.4,226.4,226.4,0.0,0.0,228.8,228.8,228.8,0.0,0.0,223.6,223.6,223.6,0.0,0.0,224.0,224.0,224.0,0.0,0.0
2016-04-17,218.4,218.4,218.4,0.0,0.0,220.0,220.0,220.0,0.0,0.0,210.8,210.8,210.8,0.0,0.0,211.6,211.6,211.6,0.0,0.0
2016-04-24,218.0,218.0,218.0,0.0,0.0,232.0,232.0,232.0,0.0,0.0,215.4,215.4,215.4,0.0,0.0,222.0,222.0,222.0,0.0,0.0
2016-05-01,222.0,222.0,222.0,0.0,0.0,222.2,222.2,222.2,0.0,0.0,210.4,210.4,210.4,0.0,0.0,211.2,211.2,211.2,0.0,0.0
2016-05-08,200.8,200.8,200.8,0.0,0.0,209.3,209.3,209.3,0.0,0.0,196.6,196.6,196.6,0.0,0.0,207.6,207.6,207.6,0.0,0.0
2016-05-15,202.8,202.8,202.8,0.0,0.0,203.2,203.2,203.2,0.0,0.0,199.0,199.0,199.0,0.0,0.0,199.8,199.8,199.8,0.0,0.0
2016-05-22,183.4,183.4,183.4,0.0,0.0,184.0,184.0,184.0,0.0,0.0,179.6,179.6,179.6,0.0,0.0,179.8,179.8,179.8,0.0,0.0
2016-05-29,176.2,176.2,176.2,0.0,0.0,181.2,181.2,181.2,0.0,0.0,171.4,171.4,171.4,0.0,0.0,172.2,172.2,172.2,0.0,0.0
2016-06-05,182.8,182.8,182.8,0.0,0.0,191.4,191.4,191.4,0.0,0.0,181.55,181.55,181.55,0.0,0.0,190.4,190.4,190.4,0.0,0.0
2016-06-12,206.2,206.2,206.2,0.0,0.0,210.2,210.2,210.2,0.0,0.0,202.6,202.6,202.6,0.0,0.0,206.2,206.2,206.2,0.0,0.0
2016-06-19,215.2,215.2,215.2,0.0,0.0,228.0,228.0,228.0,0.0,0.0,198.2,198.2,198.2,0.0,0.0,222.8,222.8,222.8,0.0,0.0
2016-06-26,182.0,182.0,182.0,0.0,0.0,182.8,182.8,182.8,0.0,0.0,176.89,176.89,176.89,0.0,0.0,177.8,177.8,177.8,0.0,0.0
2016-07-03,167.2,167.2,167.2,0.0,0.0,168.2,168.2,168.2,0.0,0.0,161.0,161.0,161.0,0.0,0.0,162.0,162.0,162.0,0.0,0.0
2016-07-10,154.6,154.6,154.6,0.0,0.0,160.0,160.0,160.0,0.0,0.0,153.6,153.6,153.6,0.0,0.0,155.2,155.2,155.2,0.0,0.0
2016-07-17,151.2,151.2,151.2,0.0,0.0,152.2,152.2,152.2,0.0,0.0,146.8,146.8,146.8,0.0,0.0,148.4,148.4,148.4,0.0,0.0
2016-07-24,140.0,140.0,140.0,0.0,0.0,140.4,140.4,140.4,0.0,0.0,134.2,134.2,134.2,0.0,0.0,135.2,135.2,135.2,0.0,0.0
2016-07-31,127.76,127.76,127.76,0.0,0.0,127.84,127.84,127.84,0.0,0.0,124.88,124.88,124.88,0.0,0.0,126.52,126.52,126.52,0.0,0.0
2016-08-07,124.0,124.0,124.0,0.0,0.0,125.52,125.52,125.52,0.0,0.0,121.84,121.84,121.84,0.0,0.0,122.64,122.64,122.64,0.0,0.0
2016-08-14,120.88,120.88,120.88,0.0,0.0,122.04,122.04,122.04,0.0,0.0,119.56,119.56,119.56,0.0,0.0,120.04,120.04,120.04,0.0,0.0
2016-08-21,121.92,121.92,121.92,0.0,0.0,127.52,127.52,127.52,0.0,0.0,118.64,118.64,118.64,0.0,0.0,123.36,123.36,123.36,0.0,0.0
2016-08-28,117.4,117.4,117.4,0.0,0.0,117.88,117.88,117.88,0.0,0.0,115.52,115.52,115.52,0.0,0.0,115.52,115.52,115.52,0.0,0.0
2016-09-04,115.84,115.84,115.84,0.0,0.0,129.52,129.52,129.52,0.0,0.0,115.4,115.4,115.4,0.0,0.0,129.44,129.44,129.44,0.0,0.0
2016-09-11,133.64,133.64,133.64,0.0,0.0,136.0,136.0,136.0,0.0,0.0,128.44,128.44,128.44,0.0,0.0,129.24,129.24,129.24,0.0,0.0
2016-09-18,112.16,112.16,112.16,0.0,0.0,113.04,113.04,113.04,0.0,0.0,111.04,111.04,111.04,0.0,0.0,112.36,112.36,112.36,0.0,0.0
2016-09-25,114.04,114.04,114.04,0.0,0.0,116.04,116.04,116.04,0.0,0.0,111.84,111.84,111.84,0.0,0.0,113.32,113.32,113.32,0.0,0.0
2016-10-02,109.96,109.96,109.96,0.0,0.0,113.04,113.04,113.04,0.0,0.0,109.48,109.48,109.48,0.0,0.0,110.68,110.68,110.68,0.0,0.0
2016-10-09,114.36,114.36,114.36,0.0,0.0,117.42,117.42,117.42,0.0,0.0,113.68,113.68,113.68,0.0,0.0,116.6,116.6,116.6,0.0,0.0
2016-10-16,108.0,108.0,108.0,0.0,0.0,108.52,108.52,108.52,0.0,0.0,104.96,104.96,104.96,0.0,0.0,105.08,105.08,105.08,0.0,0.0
2016-10-23,107.16,107.16,107.16,0.0,0.0,113.24,113.24,113.24,0.0,0.0,105.88,105.88,105.88,0.0,0.0,111.36,111.36,111.36,0.0,0.0
2016-10-30,124.84,124.84,124.84,0.0,0.0,127.2,127.2,127.2,0.0,0.0,121.56,121.56,121.56,0.0,0.0,126.36,126.36,126.36,0.0,0.0
2016-11-06,108.88,108.88,108.88,0.0,0.0,110.24,110.24,110.24,0.0,0.0,104.32,104.32,104.32,0.0,0.0,104.72,104.72,104.72,0.0,0.0
2016-11-13,97.24,97.24,97.24,0.0,0.0,98.48,98.48,98.48,0.0,0.0,96.28,96.28,96.28,0.0,0.0,96.8,96.8,96.8,0.0,0.0
2016-11-20,93.08,93.08,93.08,0.0,0.0,93.92,93.92,93.92,0.0,0.0,92.56,92.56,92.56,0.0,0.0,92.76,92.76,92.76,0.0,0.0
2016-11-27,97.08,97.08,97.08,0.0,0.0,97.6,97.6,97.6,0.0,0.0,93.88,93.88,93.88,0.0,0.0,96.6,96.6,96.6,0.0,0.0
2016-12-04,88.32,88.32,88.32,0.0,0.0,88.44,88.44,88.44,0.0,0.0,86.28,86.28,86.28,0.0,0.0,86.68,86.68,86.68,0.0,0.0
