Date,Invesco QQQ Trust Series 1_etf_Open_average,Invesco QQQ Trust Series 1_etf_Open_max,Invesco QQQ Trust Series 1_etf_Open_min,Invesco QQQ Trust Series 1_etf_Open_volatility,Invesco QQQ Trust Series 1_etf_Open_change,Invesco QQQ Trust Series 1_etf_High_average,Invesco QQQ Trust Series 1_etf_High_max,Invesco QQQ Trust Series 1_etf_High_min,Invesco QQQ Trust Series 1_etf_High_volatility,Invesco QQQ Trust Series 1_etf_High_change,Invesco QQQ Trust Series 1_etf_Low_average,Invesco QQQ Trust Series 1_etf_Low_max,Invesco QQQ Trust Series 1_etf_Low_min,Invesco QQQ Trust Series 1_etf_Low_volatility,Invesco QQQ Trust Series 1_etf_Low_change,Invesco QQQ Trust Series 1_etf_Close_average,Invesco QQQ Trust Series 1_etf_Close_max,Invesco QQQ Trust Series 1_etf_Close_min,Invesco QQQ Trust Series 1_etf_Close_volatility,Invesco QQQ Trust Series 1_etf_Close_change
2016-01-03,105.67,105.67,105.67,0.0,0.0,106.29,106.29,106.29,0.0,0.0,103.9,103.9,103.9,0.0,0.0,104.01,104.01,104.01,0.0,0.0
2016-01-10,100.57,100.57,100.57,0.0,0.0,101.94,101.94,101.94,0.0,0.0,99.51,99.51,99.51,0.0,0.0,100.84,100.84,100.84,0.0,0.0
2016-01-17,102.84,102.84,102.84,0.0,0.0,103.81,103.81,103.81,0.0,0.0,102.53,102.53,102.53,0.0,0.0,103.77,103.77,103.77,0.0,0.0
2016-01-24,102.0,102.0,102.0,0.0,0.0,104.17,104.17,104.17,0.0,0.0,101.94,101.94,101.94,0.0,0.0,104.13,104.13,104.13,0.0,0.0
2016-01-31,101.29,101.29,101.29,0.0,0.0,101.33,101.33,101.33,0.0,0.0,97.72,97.72,97.72,0.0,0.0,98.12,98.12,98.12,0.0,0.0
2016-02-07,97.68,97.68,97.68,0.0,0.0,98.12,98.12,98.12,0.0,0.0,96.73,96.73,96.73,0.0,0.0,98.02,98.02,98.02,0.0,0.0
2016-02-14,100.91,100.91,100.91,0.0,0.0,101.94,101.94,101.94,0.0,0.0,100.61,100.61,100.61,0.0,0.0,101.63,101.63,101.63,0.0,0.0
2016-02-21,103.42,103.42,103.42,0.0,0.0,103.43,103.43,103.43,0.0,0.0,103.42,103.42,103.42,0.0,0.0,103.43,103.43,103.43,0.0,0.0
2016-02-28,105.76,105.76,105.76,0.0,0.0,106.35,106.35,106.35,0.0,0.0,104.97,104.97,104.97,0.0,0.0,105.67,105.67,105.67,0.0,0.0
2016-03-06,105.8,105.8,105.8,0.0,0.0,106.49,106.49,106.49,0.0,0.0,105.46,105.46,105.46,0.0,0.0,106.49,106.49,106.49,0.0,0.0
2016-03-13,107.46,107.46,107.46,0.0,0.0,107.64,107.64,107.64,0.0,0.0,106.8,106.8,106.8,0.0,0.0,107.37,107.37,107.37,0.0,0.0
2016-03-20,106.67,106.67,106.67,0.0,0.0,107.29,107.29,107.29,0.0,0.0,106.53,106.53,106.53,0.0,0.0,107.26,107.26,107.26,0.0,0.0
2016-03-27,108.58,108.58,108.58,0.0,0.0,110.4,110.4,110.4,0.0,0.0,108.39,108.39,108.39,0.0,0.0,110.36,110.36,110.36,0.0,0.0
2016-04-03,109.77,109.77,109.77,0.0,0.0,110.02,110.02,110.02,0.0,0.0,108.61,108.61,108.61,0.0,0.0,109.0,109.0,109.0,0.0,0.0
2016-04-10,110.83,110.83,110.83,0.0,0.0,111.06,111.06,111.06,0.0,0.0,110.36,110.36,110.36,0.0,0.0,110.64,110.64,110.64,0.0,0.0
2016-04-17,109.21,109.21,109.21,0.0,0.0,109.72,109.72,109.72,0.0,0.0,108.12,108.12,108.12,0.0,0.0,108.98,108.98,108.98,0.0,0.0
