Date,Global X Copper Miners_etf_Open_average,Global X Copper Miners_etf_Open_max,Global X Copper Miners_etf_Open_min,Global X Copper Miners_etf_Open_volatility,Global X Copper Miners_etf_Open_change,Global X Copper Miners_etf_High_average,Global X Copper Miners_etf_High_max,Global X Copper Miners_etf_High_min,Global X Copper Miners_etf_High_volatility,Global X Copper Miners_etf_High_change,Global X Copper Miners_etf_Low_average,Global X Copper Miners_etf_Low_max,Global X Copper Miners_etf_Low_min,Global X Copper Miners_etf_Low_volatility,Global X Copper Miners_etf_Low_change,Global X Copper Miners_etf_Close_average,Global X Copper Miners_etf_Close_max,Global X Copper Miners_etf_Close_min,Global X Copper Miners_etf_Close_volatility,Global X Copper Miners_etf_Close_change
2016-01-03,10.38,10.38,10.38,0.0,0.0,10.38,10.38,10.38,0.0,0.0,10.1,10.1,10.1,0.0,0.0,10.15,10.15,10.15,0.0,0.0
2016-01-10,9.21,9.21,9.21,0.0,0.0,9.25,9.25,9.25,0.0,0.0,9.0,9.0,9.0,0.0,0.0,9.16,9.16,9.16,0.0,0.0
2016-01-17,9.65,9.65,9.65,0.0,0.0,9.87,9.87,9.87,0.0,0.0,9.47,9.47,9.47,0.0,0.0,9.65,9.65,9.65,0.0,0.0
2016-01-24,9.8,9.8,9.8,0.0,0.0,10.07,10.07,10.07,0.0,0.0,9.8,9.8,9.8,0.0,0.0,10.01,10.01,10.01,0.0,0.0
2016-01-31,10.84,10.84,10.84,0.0,0.0,10.85,10.85,10.85,0.0,0.0,10.63,10.63,10.63,0.0,0.0,10.8,10.8,10.8,0.0,0.0
2016-02-07,10.16,10.16,10.16,0.0,0.0,10.38,10.38,10.38,0.0,0.0,10.1,10.1,10.1,0.0,0.0,10.34,10.34,10.34,0.0,0.0
2016-02-14,11.64,11.64,11.64,0.0,0.0,11.72,11.72,11.72,0.0,0.0,11.6,11.6,11.6,0.0,0.0,11.62,11.62,11.62,0.0,0.0
2016-02-21,11.96,11.96,11.96,0.0,0.0,12.17,12.17,12.17,0.0,0.0,11.79,11.79,11.79,0.0,0.0,11.89,11.89,11.89,0.0,0.0
2016-02-28,14.35,14.35,14.35,0.0,0.0,15.06,15.06,15.06,0.0,0.0,14.25,14.25,14.25,0.0,0.0,14.7,14.7,14.7,0.0,0.0
2016-03-06,14.3,14.3,14.3,0.0,0.0,14.44,14.44,14.44,0.0,0.0,14.2,14.2,14.2,0.0,0.0,14.39,14.39,14.39,0.0,0.0
2016-03-13,15.31,15.31,15.31,0.0,0.0,15.43,15.43,15.43,0.0,0.0,14.51,14.51,14.51,0.0,0.0,15.12,15.12,15.12,0.0,0.0
2016-03-20,13.68,13.68,13.68,0.0,0.0,14.26,14.26,14.26,0.0,0.0,13.5,13.5,13.5,0.0,0.0,14.26,14.26,14.26,0.0,0.0
2016-03-27,13.92,13.92,13.92,0.0,0.0,13.99,13.99,13.99,0.0,0.0,13.69,13.69,13.69,0.0,0.0,13.97,13.97,13.97,0.0,0.0
