Date,ProShares Ultra GoldEtf_Open_average,ProShares Ultra GoldEtf_Open_max,ProShares Ultra GoldEtf_Open_min,ProShares Ultra GoldEtf_Open_volatility,ProShares Ultra GoldEtf_Open_change,ProShares Ultra GoldEtf_High_average,ProShares Ultra GoldEtf_High_max,ProShares Ultra GoldEtf_High_min,ProShares Ultra GoldEtf_High_volatility,ProShares Ultra GoldEtf_High_change,ProShares Ultra GoldEtf_Low_average,ProShares Ultra GoldEtf_Low_max,ProShares Ultra GoldEtf_Low_min,ProShares Ultra GoldEtf_Low_volatility,ProShares Ultra GoldEtf_Low_change,ProShares Ultra GoldEtf_Close_average,ProShares Ultra GoldEtf_Close_max,ProShares Ultra GoldEtf_Close_min,ProShares Ultra GoldEtf_Close_volatility,ProShares Ultra GoldEtf_Close_change
2016-01-03,32.22,32.22,32.22,0.0,0.0,32.31,32.31,32.31,0.0,0.0,31.84,31.84,31.84,0.0,0.0,32.28,32.28,32.28,0.0,0.0
2016-01-10,31.86,31.86,31.86,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2016-01-17,31.71,31.71,31.71,0.0,0.0,32.1,32.1,32.1,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2016-01-24,32.7,32.7,32.7,0.0,0.0,33.11,33.11,33.11,0.0,0.0,32.6,32.6,32.6,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2016-01-31,34.82,34.82,34.82,0.0,0.0,36.51,36.51,36.51,0.0,0.0,34.63,34.63,34.63,0.0,0.0,36.33,36.33,36.33,0.0,0.0
2016-02-07,40.13,40.13,40.13,0.0,0.0,40.51,40.51,40.51,0.0,0.0,39.92,39.92,39.92,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2016-02-14,39.76,39.76,39.76,0.0,0.0,40.06,40.06,40.06,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.77,39.77,39.77,0.0,0.0
2016-02-21,39.42,39.42,39.42,0.0,0.0,39.6,39.6,39.6,0.0,0.0,38.46,38.46,38.46,0.0,0.0,39.18,39.18,39.18,0.0,0.0
2016-02-28,42.0,42.0,42.0,0.0,0.0,42.82,42.82,42.82,0.0,0.0,41.49,41.49,41.49,0.0,0.0,41.69,41.69,41.69,0.0,0.0
2016-03-06,42.21,42.21,42.21,0.0,0.0,42.21,42.21,42.21,0.0,0.0,40.77,40.77,40.77,0.0,0.0,40.8,40.8,40.8,0.0,0.0
2016-03-13,40.89,40.89,40.89,0.0,0.0,41.42,41.42,41.42,0.0,0.0,40.71,40.71,40.71,0.0,0.0,40.88,40.88,40.88,0.0,0.0
2016-03-20,38.78,38.78,38.78,0.0,0.0,39.01,39.01,39.01,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.7,38.7,38.7,0.0,0.0
2016-03-27,38.42,38.42,38.42,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.1,38.1,38.1,0.0,0.0,39.0,39.0,39.0,0.0,0.0
2016-04-03,39.73,39.73,39.73,0.0,0.0,40.2,40.2,40.2,0.0,0.0,39.63,39.63,39.63,0.0,0.0,40.03,40.03,40.03,0.0,0.0
2016-04-10,39.31,39.31,39.31,0.0,0.0,39.76,39.76,39.76,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2016-04-17,40.24,40.24,40.24,0.0,0.0,40.28,40.28,40.28,0.0,0.0,39.19,39.19,39.19,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2016-04-24,42.45,42.45,42.45,0.0,0.0,43.67,43.67,43.67,0.0,0.0,42.45,42.45,42.45,0.0,0.0,43.46,43.46,43.46,0.0,0.0
2016-05-01,42.98,42.98,42.98,0.0,0.0,43.59,43.59,43.59,0.0,0.0,42.69,42.69,42.69,0.0,0.0,43.12,43.12,43.12,0.0,0.0
2016-05-08,41.55,41.55,41.55,0.0,0.0,42.07,42.07,42.07,0.0,0.0,41.42,41.42,41.42,0.0,0.0,41.96,41.96,41.96,0.0,0.0
2016-05-15,40.98,40.98,40.98,0.0,0.0,40.98,40.98,40.98,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.57,40.57,40.57,0.0,0.0
