Date,SPDR Gold SharesEtf_Open_average,SPDR Gold SharesEtf_Open_max,SPDR Gold SharesEtf_Open_min,SPDR Gold SharesEtf_Open_volatility,SPDR Gold SharesEtf_Open_change,SPDR Gold SharesEtf_High_average,SPDR Gold SharesEtf_High_max,SPDR Gold SharesEtf_High_min,SPDR Gold SharesEtf_High_volatility,SPDR Gold SharesEtf_High_change,SPDR Gold SharesEtf_Low_average,SPDR Gold SharesEtf_Low_max,SPDR Gold SharesEtf_Low_min,SPDR Gold SharesEtf_Low_volatility,SPDR Gold SharesEtf_Low_change,SPDR Gold SharesEtf_Close_average,SPDR Gold SharesEtf_Close_max,SPDR Gold SharesEtf_Close_min,SPDR Gold SharesEtf_Close_volatility,SPDR Gold SharesEtf_Close_change
2016-01-03,105.48,105.48,105.48,0.0,0.0,105.8,105.8,105.8,0.0,0.0,105.04,105.04,105.04,0.0,0.0,105.68,105.68,105.68,0.0,0.0
2016-01-10,104.92,104.92,104.92,0.0,0.0,104.96,104.96,104.96,0.0,0.0,103.97,103.97,103.97,0.0,0.0,104.08,104.08,104.08,0.0,0.0
2016-01-17,104.93,104.93,104.93,0.0,0.0,105.51,105.51,105.51,0.0,0.0,104.76,104.76,104.76,0.0,0.0,105.0,105.0,105.0,0.0,0.0
2016-01-24,106.61,106.61,106.61,0.0,0.0,107.0,107.0,107.0,0.0,0.0,106.26,106.26,106.26,0.0,0.0,106.95,106.95,106.95,0.0,0.0
2016-01-31,109.79,109.79,109.79,0.0,0.0,112.35,112.35,112.35,0.0,0.0,109.58,109.58,109.58,0.0,0.0,112.32,112.32,112.32,0.0,0.0
2016-02-07,118.12,118.12,118.12,0.0,0.0,118.74,118.74,118.74,0.0,0.0,117.88,117.88,117.88,0.0,0.0,118.36,118.36,118.36,0.0,0.0
2016-02-14,117.26,117.26,117.26,0.0,0.0,117.97,117.97,117.97,0.0,0.0,117.1,117.1,117.1,0.0,0.0,117.58,117.58,117.58,0.0,0.0
2016-02-21,117.43,117.43,117.43,0.0,0.0,117.72,117.72,117.72,0.0,0.0,115.86,115.86,115.86,0.0,0.0,117.11,117.11,117.11,0.0,0.0
2016-02-28,121.13,121.13,121.13,0.0,0.0,122.37,122.37,122.37,0.0,0.0,120.22,120.22,120.22,0.0,0.0,120.54,120.54,120.54,0.0,0.0
2016-03-06,121.19,121.19,121.19,0.0,0.0,121.39,121.39,121.39,0.0,0.0,119.36,119.36,119.36,0.0,0.0,119.41,119.41,119.41,0.0,0.0
2016-03-13,119.59,119.59,119.59,0.0,0.0,120.34,120.34,120.34,0.0,0.0,119.51,119.51,119.51,0.0,0.0,119.8,119.8,119.8,0.0,0.0
2016-03-20,116.77,116.77,116.77,0.0,0.0,116.94,116.94,116.94,0.0,0.0,116.3,116.3,116.3,0.0,0.0,116.33,116.33,116.33,0.0,0.0
2016-03-27,116.08,116.08,116.08,0.0,0.0,116.98,116.98,116.98,0.0,0.0,115.55,115.55,115.55,0.0,0.0,116.93,116.93,116.93,0.0,0.0
2016-04-03,118.07,118.07,118.07,0.0,0.0,118.77,118.77,118.77,0.0,0.0,117.98,117.98,117.98,0.0,0.0,118.43,118.43,118.43,0.0,0.0
