Date,SPDR S&P Capital Markets_etf_Open_average,SPDR S&P Capital Markets_etf_Open_max,SPDR S&P Capital Markets_etf_Open_min,SPDR S&P Capital Markets_etf_Open_volatility,SPDR S&P Capital Markets_etf_Open_change,SPDR S&P Capital Markets_etf_High_average,SPDR S&P Capital Markets_etf_High_max,SPDR S&P Capital Markets_etf_High_min,SPDR S&P Capital Markets_etf_High_volatility,SPDR S&P Capital Markets_etf_High_change,SPDR S&P Capital Markets_etf_Low_average,SPDR S&P Capital Markets_etf_Low_max,SPDR S&P Capital Markets_etf_Low_min,SPDR S&P Capital Markets_etf_Low_volatility,SPDR S&P Capital Markets_etf_Low_change,SPDR S&P Capital Markets_etf_Close_average,SPDR S&P Capital Markets_etf_Close_max,SPDR S&P Capital Markets_etf_Close_min,SPDR S&P Capital Markets_etf_Close_volatility,SPDR S&P Capital Markets_etf_Close_change
2016-01-03,39.73,39.73,39.73,0.0,0.0,39.73,39.73,39.73,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.67,38.67,38.67,0.0,0.0
2016-01-10,36.57,36.57,36.57,0.0,0.0,36.66,36.66,36.66,0.0,0.0,35.89,35.89,35.89,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2016-01-17,36.33,36.33,36.33,0.0,0.0,36.97,36.97,36.97,0.0,0.0,36.32,36.32,36.32,0.0,0.0,36.82,36.82,36.82,0.0,0.0
2016-01-24,35.86,35.86,35.86,0.0,0.0,36.68,36.68,36.68,0.0,0.0,35.86,35.86,35.86,0.0,0.0,36.68,36.68,36.68,0.0,0.0
2016-01-31,35.8,35.8,35.8,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.06,35.06,35.06,0.0,0.0,35.06,35.06,35.06,0.0,0.0
2016-02-07,33.49,33.49,33.49,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2016-02-14,34.81,34.81,34.81,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.81,34.81,34.81,0.0,0.0,35.13,35.13,35.13,0.0,0.0
2016-02-21,36.07,36.07,36.07,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.07,36.07,36.07,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2016-02-28,38.42,38.42,38.42,0.0,0.0,38.99,38.99,38.99,0.0,0.0,38.38,38.38,38.38,0.0,0.0,38.63,38.63,38.63,0.0,0.0
2016-03-06,38.16,38.16,38.16,0.0,0.0,38.94,38.94,38.94,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.91,38.91,38.91,0.0,0.0
2016-03-13,39.09,39.09,39.09,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.07,39.07,39.07,0.0,0.0,39.36,39.36,39.36,0.0,0.0
2016-03-20,38.5,38.5,38.5,0.0,0.0,38.52,38.52,38.52,0.0,0.0,37.82,37.82,37.82,0.0,0.0,38.2,38.2,38.2,0.0,0.0
2016-03-27,38.46,38.46,38.46,0.0,0.0,39.28,39.28,39.28,0.0,0.0,38.44,38.44,38.44,0.0,0.0,39.28,39.28,39.28,0.0,0.0
2016-04-03,37.4,37.4,37.4,0.0,0.0,37.42,37.42,37.42,0.0,0.0,36.96,36.96,36.96,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2016-04-10,39.95,39.95,39.95,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2016-04-17,41.07,41.07,41.07,0.0,0.0,41.54,41.54,41.54,0.0,0.0,41.02,41.02,41.02,0.0,0.0,41.42,41.42,41.42,0.0,0.0
2016-04-24,39.86,39.86,39.86,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2016-05-01,38.37,38.37,38.37,0.0,0.0,38.51,38.51,38.51,0.0,0.0,37.96,37.96,37.96,0.0,0.0,38.51,38.51,38.51,0.0,0.0
2016-05-08,38.72,38.72,38.72,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.17,38.17,38.17,0.0,0.0
2016-05-15,38.89,38.89,38.89,0.0,0.0,39.54,39.54,39.54,0.0,0.0,38.89,38.89,38.89,0.0,0.0,39.32,39.32,39.32,0.0,0.0
2016-05-22,40.77,40.77,40.77,0.0,0.0,41.2,41.2,41.2,0.0,0.0,40.77,40.77,40.77,0.0,0.0,41.2,41.2,41.2,0.0,0.0
2016-05-29,40.06,40.06,40.06,0.0,0.0,40.45,40.45,40.45,0.0,0.0,39.81,39.81,39.81,0.0,0.0,40.33,40.33,40.33,0.0,0.0
2016-06-05,39.41,39.41,39.41,0.0,0.0,39.41,39.41,39.41,0.0,0.0,38.99,38.99,38.99,0.0,0.0,38.99,38.99,38.99,0.0,0.0
2016-06-12,37.94,37.94,37.94,0.0,0.0,38.32,38.32,38.32,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.91,37.91,37.91,0.0,0.0
2016-06-19,37.01,37.01,37.01,0.0,0.0,37.36,37.36,37.36,0.0,0.0,36.26,36.26,36.26,0.0,0.0,36.26,36.26,36.26,0.0,0.0
2016-06-26,36.06,36.06,36.06,0.0,0.0,36.53,36.53,36.53,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.98,35.98,35.98,0.0,0.0
2016-07-03,36.13,36.13,36.13,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.13,36.13,36.13,0.0,0.0,36.48,36.48,36.48,0.0,0.0
2016-07-10,38.09,38.09,38.09,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.09,38.09,38.09,0.0,0.0,38.53,38.53,38.53,0.0,0.0
2016-07-17,38.76,38.76,38.76,0.0,0.0,39.05,39.05,39.05,0.0,0.0,38.72,38.72,38.72,0.0,0.0,39.03,39.03,39.03,0.0,0.0
2016-07-24,38.85,38.85,38.85,0.0,0.0,39.31,39.31,39.31,0.0,0.0,38.85,38.85,38.85,0.0,0.0,39.22,39.22,39.22,0.0,0.0
2016-07-31,39.94,39.94,39.94,0.0,0.0,40.2,40.2,40.2,0.0,0.0,39.93,39.93,39.93,0.0,0.0,40.17,40.17,40.17,0.0,0.0
2016-08-07,39.73,39.73,39.73,0.0,0.0,39.77,39.77,39.77,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.77,39.77,39.77,0.0,0.0
2016-08-14,40.13,40.13,40.13,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.13,40.13,40.13,0.0,0.0,40.39,40.39,40.39,0.0,0.0
2016-08-21,40.73,40.73,40.73,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.62,40.62,40.62,0.0,0.0
2016-08-28,40.98,40.98,40.98,0.0,0.0,41.2,41.2,41.2,0.0,0.0,40.95,40.95,40.95,0.0,0.0,41.14,41.14,41.14,0.0,0.0
2016-09-04,41.11,41.11,41.11,0.0,0.0,41.22,41.22,41.22,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.56,40.56,40.56,0.0,0.0
2016-09-11,40.27,40.27,40.27,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.22,40.22,40.22,0.0,0.0,40.43,40.43,40.43,0.0,0.0
2016-09-18,41.01,41.01,41.01,0.0,0.0,41.1,41.1,41.1,0.0,0.0,40.74,40.74,40.74,0.0,0.0,40.88,40.88,40.88,0.0,0.0
2016-09-25,40.42,40.42,40.42,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.39,40.39,40.39,0.0,0.0,40.51,40.51,40.51,0.0,0.0
2016-10-02,40.62,40.62,40.62,0.0,0.0,40.92,40.92,40.92,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.84,40.84,40.84,0.0,0.0
2016-10-09,40.28,40.28,40.28,0.0,0.0,40.28,40.28,40.28,0.0,0.0,39.83,39.83,39.83,0.0,0.0,40.01,40.01,40.01,0.0,0.0
2016-10-16,39.9,39.9,39.9,0.0,0.0,40.11,40.11,40.11,0.0,0.0,39.9,39.9,39.9,0.0,0.0,40.1,40.1,40.1,0.0,0.0
2016-10-23,39.59,39.59,39.59,0.0,0.0,39.79,39.79,39.79,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.39,39.39,39.39,0.0,0.0
2016-10-30,39.04,39.04,39.04,0.0,0.0,39.16,39.16,39.16,0.0,0.0,39.04,39.04,39.04,0.0,0.0,39.04,39.04,39.04,0.0,0.0
2016-11-06,42.65,42.65,42.65,0.0,0.0,42.88,42.88,42.88,0.0,0.0,42.28,42.28,42.28,0.0,0.0,42.88,42.88,42.88,0.0,0.0
2016-11-13,44.13,44.13,44.13,0.0,0.0,44.38,44.38,44.38,0.0,0.0,44.11,44.11,44.11,0.0,0.0,44.32,44.32,44.32,0.0,0.0
2016-11-20,44.94,44.94,44.94,0.0,0.0,44.94,44.94,44.94,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.89,44.89,44.89,0.0,0.0
2016-11-27,44.91,44.91,44.91,0.0,0.0,45.12,45.12,45.12,0.0,0.0,44.67,44.67,44.67,0.0,0.0,44.81,44.81,44.81,0.0,0.0
2016-12-04,47.15,47.15,47.15,0.0,0.0,47.15,47.15,47.15,0.0,0.0,46.74,46.74,46.74,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2016-12-11,45.8,45.8,45.8,0.0,0.0,45.85,45.85,45.85,0.0,0.0,45.25,45.25,45.25,0.0,0.0,45.27,45.27,45.27,0.0,0.0
2016-12-18,45.24,45.24,45.24,0.0,0.0,45.32,45.32,45.32,0.0,0.0,45.09,45.09,45.09,0.0,0.0,45.32,45.32,45.32,0.0,0.0
2016-12-25,44.98,44.98,44.98,0.0,0.0,44.98,44.98,44.98,0.0,0.0,44.74,44.74,44.74,0.0,0.0,44.88,44.88,44.88,0.0,0.0
2017-01-01,46.03,46.03,46.03,0.0,0.0,46.53,46.53,46.53,0.0,0.0,46.03,46.03,46.03,0.0,0.0,46.41,46.41,46.41,0.0,0.0
2017-01-08,46.14,46.14,46.14,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.03,46.03,46.03,0.0,0.0,46.05,46.05,46.05,0.0,0.0
2017-01-15,45.43,45.43,45.43,0.0,0.0,45.54,45.54,45.54,0.0,0.0,45.32,45.32,45.32,0.0,0.0,45.54,45.54,45.54,0.0,0.0
2017-01-22,45.82,45.82,45.82,0.0,0.0,45.98,45.98,45.98,0.0,0.0,45.77,45.77,45.77,0.0,0.0,45.88,45.88,45.88,0.0,0.0
2017-01-29,46.52,46.52,46.52,0.0,0.0,46.74,46.74,46.74,0.0,0.0,46.3,46.3,46.3,0.0,0.0,46.6,46.6,46.6,0.0,0.0
2017-02-05,47.07,47.07,47.07,0.0,0.0,47.13,47.13,47.13,0.0,0.0,46.93,46.93,46.93,0.0,0.0,47.1,47.1,47.1,0.0,0.0
2017-02-12,47.62,47.62,47.62,0.0,0.0,48.07,48.07,48.07,0.0,0.0,47.62,47.62,47.62,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2017-02-19,47.87,47.87,47.87,0.0,0.0,48.12,48.12,48.12,0.0,0.0,47.87,47.87,47.87,0.0,0.0,48.09,48.09,48.09,0.0,0.0
2017-02-26,47.96,47.96,47.96,0.0,0.0,48.03,48.03,48.03,0.0,0.0,47.85,47.85,47.85,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2017-03-05,47.58,47.58,47.58,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.52,47.52,47.52,0.0,0.0
2017-03-12,48.02,48.02,48.02,0.0,0.0,48.02,48.02,48.02,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.4,47.4,47.4,0.0,0.0
2017-03-19,46.0,46.0,46.0,0.0,0.0,46.24,46.24,46.24,0.0,0.0,45.61,45.61,45.61,0.0,0.0,45.81,45.81,45.81,0.0,0.0
2017-03-26,46.78,46.78,46.78,0.0,0.0,46.87,46.87,46.87,0.0,0.0,46.74,46.74,46.74,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2017-04-02,46.09,46.09,46.09,0.0,0.0,46.28,46.28,46.28,0.0,0.0,45.94,45.94,45.94,0.0,0.0,46.01,46.01,46.01,0.0,0.0
2017-04-09,45.7,45.7,45.7,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.17,45.17,45.17,0.0,0.0,45.28,45.28,45.28,0.0,0.0
2017-04-16,46.34,46.34,46.34,0.0,0.0,46.44,46.44,46.44,0.0,0.0,46.33,46.33,46.33,0.0,0.0,46.35,46.35,46.35,0.0,0.0
2017-04-23,47.01,47.01,47.01,0.0,0.0,47.01,47.01,47.01,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.9,46.9,46.9,0.0,0.0
2017-04-30,46.61,46.61,46.61,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.61,46.61,46.61,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2017-05-07,46.38,46.38,46.38,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.51,46.51,46.51,0.0,0.0
2017-05-14,46.11,46.11,46.11,0.0,0.0,46.32,46.32,46.32,0.0,0.0,46.04,46.04,46.04,0.0,0.0,46.2,46.2,46.2,0.0,0.0
2017-05-21,46.72,46.72,46.72,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.66,46.66,46.66,0.0,0.0
2017-05-28,47.13,47.13,47.13,0.0,0.0,47.29,47.29,47.29,0.0,0.0,47.0,47.0,47.0,0.0,0.0,47.23,47.23,47.23,0.0,0.0
2017-06-04,48.29,48.29,48.29,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.43,48.43,48.43,0.0,0.0
