Date,iShares Global IndustrialsEtf_Open_average,iShares Global IndustrialsEtf_Open_max,iShares Global IndustrialsEtf_Open_min,iShares Global IndustrialsEtf_Open_volatility,iShares Global IndustrialsEtf_Open_change,iShares Global IndustrialsEtf_High_average,iShares Global IndustrialsEtf_High_max,iShares Global IndustrialsEtf_High_min,iShares Global IndustrialsEtf_High_volatility,iShares Global IndustrialsEtf_High_change,iShares Global IndustrialsEtf_Low_average,iShares Global IndustrialsEtf_Low_max,iShares Global IndustrialsEtf_Low_min,iShares Global IndustrialsEtf_Low_volatility,iShares Global IndustrialsEtf_Low_change,iShares Global IndustrialsEtf_Close_average,iShares Global IndustrialsEtf_Close_max,iShares Global IndustrialsEtf_Close_min,iShares Global IndustrialsEtf_Close_volatility,iShares Global IndustrialsEtf_Close_change
2016-01-03,64.71,64.71,64.71,0.0,0.0,64.85,64.85,64.85,0.0,0.0,63.34,63.34,63.34,0.0,0.0,63.36,63.36,63.36,0.0,0.0
2016-01-10,61.85,61.85,61.85,0.0,0.0,62.33,62.33,62.33,0.0,0.0,61.36,61.36,61.36,0.0,0.0,61.79,61.79,61.79,0.0,0.0
2016-01-17,62.47,62.47,62.47,0.0,0.0,62.7,62.7,62.7,0.0,0.0,62.16,62.16,62.16,0.0,0.0,62.45,62.45,62.45,0.0,0.0
2016-01-24,62.93,62.93,62.93,0.0,0.0,64.33,64.33,64.33,0.0,0.0,62.93,62.93,62.93,0.0,0.0,64.18,64.18,64.18,0.0,0.0
2016-01-31,64.22,64.22,64.22,0.0,0.0,64.41,64.41,64.41,0.0,0.0,63.43,63.43,63.43,0.0,0.0,63.43,63.43,63.43,0.0,0.0
2016-02-07,61.77,61.77,61.77,0.0,0.0,62.34,62.34,62.34,0.0,0.0,61.47,61.47,61.47,0.0,0.0,62.33,62.33,62.33,0.0,0.0
2016-02-14,65.04,65.04,65.04,0.0,0.0,65.04,65.04,65.04,0.0,0.0,64.76,64.76,64.76,0.0,0.0,64.98,64.98,64.98,0.0,0.0
2016-02-21,66.31,66.31,66.31,0.0,0.0,66.31,66.31,66.31,0.0,0.0,65.87,65.87,65.87,0.0,0.0,66.09,66.09,66.09,0.0,0.0
2016-02-28,67.94,67.94,67.94,0.0,0.0,68.53,68.53,68.53,0.0,0.0,67.92,67.92,67.92,0.0,0.0,68.29,68.29,68.29,0.0,0.0
2016-03-06,68.54,68.54,68.54,0.0,0.0,68.76,68.76,68.76,0.0,0.0,68.51,68.51,68.51,0.0,0.0,68.66,68.66,68.66,0.0,0.0
