Date,ProShares Short MSCI EAFE_etf_Open_average,ProShares Short MSCI EAFE_etf_Open_max,ProShares Short MSCI EAFE_etf_Open_min,ProShares Short MSCI EAFE_etf_Open_volatility,ProShares Short MSCI EAFE_etf_Open_change,ProShares Short MSCI EAFE_etf_High_average,ProShares Short MSCI EAFE_etf_High_max,ProShares Short MSCI EAFE_etf_High_min,ProShares Short MSCI EAFE_etf_High_volatility,ProShares Short MSCI EAFE_etf_High_change,ProShares Short MSCI EAFE_etf_Low_average,ProShares Short MSCI EAFE_etf_Low_max,ProShares Short MSCI EAFE_etf_Low_min,ProShares Short MSCI EAFE_etf_Low_volatility,ProShares Short MSCI EAFE_etf_Low_change,ProShares Short MSCI EAFE_etf_Close_average,ProShares Short MSCI EAFE_etf_Close_max,ProShares Short MSCI EAFE_etf_Close_min,ProShares Short MSCI EAFE_etf_Close_volatility,ProShares Short MSCI EAFE_etf_Close_change
2016-01-03,35.18,35.18,35.18,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.82,35.82,35.82,0.0,0.0
2016-01-10,36.77,36.77,36.77,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2016-01-17,36.18,36.18,36.18,0.0,0.0,36.27,36.27,36.27,0.0,0.0,35.97,35.97,35.97,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2016-01-24,35.8,35.8,35.8,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.33,35.33,35.33,0.0,0.0
2016-01-31,36.06,36.06,36.06,0.0,0.0,36.53,36.53,36.53,0.0,0.0,36.06,36.06,36.06,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2016-02-07,38.0,38.0,38.0,0.0,0.0,38.12,38.12,38.12,0.0,0.0,37.4,37.4,37.4,0.0,0.0,37.42,37.42,37.42,0.0,0.0
2016-02-14,36.48,36.48,36.48,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.22,36.22,36.22,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2016-02-21,35.95,35.95,35.95,0.0,0.0,36.25,36.25,36.25,0.0,0.0,35.92,35.92,35.92,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2016-02-28,34.64,34.64,34.64,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.64,34.64,34.64,0.0,0.0
2016-03-06,34.3,34.3,34.3,0.0,0.0,34.3,34.3,34.3,0.0,0.0,33.98,33.98,33.98,0.0,0.0,33.99,33.99,33.99,0.0,0.0
2016-03-13,33.85,33.85,33.85,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2016-03-20,34.75,34.75,34.75,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.58,34.58,34.58,0.0,0.0
2016-03-27,34.75,34.75,34.75,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.42,34.42,34.42,0.0,0.0
2016-04-03,34.43,34.43,34.43,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2016-04-10,33.28,33.28,33.28,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.31,33.31,33.31,0.0,0.0
2016-04-17,32.58,32.58,32.58,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2016-04-24,33.1,33.1,33.1,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2016-05-01,34.1,34.1,34.1,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.83,33.83,33.83,0.0,0.0
2016-05-08,33.99,33.99,33.99,0.0,0.0,34.13,34.13,34.13,0.0,0.0,33.84,33.84,33.84,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2016-05-15,33.86,33.86,33.86,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2016-05-22,33.03,33.03,33.03,0.0,0.0,33.12,33.12,33.12,0.0,0.0,33.01,33.01,33.01,0.0,0.0,33.06,33.06,33.06,0.0,0.0
2016-05-29,33.19,33.19,33.19,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.01,33.01,33.01,0.0,0.0,33.03,33.03,33.03,0.0,0.0
2016-06-05,33.62,33.62,33.62,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.87,33.87,33.87,0.0,0.0
2016-06-12,34.49,34.49,34.49,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.26,34.26,34.26,0.0,0.0
2016-06-19,35.04,35.04,35.04,0.0,0.0,35.04,35.04,35.04,0.0,0.0,34.3,34.3,34.3,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2016-06-26,33.6,33.6,33.6,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.61,33.61,33.61,0.0,0.0
2016-07-03,34.08,34.08,34.08,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2016-07-10,32.8,32.8,32.8,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.9,32.9,32.9,0.0,0.0
