Date,iShares Edge MSCI Intl Size Factor_etf_Open_average,iShares Edge MSCI Intl Size Factor_etf_Open_max,iShares Edge MSCI Intl Size Factor_etf_Open_min,iShares Edge MSCI Intl Size Factor_etf_Open_volatility,iShares Edge MSCI Intl Size Factor_etf_Open_change,iShares Edge MSCI Intl Size Factor_etf_High_average,iShares Edge MSCI Intl Size Factor_etf_High_max,iShares Edge MSCI Intl Size Factor_etf_High_min,iShares Edge MSCI Intl Size Factor_etf_High_volatility,iShares Edge MSCI Intl Size Factor_etf_High_change,iShares Edge MSCI Intl Size Factor_etf_Low_average,iShares Edge MSCI Intl Size Factor_etf_Low_max,iShares Edge MSCI Intl Size Factor_etf_Low_min,iShares Edge MSCI Intl Size Factor_etf_Low_volatility,iShares Edge MSCI Intl Size Factor_etf_Low_change,iShares Edge MSCI Intl Size Factor_etf_Close_average,iShares Edge MSCI Intl Size Factor_etf_Close_max,iShares Edge MSCI Intl Size Factor_etf_Close_min,iShares Edge MSCI Intl Size Factor_etf_Close_volatility,iShares Edge MSCI Intl Size Factor_etf_Close_change
2016-01-03,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.81,23.81,23.81,0.0,0.0,23.81,23.81,23.81,0.0,0.0
2016-01-10,23.28,23.28,23.28,0.0,0.0,23.33,23.33,23.33,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.28,23.28,23.28,0.0,0.0
2016-01-17,22.67,22.67,22.67,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.67,22.67,22.67,0.0,0.0
2016-01-24,22.85,22.85,22.85,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.85,22.85,22.85,0.0,0.0
2016-01-31,22.95,22.95,22.95,0.0,0.0,22.95,22.95,22.95,0.0,0.0,22.95,22.95,22.95,0.0,0.0,22.95,22.95,22.95,0.0,0.0
2016-02-07,21.47,21.47,21.47,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.47,21.47,21.47,0.0,0.0
2016-02-14,21.83,21.83,21.83,0.0,0.0,21.95,21.95,21.95,0.0,0.0,21.82,21.82,21.82,0.0,0.0,21.95,21.95,21.95,0.0,0.0
2016-02-21,22.73,22.73,22.73,0.0,0.0,22.73,22.73,22.73,0.0,0.0,22.59,22.59,22.59,0.0,0.0,22.59,22.59,22.59,0.0,0.0
2016-02-28,23.28,23.28,23.28,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.28,23.28,23.28,0.0,0.0
2016-03-06,23.4,23.4,23.4,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.4,23.4,23.4,0.0,0.0
2016-03-13,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2016-03-20,23.68,23.68,23.68,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.68,23.68,23.68,0.0,0.0
2016-03-27,23.93,23.93,23.93,0.0,0.0,24.02,24.02,24.02,0.0,0.0,23.93,23.93,23.93,0.0,0.0,24.02,24.02,24.02,0.0,0.0
2016-04-03,23.78,23.78,23.78,0.0,0.0,23.79,23.79,23.79,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.79,23.79,23.79,0.0,0.0
2016-04-10,24.43,24.43,24.43,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2016-04-17,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2016-04-24,24.32,24.32,24.32,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.4,24.4,24.4,0.0,0.0
2016-05-01,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2016-05-08,24.11,24.11,24.11,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.31,24.31,24.31,0.0,0.0
2016-05-15,24.6,24.6,24.6,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.6,24.6,24.6,0.0,0.0
2016-05-22,25.09,25.09,25.09,0.0,0.0,25.09,25.09,25.09,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.91,24.91,24.91,0.0,0.0
2016-05-29,25.19,25.19,25.19,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2016-06-05,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.42,25.42,25.42,0.0,0.0
2016-06-12,24.25,24.25,24.25,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.39,24.39,24.39,0.0,0.0
2016-06-19,24.97,24.97,24.97,0.0,0.0,25.03,25.03,25.03,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0
2016-06-26,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0
2016-07-03,23.78,23.78,23.78,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.78,23.78,23.78,0.0,0.0
