Date,WisdomTree US SmallCap Quality Dividend GrowthEtf_Open_average,WisdomTree US SmallCap Quality Dividend GrowthEtf_Open_max,WisdomTree US SmallCap Quality Dividend GrowthEtf_Open_min,WisdomTree US SmallCap Quality Dividend GrowthEtf_Open_volatility,WisdomTree US SmallCap Quality Dividend GrowthEtf_Open_change,WisdomTree US SmallCap Quality Dividend GrowthEtf_High_average,WisdomTree US SmallCap Quality Dividend GrowthEtf_High_max,WisdomTree US SmallCap Quality Dividend GrowthEtf_High_min,WisdomTree US SmallCap Quality Dividend GrowthEtf_High_volatility,WisdomTree US SmallCap Quality Dividend GrowthEtf_High_change,WisdomTree US SmallCap Quality Dividend GrowthEtf_Low_average,WisdomTree US SmallCap Quality Dividend GrowthEtf_Low_max,WisdomTree US SmallCap Quality Dividend GrowthEtf_Low_min,WisdomTree US SmallCap Quality Dividend GrowthEtf_Low_volatility,WisdomTree US SmallCap Quality Dividend GrowthEtf_Low_change,WisdomTree US SmallCap Quality Dividend GrowthEtf_Close_average,WisdomTree US SmallCap Quality Dividend GrowthEtf_Close_max,WisdomTree US SmallCap Quality Dividend GrowthEtf_Close_min,WisdomTree US SmallCap Quality Dividend GrowthEtf_Close_volatility,WisdomTree US SmallCap Quality Dividend GrowthEtf_Close_change
2016-01-03,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.79,24.79,24.79,0.0,0.0
2016-01-10,23.6,23.6,23.6,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.29,23.29,23.29,0.0,0.0,23.83,23.83,23.83,0.0,0.0
2016-01-17,24.02,24.02,24.02,0.0,0.0,24.23,24.23,24.23,0.0,0.0,23.99,23.99,23.99,0.0,0.0,24.17,24.17,24.17,0.0,0.0
2016-01-24,24.38,24.38,24.38,0.0,0.0,25.17,25.17,25.17,0.0,0.0,24.38,24.38,24.38,0.0,0.0,25.17,25.17,25.17,0.0,0.0
2016-01-31,24.73,24.73,24.73,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2016-02-07,24.06,24.06,24.06,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.35,24.35,24.35,0.0,0.0
2016-02-14,25.53,25.53,25.53,0.0,0.0,25.53,25.53,25.53,0.0,0.0,24.92,24.92,24.92,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2016-02-21,25.83,25.83,25.83,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2016-02-28,26.76,26.76,26.76,0.0,0.0,27.13,27.13,27.13,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.93,26.93,26.93,0.0,0.0
2016-03-06,27.1,27.1,27.1,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.17,27.17,27.17,0.0,0.0
2016-03-13,27.63,27.63,27.63,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.63,27.63,27.63,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2016-03-20,27.17,27.17,27.17,0.0,0.0,27.3,27.3,27.3,0.0,0.0,26.98,26.98,26.98,0.0,0.0,27.28,27.28,27.28,0.0,0.0
2016-03-27,27.96,27.96,27.96,0.0,0.0,28.26,28.26,28.26,0.0,0.0,27.86,27.86,27.86,0.0,0.0,28.26,28.26,28.26,0.0,0.0
2016-04-03,27.51,27.51,27.51,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0
2016-04-10,28.5,28.5,28.5,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2016-04-17,28.8,28.8,28.8,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.76,28.76,28.76,0.0,0.0
2016-04-24,28.5,28.5,28.5,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.42,28.42,28.42,0.0,0.0
2016-05-01,27.86,27.86,27.86,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2016-05-08,27.56,27.56,27.56,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.36,27.36,27.36,0.0,0.0
2016-05-15,27.09,27.09,27.09,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2016-05-22,28.01,28.01,28.01,0.0,0.0,28.1,28.1,28.1,0.0,0.0,27.95,27.95,27.95,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2016-05-29,28.37,28.37,28.37,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.57,28.57,28.57,0.0,0.0
2016-06-05,28.9,28.9,28.9,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2016-06-12,28.77,28.77,28.77,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.61,28.61,28.61,0.0,0.0
2016-06-19,28.38,28.38,28.38,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.06,28.06,28.06,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2016-06-26,28.8,28.8,28.8,0.0,0.0,29.06,29.06,29.06,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2016-07-03,29.09,29.09,29.09,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.06,29.06,29.06,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2016-07-10,30.55,30.55,30.55,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2016-07-17,30.02,30.02,30.02,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2016-07-24,30.21,30.21,30.21,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2016-07-31,30.17,30.17,30.17,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2016-08-07,30.32,30.32,30.32,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2016-08-14,30.64,30.64,30.64,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2016-08-21,31.0,31.0,31.0,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2016-08-28,30.88,30.88,30.88,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.99,30.99,30.99,0.0,0.0
2016-09-04,30.91,30.91,30.91,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2016-09-11,30.09,30.09,30.09,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2016-09-18,31.01,31.01,31.01,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2016-09-25,30.67,30.67,30.67,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2016-10-02,30.76,30.76,30.76,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2016-10-09,30.23,30.23,30.23,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2016-10-16,29.93,29.93,29.93,0.0,0.0,30.09,30.09,30.09,0.0,0.0,29.85,29.85,29.85,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2016-10-23,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2016-10-30,29.37,29.37,29.37,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2016-11-06,31.49,31.49,31.49,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.49,31.49,31.49,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2016-11-13,32.8,32.8,32.8,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.76,32.76,32.76,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2016-11-20,33.75,33.75,33.75,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.79,33.79,33.79,0.0,0.0
2016-11-27,33.13,33.13,33.13,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2016-12-04,35.07,35.07,35.07,0.0,0.0,35.07,35.07,35.07,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.96,34.96,34.96,0.0,0.0
2016-12-11,34.61,34.61,34.61,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.36,34.36,34.36,0.0,0.0
2016-12-18,34.25,34.25,34.25,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.24,34.24,34.24,0.0,0.0
2016-12-25,34.2,34.2,34.2,0.0,0.0,34.2,34.2,34.2,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.99,33.99,33.99,0.0,0.0
2017-01-01,34.29,34.29,34.29,0.0,0.0,34.29,34.29,34.29,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2017-01-08,33.87,33.87,33.87,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2017-01-15,33.39,33.39,33.39,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.39,33.39,33.39,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2017-01-22,34.13,34.13,34.13,0.0,0.0,34.16,34.16,34.16,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2017-01-29,33.58,33.58,33.58,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.62,33.62,33.62,0.0,0.0
2017-02-05,33.78,33.78,33.78,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2017-02-12,33.72,33.72,33.72,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.69,33.69,33.69,0.0,0.0
2017-02-19,33.35,33.35,33.35,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.7,33.7,33.7,0.0,0.0
2017-02-26,33.59,33.59,33.59,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.41,33.41,33.41,0.0,0.0
2017-03-05,32.69,32.69,32.69,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.74,32.74,32.74,0.0,0.0
