Date,ProShares UltraShort Technology_etf_Open_average,ProShares UltraShort Technology_etf_Open_max,ProShares UltraShort Technology_etf_Open_min,ProShares UltraShort Technology_etf_Open_volatility,ProShares UltraShort Technology_etf_Open_change,ProShares UltraShort Technology_etf_High_average,ProShares UltraShort Technology_etf_High_max,ProShares UltraShort Technology_etf_High_min,ProShares UltraShort Technology_etf_High_volatility,ProShares UltraShort Technology_etf_High_change,ProShares UltraShort Technology_etf_Low_average,ProShares UltraShort Technology_etf_Low_max,ProShares UltraShort Technology_etf_Low_min,ProShares UltraShort Technology_etf_Low_volatility,ProShares UltraShort Technology_etf_Low_change,ProShares UltraShort Technology_etf_Close_average,ProShares UltraShort Technology_etf_Close_max,ProShares UltraShort Technology_etf_Close_min,ProShares UltraShort Technology_etf_Close_volatility,ProShares UltraShort Technology_etf_Close_change
2016-01-03,102.58,102.58,102.58,0.0,0.0,105.0,105.0,105.0,0.0,0.0,102.58,102.58,102.58,0.0,0.0,104.06,104.06,104.06,0.0,0.0
2016-01-10,108.91,108.91,108.91,0.0,0.0,113.26,113.26,113.26,0.0,0.0,108.91,108.91,108.91,0.0,0.0,110.3,110.3,110.3,0.0,0.0
2016-01-17,107.02,107.02,107.02,0.0,0.0,107.02,107.02,107.02,0.0,0.0,105.73,105.73,105.73,0.0,0.0,106.24,106.24,106.24,0.0,0.0
2016-01-24,106.56,106.56,106.56,0.0,0.0,106.56,106.56,106.56,0.0,0.0,101.18,101.18,101.18,0.0,0.0,101.18,101.18,101.18,0.0,0.0
2016-01-31,109.7,109.7,109.7,0.0,0.0,113.03,113.03,113.03,0.0,0.0,109.16,109.16,109.16,0.0,0.0,113.03,113.03,113.03,0.0,0.0
2016-02-07,114.8,114.8,114.8,0.0,0.0,116.21,116.21,116.21,0.0,0.0,113.9,113.9,113.9,0.0,0.0,113.9,113.9,113.9,0.0,0.0
2016-02-14,105.26,105.26,105.26,0.0,0.0,105.68,105.68,105.68,0.0,0.0,103.89,103.89,103.89,0.0,0.0,103.94,103.94,103.94,0.0,0.0
2016-02-21,99.56,99.56,99.56,0.0,0.0,100.56,100.56,100.56,0.0,0.0,99.56,99.56,99.56,0.0,0.0,100.56,100.56,100.56,0.0,0.0
2016-02-28,95.2,95.2,95.2,0.0,0.0,95.9,95.9,95.9,0.0,0.0,94.02,94.02,94.02,0.0,0.0,94.55,94.55,94.55,0.0,0.0
2016-03-06,92.75,92.75,92.75,0.0,0.0,92.75,92.75,92.75,0.0,0.0,91.94,91.94,91.94,0.0,0.0,92.24,92.24,92.24,0.0,0.0
2016-03-13,88.2,88.2,88.2,0.0,0.0,88.42,88.42,88.42,0.0,0.0,88.0,88.0,88.0,0.0,0.0,88.42,88.42,88.42,0.0,0.0
2016-03-20,88.56,88.56,88.56,0.0,0.0,89.34,89.34,89.34,0.0,0.0,88.56,88.56,88.56,0.0,0.0,89.34,89.34,89.34,0.0,0.0
