Date,PowerShares FTSE RAFI Developed Markets ex-USEtf_Open_average,PowerShares FTSE RAFI Developed Markets ex-USEtf_Open_max,PowerShares FTSE RAFI Developed Markets ex-USEtf_Open_min,PowerShares FTSE RAFI Developed Markets ex-USEtf_Open_volatility,PowerShares FTSE RAFI Developed Markets ex-USEtf_Open_change,PowerShares FTSE RAFI Developed Markets ex-USEtf_High_average,PowerShares FTSE RAFI Developed Markets ex-USEtf_High_max,PowerShares FTSE RAFI Developed Markets ex-USEtf_High_min,PowerShares FTSE RAFI Developed Markets ex-USEtf_High_volatility,PowerShares FTSE RAFI Developed Markets ex-USEtf_High_change,PowerShares FTSE RAFI Developed Markets ex-USEtf_Low_average,PowerShares FTSE RAFI Developed Markets ex-USEtf_Low_max,PowerShares FTSE RAFI Developed Markets ex-USEtf_Low_min,PowerShares FTSE RAFI Developed Markets ex-USEtf_Low_volatility,PowerShares FTSE RAFI Developed Markets ex-USEtf_Low_change,PowerShares FTSE RAFI Developed Markets ex-USEtf_Close_average,PowerShares FTSE RAFI Developed Markets ex-USEtf_Close_max,PowerShares FTSE RAFI Developed Markets ex-USEtf_Close_min,PowerShares FTSE RAFI Developed Markets ex-USEtf_Close_volatility,PowerShares FTSE RAFI Developed Markets ex-USEtf_Close_change
2016-01-03,34.4,34.4,34.4,0.0,0.0,34.46,34.46,34.46,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2016-01-10,32.88,32.88,32.88,0.0,0.0,33.05,33.05,33.05,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.74,32.74,32.74,0.0,0.0
2016-01-17,33.25,33.25,33.25,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2016-01-24,33.59,33.59,33.59,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.59,33.59,33.59,0.0,0.0,34.05,34.05,34.05,0.0,0.0
2016-01-31,33.43,33.43,33.43,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2016-02-07,31.52,31.52,31.52,0.0,0.0,32.04,32.04,32.04,0.0,0.0,31.5,31.5,31.5,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2016-02-14,32.86,32.86,32.86,0.0,0.0,33.05,33.05,33.05,0.0,0.0,32.78,32.78,32.78,0.0,0.0,33.05,33.05,33.05,0.0,0.0
2016-02-21,33.35,33.35,33.35,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2016-02-28,34.9,34.9,34.9,0.0,0.0,35.14,35.14,35.14,0.0,0.0,34.85,34.85,34.85,0.0,0.0,34.97,34.97,34.97,0.0,0.0
2016-03-06,35.3,35.3,35.3,0.0,0.0,35.64,35.64,35.64,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.61,35.61,35.61,0.0,0.0
2016-03-13,35.81,35.81,35.81,0.0,0.0,35.86,35.86,35.86,0.0,0.0,35.64,35.64,35.64,0.0,0.0,35.69,35.69,35.69,0.0,0.0
