Date,iShares Short-Term Corporate BondEtf_Open_average,iShares Short-Term Corporate BondEtf_Open_max,iShares Short-Term Corporate BondEtf_Open_min,iShares Short-Term Corporate BondEtf_Open_volatility,iShares Short-Term Corporate BondEtf_Open_change,iShares Short-Term Corporate BondEtf_High_average,iShares Short-Term Corporate BondEtf_High_max,iShares Short-Term Corporate BondEtf_High_min,iShares Short-Term Corporate BondEtf_High_volatility,iShares Short-Term Corporate BondEtf_High_change,iShares Short-Term Corporate BondEtf_Low_average,iShares Short-Term Corporate BondEtf_Low_max,iShares Short-Term Corporate BondEtf_Low_min,iShares Short-Term Corporate BondEtf_Low_volatility,iShares Short-Term Corporate BondEtf_Low_change,iShares Short-Term Corporate BondEtf_Close_average,iShares Short-Term Corporate BondEtf_Close_max,iShares Short-Term Corporate BondEtf_Close_min,iShares Short-Term Corporate BondEtf_Close_volatility,iShares Short-Term Corporate BondEtf_Close_change
2016-01-03,104.72,104.72,104.72,0.0,0.0,104.76,104.76,104.76,0.0,0.0,104.61,104.61,104.61,0.0,0.0,104.74,104.74,104.74,0.0,0.0
2016-01-10,104.68,104.68,104.68,0.0,0.0,104.8,104.8,104.8,0.0,0.0,104.64,104.64,104.64,0.0,0.0,104.69,104.69,104.69,0.0,0.0
2016-01-17,104.7,104.7,104.7,0.0,0.0,104.78,104.78,104.78,0.0,0.0,104.56,104.56,104.56,0.0,0.0,104.72,104.72,104.72,0.0,0.0
2016-01-24,104.82,104.82,104.82,0.0,0.0,104.84,104.84,104.84,0.0,0.0,104.69,104.69,104.69,0.0,0.0,104.79,104.79,104.79,0.0,0.0
2016-01-31,104.73,104.73,104.73,0.0,0.0,104.77,104.77,104.77,0.0,0.0,104.66,104.66,104.66,0.0,0.0,104.76,104.76,104.76,0.0,0.0
2016-02-07,104.76,104.76,104.76,0.0,0.0,104.83,104.83,104.83,0.0,0.0,104.73,104.73,104.73,0.0,0.0,104.77,104.77,104.77,0.0,0.0
2016-02-14,104.72,104.72,104.72,0.0,0.0,104.83,104.83,104.83,0.0,0.0,104.72,104.72,104.72,0.0,0.0,104.78,104.78,104.78,0.0,0.0
2016-02-21,104.92,104.92,104.92,0.0,0.0,104.93,104.93,104.93,0.0,0.0,104.76,104.76,104.76,0.0,0.0,104.86,104.86,104.86,0.0,0.0
2016-02-28,104.77,104.77,104.77,0.0,0.0,104.82,104.82,104.82,0.0,0.0,104.69,104.69,104.69,0.0,0.0,104.81,104.81,104.81,0.0,0.0
2016-03-06,104.84,104.84,104.84,0.0,0.0,104.88,104.88,104.88,0.0,0.0,104.71,104.71,104.71,0.0,0.0,104.87,104.87,104.87,0.0,0.0
2016-03-13,105.13,105.13,105.13,0.0,0.0,105.24,105.24,105.24,0.0,0.0,105.11,105.11,105.11,0.0,0.0,105.15,105.15,105.15,0.0,0.0
2016-03-20,105.11,105.11,105.11,0.0,0.0,105.23,105.23,105.23,0.0,0.0,105.09,105.09,105.09,0.0,0.0,105.18,105.18,105.18,0.0,0.0
2016-03-27,105.26,105.26,105.26,0.0,0.0,105.36,105.36,105.36,0.0,0.0,105.22,105.22,105.22,0.0,0.0,105.24,105.24,105.24,0.0,0.0
2016-04-03,105.44,105.44,105.44,0.0,0.0,105.52,105.52,105.52,0.0,0.0,105.39,105.39,105.39,0.0,0.0,105.51,105.51,105.51,0.0,0.0
2016-04-10,105.43,105.43,105.43,0.0,0.0,105.58,105.58,105.58,0.0,0.0,105.41,105.41,105.41,0.0,0.0,105.53,105.53,105.53,0.0,0.0
2016-04-17,105.5,105.5,105.5,0.0,0.0,105.68,105.68,105.68,0.0,0.0,105.48,105.48,105.48,0.0,0.0,105.56,105.56,105.56,0.0,0.0
