Date,First Trust STOXX European Select DividendEtf_Open_average,First Trust STOXX European Select DividendEtf_Open_max,First Trust STOXX European Select DividendEtf_Open_min,First Trust STOXX European Select DividendEtf_Open_volatility,First Trust STOXX European Select DividendEtf_Open_change,First Trust STOXX European Select DividendEtf_High_average,First Trust STOXX European Select DividendEtf_High_max,First Trust STOXX European Select DividendEtf_High_min,First Trust STOXX European Select DividendEtf_High_volatility,First Trust STOXX European Select DividendEtf_High_change,First Trust STOXX European Select DividendEtf_Low_average,First Trust STOXX European Select DividendEtf_Low_max,First Trust STOXX European Select DividendEtf_Low_min,First Trust STOXX European Select DividendEtf_Low_volatility,First Trust STOXX European Select DividendEtf_Low_change,First Trust STOXX European Select DividendEtf_Close_average,First Trust STOXX European Select DividendEtf_Close_max,First Trust STOXX European Select DividendEtf_Close_min,First Trust STOXX European Select DividendEtf_Close_volatility,First Trust STOXX European Select DividendEtf_Close_change
2016-01-03,11.75,11.75,11.75,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.56,11.56,11.56,0.0,0.0,11.56,11.56,11.56,0.0,0.0
2016-01-10,11.31,11.31,11.31,0.0,0.0,11.4,11.4,11.4,0.0,0.0,11.21,11.21,11.21,0.0,0.0,11.29,11.29,11.29,0.0,0.0
2016-01-17,11.31,11.31,11.31,0.0,0.0,11.39,11.39,11.39,0.0,0.0,11.29,11.29,11.29,0.0,0.0,11.36,11.36,11.36,0.0,0.0
2016-01-24,11.5,11.5,11.5,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.47,11.47,11.47,0.0,0.0,11.62,11.62,11.62,0.0,0.0
2016-01-31,11.48,11.48,11.48,0.0,0.0,11.48,11.48,11.48,0.0,0.0,11.35,11.35,11.35,0.0,0.0,11.38,11.38,11.38,0.0,0.0
2016-02-07,11.04,11.04,11.04,0.0,0.0,11.17,11.17,11.17,0.0,0.0,11.01,11.01,11.01,0.0,0.0,11.16,11.16,11.16,0.0,0.0
2016-02-14,11.49,11.49,11.49,0.0,0.0,11.6,11.6,11.6,0.0,0.0,11.49,11.49,11.49,0.0,0.0,11.58,11.58,11.58,0.0,0.0
2016-02-21,11.56,11.56,11.56,0.0,0.0,11.56,11.56,11.56,0.0,0.0,11.48,11.48,11.48,0.0,0.0,11.5,11.5,11.5,0.0,0.0
2016-02-28,11.9,11.9,11.9,0.0,0.0,11.95,11.95,11.95,0.0,0.0,11.87,11.87,11.87,0.0,0.0,11.9,11.9,11.9,0.0,0.0
2016-03-06,12.15,12.15,12.15,0.0,0.0,12.26,12.26,12.26,0.0,0.0,12.15,12.15,12.15,0.0,0.0,12.24,12.24,12.24,0.0,0.0
2016-03-13,12.35,12.35,12.35,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.29,12.29,12.29,0.0,0.0,12.35,12.35,12.35,0.0,0.0
2016-03-20,11.89,11.89,11.89,0.0,0.0,11.93,11.93,11.93,0.0,0.0,11.82,11.82,11.82,0.0,0.0,11.92,11.92,11.92,0.0,0.0
2016-03-27,11.96,11.96,11.96,0.0,0.0,12.09,12.09,12.09,0.0,0.0,11.93,11.93,11.93,0.0,0.0,12.05,12.05,12.05,0.0,0.0
2016-04-03,12.12,12.12,12.12,0.0,0.0,12.17,12.17,12.17,0.0,0.0,12.11,12.11,12.11,0.0,0.0,12.13,12.13,12.13,0.0,0.0
2016-04-10,12.45,12.45,12.45,0.0,0.0,12.47,12.47,12.47,0.0,0.0,12.42,12.42,12.42,0.0,0.0,12.42,12.42,12.42,0.0,0.0
2016-04-17,12.6,12.6,12.6,0.0,0.0,12.61,12.61,12.61,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.61,12.61,12.61,0.0,0.0
2016-04-24,12.64,12.64,12.64,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.61,12.61,12.61,0.0,0.0
2016-05-01,12.2,12.2,12.2,0.0,0.0,12.32,12.32,12.32,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.31,12.31,12.31,0.0,0.0
2016-05-08,12.25,12.25,12.25,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.15,12.15,12.15,0.0,0.0,12.18,12.18,12.18,0.0,0.0
2016-05-15,12.28,12.28,12.28,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.23,12.23,12.23,0.0,0.0,12.25,12.25,12.25,0.0,0.0
2016-05-22,12.6,12.6,12.6,0.0,0.0,12.61,12.61,12.61,0.0,0.0,12.56,12.56,12.56,0.0,0.0,12.57,12.57,12.57,0.0,0.0
2016-05-29,12.46,12.46,12.46,0.0,0.0,12.53,12.53,12.53,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.52,12.52,12.52,0.0,0.0
