Date,First Trust Emerging Markets Small Cap AlphaDEX_etf_Open_average,First Trust Emerging Markets Small Cap AlphaDEX_etf_Open_max,First Trust Emerging Markets Small Cap AlphaDEX_etf_Open_min,First Trust Emerging Markets Small Cap AlphaDEX_etf_Open_volatility,First Trust Emerging Markets Small Cap AlphaDEX_etf_Open_change,First Trust Emerging Markets Small Cap AlphaDEX_etf_High_average,First Trust Emerging Markets Small Cap AlphaDEX_etf_High_max,First Trust Emerging Markets Small Cap AlphaDEX_etf_High_min,First Trust Emerging Markets Small Cap AlphaDEX_etf_High_volatility,First Trust Emerging Markets Small Cap AlphaDEX_etf_High_change,First Trust Emerging Markets Small Cap AlphaDEX_etf_Low_average,First Trust Emerging Markets Small Cap AlphaDEX_etf_Low_max,First Trust Emerging Markets Small Cap AlphaDEX_etf_Low_min,First Trust Emerging Markets Small Cap AlphaDEX_etf_Low_volatility,First Trust Emerging Markets Small Cap AlphaDEX_etf_Low_change,First Trust Emerging Markets Small Cap AlphaDEX_etf_Close_average,First Trust Emerging Markets Small Cap AlphaDEX_etf_Close_max,First Trust Emerging Markets Small Cap AlphaDEX_etf_Close_min,First Trust Emerging Markets Small Cap AlphaDEX_etf_Close_volatility,First Trust Emerging Markets Small Cap AlphaDEX_etf_Close_change
2016-01-03,25.38,25.38,25.38,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.18,25.18,25.18,0.0,0.0
2016-01-10,24.39,24.39,24.39,0.0,0.0,24.39,24.39,24.39,0.0,0.0,23.62,23.62,23.62,0.0,0.0,23.91,23.91,23.91,0.0,0.0
2016-01-17,24.46,24.46,24.46,0.0,0.0,25.09,25.09,25.09,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.86,24.86,24.86,0.0,0.0
2016-01-24,25.95,25.95,25.95,0.0,0.0,26.07,26.07,26.07,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.68,25.68,25.68,0.0,0.0
2016-01-31,25.77,25.77,25.77,0.0,0.0,26.3,26.3,26.3,0.0,0.0,25.73,25.73,25.73,0.0,0.0,26.28,26.28,26.28,0.0,0.0
2016-02-07,25.32,25.32,25.32,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.31,25.31,25.31,0.0,0.0
2016-02-14,26.57,26.57,26.57,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.52,26.52,26.52,0.0,0.0
2016-02-21,26.64,26.64,26.64,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.21,26.21,26.21,0.0,0.0
2016-02-28,28.0,28.0,28.0,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2016-03-06,28.53,28.53,28.53,0.0,0.0,29.23,29.23,29.23,0.0,0.0,28.53,28.53,28.53,0.0,0.0,29.08,29.08,29.08,0.0,0.0
