Date,CBB_stock_Open_average,CBB_stock_Open_max,CBB_stock_Open_min,CBB_stock_Open_volatility,CBB_stock_Open_change,CBB_stock_High_average,CBB_stock_High_max,CBB_stock_High_min,CBB_stock_High_volatility,CBB_stock_High_change,CBB_stock_Low_average,CBB_stock_Low_max,CBB_stock_Low_min,CBB_stock_Low_volatility,CBB_stock_Low_change,CBB_stock_Close_average,CBB_stock_Close_max,CBB_stock_Close_min,CBB_stock_Close_volatility,CBB_stock_Close_change,CBB_stock_Volume_average,CBB_stock_Volume_max,CBB_stock_Volume_min,CBB_stock_Volume_volatility,CBB_stock_Volume_change
2016-01-03,17.24,17.55,16.95,0.6000000000000014,-0.6000000000000014,17.535999999999998,17.88,17.05,0.8299999999999983,-0.6499999999999986,16.876,17.3,16.4,0.9000000000000021,-0.5,17.1,17.6,16.4,1.2000000000000028,-0.7000000000000028,218186,319576,154567,165009,-76665
2016-01-10,15.68,16.55,14.8,1.75,-1.75,15.98,16.8,15.25,1.5500000000000007,-1.5,15.0,16.35,14.4,1.950000000000001,-1.950000000000001,15.42,16.5,14.9,1.5999999999999996,-1.5,309450,429202,146978,282224,128233
2016-01-17,14.825,15.1,14.65,0.4499999999999993,-0.29999999999999893,15.075,15.35,14.85,0.5,-0.09999999999999964,14.4175,14.7,14.0,0.6999999999999993,-0.09999999999999964,14.8875,15.2,14.5,0.6999999999999993,0.14999999999999858,226560,301136,162807,138329,-103523
2016-01-24,15.61,15.9,15.2,0.7000000000000011,0.5500000000000007,15.884,16.2,15.57,0.629999999999999,0.629999999999999,15.28,15.5,14.9,0.5999999999999996,0.5999999999999996,15.67,16.2,15.4,0.7999999999999989,0.7999999999999989,178204,264579,119507,145072,69138
2016-01-31,15.98,16.2,15.7,0.5,0.14999999999999858,16.14,16.45,15.9,0.5499999999999989,0.1999999999999993,15.47,15.85,15.15,0.6999999999999993,0.0,15.88,16.3,15.5,0.8000000000000007,-0.3000000000000007,149754,181599,101789,79810,48994
2016-02-07,15.450000000000001,15.75,15.0,0.75,0.4499999999999993,15.886000000000001,16.25,15.73,0.5199999999999996,0.40000000000000036,15.056,15.5,14.8,0.6999999999999993,0.5700000000000003,15.64,15.95,15.2,0.75,0.14999999999999858,164637,208004,136284,71720,-55483
2016-02-14,15.787500000000001,16.25,14.9,1.3499999999999996,-1.200000000000001,16.05,16.7,15.15,1.549999999999999,-1.200000000000001,15.275,16.2,14.2,2.0,-1.6000000000000014,15.7625,16.7,14.95,1.75,-1.0999999999999996,175930,243736,111884,131852,69192
2016-02-21,15.58,16.2,15.0,1.1999999999999993,1.1999999999999993,16.14,16.75,15.65,1.0999999999999996,1.0999999999999996,15.49,16.15,14.95,1.1999999999999993,1.1999999999999993,15.97,16.7,15.3,1.3999999999999986,1.3999999999999986,165780,219845,137727,82118,-44548
2016-02-28,17.330000000000002,17.7,16.6,1.0999999999999979,1.0999999999999979,17.695999999999998,18.05,17.45,0.6000000000000014,0.6000000000000014,17.12,17.5,16.45,1.0500000000000007,1.0500000000000007,17.55,18.0,17.15,0.8500000000000014,0.6999999999999993,187323,246681,151889,94792,-68465
2016-03-06,18.03,18.15,17.85,0.29999999999999716,0.1999999999999993,18.39,18.55,18.3,0.25,-0.10000000000000142,17.912,18.05,17.85,0.1999999999999993,0.1999999999999993,18.19,18.45,18.0,0.4499999999999993,0.05000000000000071,146038,209159,78100,131059,-94027
