Date,PERI_stock_Open_average,PERI_stock_Open_max,PERI_stock_Open_min,PERI_stock_Open_volatility,PERI_stock_Open_change,PERI_stock_High_average,PERI_stock_High_max,PERI_stock_High_min,PERI_stock_High_volatility,PERI_stock_High_change,PERI_stock_Low_average,PERI_stock_Low_max,PERI_stock_Low_min,PERI_stock_Low_volatility,PERI_stock_Low_change,PERI_stock_Close_average,PERI_stock_Close_max,PERI_stock_Close_min,PERI_stock_Close_volatility,PERI_stock_Close_change,PERI_stock_Volume_average,PERI_stock_Volume_max,PERI_stock_Volume_min,PERI_stock_Volume_volatility,PERI_stock_Volume_change
2016-01-03,8.658,9.18,8.1,1.08,-1.08,8.921999999999999,9.75,8.43,1.3200000000000003,-1.0500000000000007,8.298,8.55,7.98,0.5700000000000003,-0.5700000000000003,8.592,9.0,8.22,0.7799999999999994,-0.7799999999999994,171717,559242,53346,505896,-487760
2016-01-10,7.764,8.31,7.35,0.9600000000000009,-0.9600000000000009,7.902,8.31,7.56,0.7500000000000009,-0.7500000000000009,7.468,7.76,7.26,0.5,-0.5,7.674,7.89,7.41,0.47999999999999954,-0.47999999999999954,42382,104716,25369,79347,-2905
2016-01-17,7.1850000000000005,7.5,7.05,0.4500000000000002,-0.3899999999999997,7.342499999999999,7.56,7.14,0.41999999999999993,-0.08999999999999986,6.890000000000001,7.05,6.66,0.3899999999999997,0.05999999999999961,7.1025,7.17,7.02,0.15000000000000036,-0.03000000000000025,49906,84934,22628,62306,24770
2016-01-24,7.152,7.32,7.05,0.27000000000000046,0.27000000000000046,7.3260000000000005,7.41,7.17,0.2400000000000002,0.0,7.024,7.2,6.92,0.28000000000000025,0.27000000000000046,7.146,7.35,6.96,0.3899999999999997,0.3899999999999997,14840,23120,10651,12469,-10453
2016-01-31,7.002,7.26,6.84,0.41999999999999993,-0.35999999999999943,7.0680000000000005,7.26,6.9,0.35999999999999943,-0.35999999999999943,6.756,6.9,6.57,0.33000000000000007,-0.33000000000000007,6.8999999999999995,7.14,6.6,0.54,-0.54,13924,18491,8038,10453,1056
2016-02-07,6.39,6.6,6.3,0.2999999999999998,-0.2699999999999996,6.45,6.6,6.33,0.2699999999999996,-0.2699999999999996,6.12,6.27,5.94,0.3299999999999992,-0.23999999999999932,6.3,6.48,6.15,0.33000000000000007,-0.23999999999999932,15796,21525,10707,10818,-5229
2016-02-14,6.7125,6.9,6.24,0.6600000000000001,0.5999999999999996,6.8725,7.02,6.63,0.3899999999999997,0.3899999999999997,6.545,6.66,6.24,0.41999999999999993,0.3799999999999999,6.72,6.84,6.48,0.35999999999999943,0.3299999999999992,17078,26158,9917,16241,-16241
2016-02-21,6.03,6.96,2.25,4.71,-4.68,6.08,6.96,2.25,4.71,-4.71,5.886666666666667,6.7,2.25,4.45,-4.32,6.01,6.87,2.25,4.62,-4.62,10735,25759,0,25759,-14871
2016-02-28,6.858,6.93,6.78,0.14999999999999947,-0.05999999999999961,6.9959999999999996,7.05,6.93,0.1200000000000001,-0.1200000000000001,6.7379999999999995,6.9,6.6,0.3000000000000007,-0.1200000000000001,6.852,6.99,6.69,0.2999999999999998,-0.2999999999999998,18664,37655,6571,31084,20946
2016-03-06,7.026,7.32,6.72,0.6000000000000005,0.33000000000000007,7.164,7.44,6.75,0.6900000000000004,0.4800000000000004,6.834,7.02,6.63,0.3899999999999997,0.3600000000000003,7.004,7.2,6.75,0.4500000000000002,0.4299999999999997,32073,59459,20215,39244,-752
2016-03-13,7.044,7.59,6.51,1.08,-0.9900000000000002,7.098,7.68,6.54,1.1399999999999997,-1.1399999999999997,6.668,7.2,6.34,0.8600000000000003,-0.8600000000000003,6.894,7.65,6.42,1.2300000000000004,-1.2300000000000004,52001,93997,22865,71132,773
2016-03-20,6.4575,6.51,6.39,0.1200000000000001,0.1200000000000001,6.5625,6.6,6.51,0.08999999999999986,-0.02999999999999936,6.359999999999999,6.39,6.27,0.1200000000000001,-0.1200000000000001,6.5025,6.57,6.45,0.1200000000000001,-0.05999999999999961,15036,22220,4128,18092,-18092
2016-03-27,6.252,6.45,6.0,0.4500000000000002,-0.4500000000000002,6.33,6.48,6.15,0.33000000000000007,-0.2999999999999998,6.102,6.27,6.0,0.2699999999999996,-0.2699999999999996,6.192,6.33,6.03,0.2999999999999998,-0.27000000000000046,18501,26068,10432,15636,-8278
