Date,PureFunds ISE Mobile Payments_etf_Open_average,PureFunds ISE Mobile Payments_etf_Open_max,PureFunds ISE Mobile Payments_etf_Open_min,PureFunds ISE Mobile Payments_etf_Open_volatility,PureFunds ISE Mobile Payments_etf_Open_change,PureFunds ISE Mobile Payments_etf_High_average,PureFunds ISE Mobile Payments_etf_High_max,PureFunds ISE Mobile Payments_etf_High_min,PureFunds ISE Mobile Payments_etf_High_volatility,PureFunds ISE Mobile Payments_etf_High_change,PureFunds ISE Mobile Payments_etf_Low_average,PureFunds ISE Mobile Payments_etf_Low_max,PureFunds ISE Mobile Payments_etf_Low_min,PureFunds ISE Mobile Payments_etf_Low_volatility,PureFunds ISE Mobile Payments_etf_Low_change,PureFunds ISE Mobile Payments_etf_Close_average,PureFunds ISE Mobile Payments_etf_Close_max,PureFunds ISE Mobile Payments_etf_Close_min,PureFunds ISE Mobile Payments_etf_Close_volatility,PureFunds ISE Mobile Payments_etf_Close_change
2016-01-03,23.3,23.3,23.3,0.0,0.0,23.34,23.34,23.34,0.0,0.0,22.93,22.93,22.93,0.0,0.0,22.94,22.94,22.94,0.0,0.0
2016-01-10,22.03,22.03,22.03,0.0,0.0,22.03,22.03,22.03,0.0,0.0,21.81,21.81,21.81,0.0,0.0,21.88,21.88,21.88,0.0,0.0
2016-01-17,22.15,22.15,22.15,0.0,0.0,22.15,22.15,22.15,0.0,0.0,22.15,22.15,22.15,0.0,0.0,22.15,22.15,22.15,0.0,0.0
2016-01-24,21.76,21.76,21.76,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.76,21.76,21.76,0.0,0.0,21.86,21.86,21.86,0.0,0.0
2016-01-31,22.14,22.14,22.14,0.0,0.0,22.14,22.14,22.14,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.72,21.72,21.72,0.0,0.0
2016-02-07,20.52,20.52,20.52,0.0,0.0,20.76,20.76,20.76,0.0,0.0,20.52,20.52,20.52,0.0,0.0,20.76,20.76,20.76,0.0,0.0
2016-02-14,21.85,21.85,21.85,0.0,0.0,21.88,21.88,21.88,0.0,0.0,21.81,21.81,21.81,0.0,0.0,21.88,21.88,21.88,0.0,0.0
2016-02-21,22.1,22.1,22.1,0.0,0.0,22.1,22.1,22.1,0.0,0.0,22.1,22.1,22.1,0.0,0.0,22.1,22.1,22.1,0.0,0.0
2016-02-28,23.13,23.13,23.13,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.06,23.06,23.06,0.0,0.0,23.06,23.06,23.06,0.0,0.0
2016-03-06,22.85,22.85,22.85,0.0,0.0,22.94,22.94,22.94,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.94,22.94,22.94,0.0,0.0
2016-03-13,23.31,23.31,23.31,0.0,0.0,23.31,23.31,23.31,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.16,23.16,23.16,0.0,0.0
2016-03-20,23.15,23.15,23.15,0.0,0.0,23.15,23.15,23.15,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0
2016-03-27,23.78,23.78,23.78,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.78,23.78,23.78,0.0,0.0,24.0,24.0,24.0,0.0,0.0
2016-04-03,23.77,23.77,23.77,0.0,0.0,23.96,23.96,23.96,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.96,23.96,23.96,0.0,0.0
2016-04-10,24.58,24.58,24.58,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0
2016-04-17,24.94,24.94,24.94,0.0,0.0,24.94,24.94,24.94,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2016-04-24,24.5,24.5,24.5,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.5,24.5,24.5,0.0,0.0
