Date,BUROF_stock_Open_average,BUROF_stock_Open_max,BUROF_stock_Open_min,BUROF_stock_Open_volatility,BUROF_stock_Open_change,BUROF_stock_High_average,BUROF_stock_High_max,BUROF_stock_High_min,BUROF_stock_High_volatility,BUROF_stock_High_change,BUROF_stock_Low_average,BUROF_stock_Low_max,BUROF_stock_Low_min,BUROF_stock_Low_volatility,BUROF_stock_Low_change,BUROF_stock_Close_average,BUROF_stock_Close_max,BUROF_stock_Close_min,BUROF_stock_Close_volatility,BUROF_stock_Close_change,BUROF_stock_Volume_average,BUROF_stock_Volume_max,BUROF_stock_Volume_min,BUROF_stock_Volume_volatility,BUROF_stock_Volume_change
2016-01-03,2.2866666666666666,3.99,1.43,2.5600000000000005,2.5500000000000003,2.291666666666667,3.99,1.43,2.5600000000000005,2.535,1.9683333333333333,3.08,1.385,1.695,1.6400000000000001,1.9783333333333333,3.1,1.385,1.715,1.6500000000000001,2329,3500,470,3030,-2549
2016-01-10,1.7364,2.51,1.46,1.0499999999999998,-1.0499999999999998,1.7512,2.51,1.496,1.0139999999999998,-1.0139999999999998,1.422,1.52,1.36,0.15999999999999992,-0.039999999999999813,1.4942,1.63,1.39,0.24,-0.24,29271,45007,3278,41729,-15804
2016-01-17,1.3425,1.41,1.29,0.11999999999999988,-0.039999999999999813,1.3599999999999999,1.41,1.32,0.08999999999999986,-0.030000000000000027,1.30175,1.367,1.26,0.10699999999999998,0.10699999999999998,1.30925,1.367,1.26,0.10699999999999998,0.10699999999999998,4500,10309,374,9935,-4567
2016-01-24,1.406,1.43,1.37,0.05999999999999983,0.0,1.432,1.47,1.38,0.09000000000000008,0.06000000000000005,1.386,1.41,1.35,0.05999999999999983,0.020000000000000018,1.402,1.43,1.35,0.07999999999999985,0.050000000000000044,6363,23600,421,23179,2529
2016-01-31,1.4658,1.5390000000000001,1.42,0.11900000000000022,0.11900000000000022,1.4758,1.5390000000000001,1.42,0.11900000000000022,0.11900000000000022,1.458,1.52,1.42,0.10000000000000009,0.08000000000000007,1.468,1.52,1.42,0.10000000000000009,0.08000000000000007,1625,4918,51,4867,4600
2016-02-07,1.447,1.5,1.42,0.08000000000000007,-0.08000000000000007,1.4592,1.501,1.42,0.08099999999999996,-0.020999999999999908,1.4134,1.49,1.28,0.20999999999999996,-0.07000000000000006,1.4532,1.499,1.4,0.0990000000000002,-0.019000000000000128,3603,13929,712,13217,-576
2016-02-14,1.7502499999999999,2.0909999999999997,1.49,0.6009999999999998,0.6009999999999998,1.96,2.2,1.51,0.6900000000000002,0.6300000000000001,1.72,1.97,1.49,0.48,0.48,1.871,2.13,1.496,0.6339999999999999,0.494,75829,146374,50,146324,36154
2016-02-21,2.306,2.61,2.03,0.5800000000000001,0.5800000000000001,2.52,2.89,2.27,0.6200000000000001,0.43000000000000016,2.2712,2.56,2.0,0.56,0.56,2.39,2.61,2.2,0.4099999999999997,0.29000000000000004,84569,214326,21739,192587,93173
2016-02-28,2.3876,2.6,2.298,0.30200000000000005,-0.30200000000000005,2.46,2.75,2.36,0.3900000000000001,-0.3900000000000001,2.339,2.47,2.295,0.17500000000000027,-0.17500000000000027,2.361,2.47,2.31,0.16000000000000014,-0.1200000000000001,24750,99864,2804,97060,-97060
2016-03-06,2.3098,2.362,2.27,0.09200000000000008,-0.07000000000000028,2.326,2.38,2.292,0.08800000000000008,-0.08800000000000008,2.276,2.35,2.23,0.1200000000000001,-0.0900000000000003,2.287,2.37,2.26,0.11000000000000032,-0.11000000000000032,6568,16873,550,16323,-12656
2016-03-13,2.3938,2.56,2.274,0.28600000000000003,0.266,2.4774,2.65,2.3,0.3500000000000001,0.25,2.369,2.56,2.22,0.33999999999999986,0.25,2.46,2.65,2.3,0.3500000000000001,0.17000000000000037,6588,18808,101,18707,4099
2016-03-20,2.6425,2.84,2.51,0.33000000000000007,-0.11000000000000032,2.7,2.84,2.53,0.31000000000000005,-0.11000000000000032,2.541,2.6,2.5,0.10000000000000009,0.0,2.635,2.78,2.52,0.2599999999999998,-0.06999999999999984,18559,27582,1268,26314,-19372
2016-03-27,2.5218000000000003,2.65,2.45,0.19999999999999973,-0.040000000000000036,2.57,2.66,2.49,0.16999999999999993,0.03999999999999959,2.482,2.56,2.41,0.1499999999999999,-0.06999999999999984,2.55,2.6,2.48,0.1200000000000001,0.04999999999999982,7799,17650,266,17384,2544
2016-04-03,2.41275,2.49,2.34,0.15000000000000036,-0.15000000000000036,2.45575,2.526,2.401,0.125,-0.06599999999999984,2.3925,2.49,2.34,0.15000000000000036,-0.15000000000000036,2.4165,2.526,2.34,0.18599999999999994,-0.13599999999999968,3042,6600,37,6563,6563
2016-04-10,2.3542,2.4,2.261,0.1389999999999998,0.029999999999999805,2.396,2.48,2.35,0.1299999999999999,0.10999999999999988,2.3082,2.4,2.26,0.14000000000000012,0.08999999999999986,2.354,2.48,2.26,0.2200000000000002,0.16999999999999993,10451,28900,690,28210,-1326
2016-04-17,2.4288,2.46,2.384,0.07600000000000007,-0.03600000000000003,2.4488000000000003,2.47,2.384,0.0860000000000003,-0.0860000000000003,2.4092,2.43,2.384,0.04600000000000026,-0.03600000000000003,2.4272,2.47,2.384,0.0860000000000003,-0.04600000000000026,1381,3810,474,3336,275
2016-04-24,2.37,2.41,2.33,0.08000000000000007,-0.040000000000000036,2.396,2.44,2.37,0.06999999999999984,-0.06999999999999984,2.348,2.41,2.29,0.1200000000000001,0.040000000000000036,2.39,2.43,2.36,0.07000000000000028,-0.06000000000000005,4400,18610,9,18601,-18110
2016-05-01,2.2664999999999997,2.36,2.226,0.1339999999999999,-0.1299999999999999,2.27625,2.36,2.23,0.1299999999999999,-0.1299999999999999,2.1550000000000002,2.17,2.14,0.029999999999999805,-0.020000000000000018,2.2235,2.2840000000000003,2.16,0.12400000000000011,-0.12400000000000011,10333,15873,749,15124,-6061
2016-05-08,2.1858,2.2,2.16,0.040000000000000036,0.040000000000000036,2.218,2.23,2.19,0.040000000000000036,0.040000000000000036,2.167,2.19,2.13,0.06000000000000005,0.02900000000000036,2.1876,2.228,2.13,0.09800000000000031,0.038000000000000256,10979,23000,2300,20700,3895
2016-05-15,2.1522,2.161,2.14,0.020999999999999908,-0.01100000000000012,2.185,2.23,2.14,0.08999999999999986,-0.009999999999999787,2.0242,2.161,1.79,0.371,-0.03100000000000014,2.13,2.22,2.01,0.2100000000000004,0.040000000000000036,25425,88053,5174,82879,-5089
2016-05-22,2.1588,2.23,2.004,0.22599999999999998,0.19600000000000017,2.192,2.23,2.14,0.08999999999999986,0.06000000000000005,2.145,2.201,2.004,0.19700000000000006,0.15600000000000014,2.182,2.22,2.14,0.08000000000000007,0.020000000000000018,1956,4150,101,4049,-1426
2016-05-29,2.1475,2.19,2.11,0.08000000000000007,0.03000000000000025,2.15,2.2,2.11,0.0900000000000003,0.03000000000000025,2.0925,2.15,2.03,0.1200000000000001,-0.03000000000000025,2.1175,2.16,2.06,0.10000000000000009,-0.040000000000000036,6118,14080,2000,12080,-11090
2016-06-05,2.042,2.08,1.99,0.09000000000000008,-0.07000000000000006,2.0632,2.12,2.03,0.0900000000000003,-0.0900000000000003,2.02,2.07,1.98,0.08999999999999986,-0.07000000000000006,2.0552,2.12,2.0,0.1200000000000001,-0.1200000000000001,4396,10379,284,10095,-1558
2016-06-12,1.9477499999999999,1.9609999999999999,1.94,0.020999999999999908,0.020999999999999908,1.9555,1.972,1.94,0.03200000000000003,0.03200000000000003,1.93,1.96,1.9,0.06000000000000005,0.030000000000000027,1.9449999999999998,1.96,1.93,0.030000000000000027,0.030000000000000027,3748,10323,441,9882,2719
2016-06-19,1.9,1.98,1.82,0.15999999999999992,-0.09999999999999987,1.94,2.0,1.82,0.17999999999999994,-0.09999999999999987,1.846,1.95,1.72,0.22999999999999998,-0.19999999999999996,1.882,2.0,1.72,0.28,-0.19999999999999996,14318,50808,2015,48793,10125
2016-06-26,1.724,1.76,1.65,0.1100000000000001,-0.030000000000000027,1.76,1.8,1.71,0.09000000000000008,-0.050000000000000044,1.678,1.75,1.55,0.19999999999999996,0.15999999999999992,1.706,1.77,1.56,0.20999999999999996,0.1499999999999999,34291,70495,100,70395,-60519
2016-07-03,1.79275,1.82,1.751,0.06900000000000017,-0.020000000000000018,1.81775,1.87,1.78,0.09000000000000008,-0.07000000000000006,1.7675,1.8,1.75,0.050000000000000044,0.020000000000000018,1.775,1.8,1.76,0.040000000000000036,0.010000000000000009,14356,48983,2496,46487,-45738
2016-07-10,1.784,1.83,1.75,0.08000000000000007,0.020000000000000018,1.8172,1.88,1.75,0.1299999999999999,0.04600000000000004,1.7546,1.82,1.7,0.1200000000000001,0.04699999999999993,1.7678,1.83,1.72,0.1100000000000001,0.07299999999999995,5282,13600,790,12810,-315
2016-07-17,1.92,1.96,1.85,0.10999999999999988,0.09999999999999987,1.93,1.98,1.85,0.1299999999999999,0.1299999999999999,1.9166666666666667,1.95,1.85,0.09999999999999987,0.09999999999999987,1.9266666666666667,1.98,1.85,0.1299999999999999,0.1299999999999999,904,1514,0,1514,1200
2016-07-24,2.1265,2.22,2.05,0.17000000000000037,0.17000000000000037,2.18725,2.25,2.12,0.1299999999999999,0.1299999999999999,2.1265,2.22,2.05,0.17000000000000037,0.17000000000000037,2.1725,2.25,2.07,0.18000000000000016,0.18000000000000016,4838,7831,1029,6802,-3113
2016-07-31,2.1768,2.403,2.0580000000000003,0.34499999999999975,-0.34499999999999975,2.2034,2.403,2.08,0.32299999999999995,-0.32299999999999995,2.1306000000000003,2.403,2.049,0.3540000000000001,-0.34499999999999975,2.173,2.403,2.068,0.33499999999999996,-0.32299999999999995,1255,2190,775,1415,500
2016-08-07,1.9875,2.02,1.93,0.09000000000000008,-0.09000000000000008,2.00275,2.051,1.93,0.12100000000000022,-0.09999999999999987,1.915,1.97,1.88,0.09000000000000008,-0.08000000000000007,1.93,1.97,1.89,0.08000000000000007,-0.08000000000000007,18255,45375,816,44559,-24514
2016-08-14,1.915,1.99,1.87,0.11999999999999988,-0.10000000000000009,1.9172500000000001,1.999,1.87,0.129,-0.10900000000000021,1.905,1.95,1.87,0.07999999999999985,-0.06000000000000005,1.9155,1.992,1.87,0.12199999999999989,-0.10200000000000009,2413,8040,200,7840,-7140
2016-08-21,2.1799999999999997,2.32,1.9,0.41999999999999993,0.41999999999999993,2.234,2.35,1.98,0.3700000000000001,0.3700000000000001,2.164,2.32,1.9,0.41999999999999993,0.41999999999999993,2.202,2.35,1.97,0.3800000000000001,0.3800000000000001,4854,16418,1500,14918,-14523
2016-08-28,2.1533333333333333,2.21,2.1,0.10999999999999988,-0.06000000000000005,2.171666666666667,2.21,2.125,0.08499999999999996,-0.029999999999999805,2.13,2.18,2.1,0.08000000000000007,-0.07000000000000028,2.1533333333333333,2.18,2.1,0.08000000000000007,0.0,3156,7013,208,6805,2041
2016-09-04,2.635,2.82,2.51,0.31000000000000005,0.04999999999999982,2.7375,2.86,2.62,0.23999999999999977,-0.22999999999999998,2.4375,2.52,2.28,0.2400000000000002,-0.2200000000000002,2.55,2.68,2.48,0.20000000000000018,-0.20000000000000018,114700,382610,7808,374802,-374802
2016-09-11,2.4198,2.62,2.311,0.30900000000000016,-0.30000000000000027,2.452,2.62,2.37,0.25,-0.2400000000000002,2.367,2.47,2.28,0.1900000000000004,-0.15000000000000036,2.3842,2.481,2.29,0.19099999999999984,-0.13099999999999978,6841,15064,1002,14062,-2783
2016-09-18,2.3076,2.38,2.2,0.17999999999999972,0.04999999999999982,2.3676,2.45,2.32,0.13000000000000034,0.021999999999999797,2.2601999999999998,2.3209999999999997,2.19,0.13099999999999978,0.06000000000000005,2.326,2.45,2.23,0.2200000000000002,0.06000000000000005,9447,22110,1401,20709,-13195
2016-09-25,2.284,2.36,2.23,0.1299999999999999,0.06000000000000005,2.354,2.47,2.28,0.1900000000000004,0.17000000000000037,2.226,2.3,2.18,0.11999999999999966,0.09999999999999964,2.299,2.425,2.2,0.22499999999999964,0.22499999999999964,9407,14699,4200,10499,5972
2016-10-02,2.3742,2.441,2.28,0.16100000000000003,-0.16000000000000014,2.3832,2.441,2.31,0.13099999999999978,-0.1299999999999999,2.3409999999999997,2.4,2.275,0.125,-0.125,2.354,2.44,2.28,0.16000000000000014,-0.16000000000000014,4340,15811,520,15291,2716
