Date,iShares Europe Developed Real Estate_etf_Open_average,iShares Europe Developed Real Estate_etf_Open_max,iShares Europe Developed Real Estate_etf_Open_min,iShares Europe Developed Real Estate_etf_Open_volatility,iShares Europe Developed Real Estate_etf_Open_change,iShares Europe Developed Real Estate_etf_High_average,iShares Europe Developed Real Estate_etf_High_max,iShares Europe Developed Real Estate_etf_High_min,iShares Europe Developed Real Estate_etf_High_volatility,iShares Europe Developed Real Estate_etf_High_change,iShares Europe Developed Real Estate_etf_Low_average,iShares Europe Developed Real Estate_etf_Low_max,iShares Europe Developed Real Estate_etf_Low_min,iShares Europe Developed Real Estate_etf_Low_volatility,iShares Europe Developed Real Estate_etf_Low_change,iShares Europe Developed Real Estate_etf_Close_average,iShares Europe Developed Real Estate_etf_Close_max,iShares Europe Developed Real Estate_etf_Close_min,iShares Europe Developed Real Estate_etf_Close_volatility,iShares Europe Developed Real Estate_etf_Close_change
2016-01-03,35.97,35.97,35.97,0.0,0.0,35.97,35.97,35.97,0.0,0.0,35.36,35.36,35.36,0.0,0.0,35.49,35.49,35.49,0.0,0.0
2016-01-10,34.49,34.49,34.49,0.0,0.0,34.55,34.55,34.55,0.0,0.0,33.82,33.82,33.82,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2016-01-17,34.63,34.63,34.63,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.49,34.49,34.49,0.0,0.0
2016-01-24,35.37,35.37,35.37,0.0,0.0,35.94,35.94,35.94,0.0,0.0,35.05,35.05,35.05,0.0,0.0,35.94,35.94,35.94,0.0,0.0
2016-01-31,34.9,34.9,34.9,0.0,0.0,35.06,35.06,35.06,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.99,34.99,34.99,0.0,0.0
2016-02-07,33.6,33.6,33.6,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2016-02-14,34.57,34.57,34.57,0.0,0.0,35.3,35.3,35.3,0.0,0.0,34.57,34.57,34.57,0.0,0.0,35.29,35.29,35.29,0.0,0.0
2016-02-21,34.25,34.25,34.25,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.03,34.03,34.03,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2016-02-28,35.48,35.48,35.48,0.0,0.0,35.51,35.51,35.51,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.21,35.21,35.21,0.0,0.0
2016-03-06,35.89,35.89,35.89,0.0,0.0,36.36,36.36,36.36,0.0,0.0,35.89,35.89,35.89,0.0,0.0,36.36,36.36,36.36,0.0,0.0
2016-03-13,37.95,37.95,37.95,0.0,0.0,38.05,38.05,38.05,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2016-03-20,36.5,36.5,36.5,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2016-03-27,37.5,37.5,37.5,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.46,37.46,37.46,0.0,0.0
2016-04-03,37.62,37.62,37.62,0.0,0.0,37.93,37.93,37.93,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.9,37.9,37.9,0.0,0.0
2016-04-10,37.37,37.37,37.37,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2016-04-17,36.74,36.74,36.74,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.66,36.66,36.66,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2016-04-24,37.88,37.88,37.88,0.0,0.0,38.08,38.08,38.08,0.0,0.0,37.88,37.88,37.88,0.0,0.0,38.08,38.08,38.08,0.0,0.0
2016-05-01,37.84,37.84,37.84,0.0,0.0,38.03,38.03,38.03,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.94,37.94,37.94,0.0,0.0
2016-05-08,37.37,37.37,37.37,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.52,37.52,37.52,0.0,0.0
2016-05-15,37.58,37.58,37.58,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.75,37.75,37.75,0.0,0.0
2016-05-22,38.41,38.41,38.41,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.51,38.51,38.51,0.0,0.0
2016-05-29,38.47,38.47,38.47,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.72,38.72,38.72,0.0,0.0
2016-06-05,38.63,38.63,38.63,0.0,0.0,38.63,38.63,38.63,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.94,37.94,37.94,0.0,0.0
2016-06-12,36.55,36.55,36.55,0.0,0.0,37.24,37.24,37.24,0.0,0.0,36.55,36.55,36.55,0.0,0.0,37.19,37.19,37.19,0.0,0.0
2016-06-19,33.69,33.69,33.69,0.0,0.0,35.21,35.21,35.21,0.0,0.0,33.56,33.56,33.56,0.0,0.0,34.59,34.59,34.59,0.0,0.0
2016-06-26,35.46,35.46,35.46,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.61,35.61,35.61,0.0,0.0
2016-07-03,34.27,34.27,34.27,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.53,34.53,34.53,0.0,0.0
2016-07-10,35.79,35.79,35.79,0.0,0.0,35.79,35.79,35.79,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.58,35.58,35.58,0.0,0.0
