Date,BBQStock_Open_average,BBQStock_Open_max,BBQStock_Open_min,BBQStock_Open_volatility,BBQStock_Open_change,BBQStock_High_average,BBQStock_High_max,BBQStock_High_min,BBQStock_High_volatility,BBQStock_High_change,BBQStock_Low_average,BBQStock_Low_max,BBQStock_Low_min,BBQStock_Low_volatility,BBQStock_Low_change,BBQStock_Close_average,BBQStock_Close_max,BBQStock_Close_min,BBQStock_Close_volatility,BBQStock_Close_change,BBQStock_Volume_average,BBQStock_Volume_max,BBQStock_Volume_min,BBQStock_Volume_volatility,BBQStock_Volume_change
2016-01-03,6.6240000000000006,6.94,6.15,0.79,-0.28000000000000025,6.8260000000000005,7.05,6.7,0.34999999999999964,-0.2699999999999996,6.314,6.8,5.95,0.8499999999999996,-0.47999999999999954,6.518,6.86,6.21,0.6500000000000004,-0.4900000000000002,467561,1520742,55850,1464892,63297
2016-01-10,6.042,6.42,5.84,0.5800000000000001,-0.5,6.258,6.65,5.97,0.6800000000000006,-0.4800000000000004,5.782,5.96,5.71,0.25,-0.2400000000000002,5.942,6.06,5.83,0.22999999999999954,-0.14999999999999947,69126,116995,44190,72805,-16649
2016-01-17,5.76,6.08,5.47,0.6100000000000003,0.1200000000000001,5.9575,6.15,5.64,0.5100000000000007,0.15000000000000036,5.512499999999999,5.72,5.27,0.4500000000000002,0.1200000000000001,5.7625,6.0,5.46,0.54,0.3700000000000001,86056,170580,25762,144818,-23316
2016-01-24,6.282,6.45,5.99,0.45999999999999996,0.45999999999999996,6.488,6.75,6.2,0.5499999999999998,0.5499999999999998,6.148000000000001,6.42,5.87,0.5499999999999998,0.5499999999999998,6.414,6.66,6.2,0.45999999999999996,0.45999999999999996,82619,136493,60492,76001,-51055
2016-01-31,6.266,6.61,6.08,0.5300000000000002,-0.41000000000000014,6.438,6.72,6.21,0.5099999999999998,0.009999999999999787,5.952,6.39,5.7,0.6899999999999995,-0.6899999999999995,6.148,6.4,5.97,0.4300000000000006,-0.4300000000000006,28912,46149,15138,31011,10437
2016-02-07,5.656,5.86,5.44,0.41999999999999993,-0.08000000000000007,5.843999999999999,6.18,5.67,0.5099999999999998,-0.33000000000000007,5.4399999999999995,5.5,5.3,0.20000000000000018,-0.03000000000000025,5.566,5.66,5.46,0.20000000000000018,0.0,40985,92852,16133,76719,-29531
2016-02-14,6.2,6.72,5.7,1.0199999999999996,1.0199999999999996,6.545,6.95,6.14,0.8100000000000005,0.8100000000000005,6.035,6.28,5.7,0.5800000000000001,0.5599999999999996,6.2775,6.72,5.71,1.0099999999999998,0.79,34849,76707,11019,65688,12541
2016-02-21,6.056666666666667,6.49,5.54,0.9500000000000002,-0.7300000000000004,6.195,6.77,5.76,1.0099999999999998,-1.0099999999999998,5.8,6.3,5.01,1.29,-0.54,5.941666666666666,6.3,5.33,0.9699999999999998,-0.54,75919,239631,14109,225522,52234
2016-02-28,6.004,6.39,5.78,0.6099999999999994,0.5599999999999996,6.222,6.65,5.95,0.7000000000000002,0.7000000000000002,5.84,6.13,5.64,0.4900000000000002,0.4400000000000004,6.038,6.26,5.82,0.4399999999999995,0.35999999999999943,28196,32774,19856,12918,-3772
2016-03-06,6.352,6.46,6.21,0.25,0.05999999999999961,6.462,6.55,6.36,0.1899999999999995,-0.1899999999999995,6.1259999999999994,6.25,6.02,0.23000000000000043,-0.1900000000000004,6.29,6.48,6.11,0.3700000000000001,-0.3700000000000001,20464,25983,9823,16160,-1352
