Date,iShares Emerg Markets Infrastructure_etf_Open_average,iShares Emerg Markets Infrastructure_etf_Open_max,iShares Emerg Markets Infrastructure_etf_Open_min,iShares Emerg Markets Infrastructure_etf_Open_volatility,iShares Emerg Markets Infrastructure_etf_Open_change,iShares Emerg Markets Infrastructure_etf_High_average,iShares Emerg Markets Infrastructure_etf_High_max,iShares Emerg Markets Infrastructure_etf_High_min,iShares Emerg Markets Infrastructure_etf_High_volatility,iShares Emerg Markets Infrastructure_etf_High_change,iShares Emerg Markets Infrastructure_etf_Low_average,iShares Emerg Markets Infrastructure_etf_Low_max,iShares Emerg Markets Infrastructure_etf_Low_min,iShares Emerg Markets Infrastructure_etf_Low_volatility,iShares Emerg Markets Infrastructure_etf_Low_change,iShares Emerg Markets Infrastructure_etf_Close_average,iShares Emerg Markets Infrastructure_etf_Close_max,iShares Emerg Markets Infrastructure_etf_Close_min,iShares Emerg Markets Infrastructure_etf_Close_volatility,iShares Emerg Markets Infrastructure_etf_Close_change
2016-01-03,25.35,25.35,25.35,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2016-01-10,24.07,24.07,24.07,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.44,24.44,24.44,0.0,0.0
2016-01-17,24.4,24.4,24.4,0.0,0.0,24.74,24.74,24.74,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.67,24.67,24.67,0.0,0.0
2016-01-24,25.33,25.33,25.33,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.88,25.88,25.88,0.0,0.0
2016-01-31,25.41,25.41,25.41,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.22,25.22,25.22,0.0,0.0
2016-02-07,24.64,24.64,24.64,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2016-02-14,26.01,26.01,26.01,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2016-02-21,26.5,26.5,26.5,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2016-02-28,28.03,28.03,28.03,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.26,28.26,28.26,0.0,0.0
2016-03-06,28.24,28.24,28.24,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2016-03-13,29.09,29.09,29.09,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2016-03-20,28.42,28.42,28.42,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2016-03-27,29.29,29.29,29.29,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2016-04-03,29.34,29.34,29.34,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.33,29.33,29.33,0.0,0.0
2016-04-10,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2016-04-17,29.98,29.98,29.98,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2016-04-24,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0
2016-05-01,29.47,29.47,29.47,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2016-05-08,29.39,29.39,29.39,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.28,29.28,29.28,0.0,0.0
2016-05-15,29.16,29.16,29.16,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0
2016-05-22,29.01,29.01,29.01,0.0,0.0,29.11,29.11,29.11,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.98,28.98,28.98,0.0,0.0
2016-05-29,28.96,28.96,28.96,0.0,0.0,29.29,29.29,29.29,0.0,0.0,28.96,28.96,28.96,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2016-06-05,29.29,29.29,29.29,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2016-06-12,28.89,28.89,28.89,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.94,28.94,28.94,0.0,0.0
2016-06-19,28.06,28.06,28.06,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.06,28.06,28.06,0.0,0.0,28.44,28.44,28.44,0.0,0.0
2016-06-26,30.69,30.69,30.69,0.0,0.0,30.69,30.69,30.69,0.0,0.0,29.92,29.92,29.92,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2016-07-03,29.31,29.31,29.31,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2016-07-10,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2016-07-17,30.53,30.53,30.53,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.64,30.64,30.64,0.0,0.0
2016-07-24,30.59,30.59,30.59,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2016-07-31,30.91,30.91,30.91,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.99,30.99,30.99,0.0,0.0
2016-08-07,31.9,31.9,31.9,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2016-08-14,31.8,31.8,31.8,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2016-08-21,31.99,31.99,31.99,0.0,0.0,31.99,31.99,31.99,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2016-08-28,31.33,31.33,31.33,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.46,31.46,31.46,0.0,0.0
2016-09-04,31.4,31.4,31.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.11,31.11,31.11,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2016-09-11,30.21,30.21,30.21,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2016-09-18,31.13,31.13,31.13,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2016-09-25,30.65,30.65,30.65,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2016-10-02,30.86,30.86,30.86,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2016-10-09,30.55,30.55,30.55,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2016-10-16,30.93,30.93,30.93,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.93,30.93,30.93,0.0,0.0,31.02,31.02,31.02,0.0,0.0
