Date,iShares MSCI Brazil Small-CapEtf_Open_average,iShares MSCI Brazil Small-CapEtf_Open_max,iShares MSCI Brazil Small-CapEtf_Open_min,iShares MSCI Brazil Small-CapEtf_Open_volatility,iShares MSCI Brazil Small-CapEtf_Open_change,iShares MSCI Brazil Small-CapEtf_High_average,iShares MSCI Brazil Small-CapEtf_High_max,iShares MSCI Brazil Small-CapEtf_High_min,iShares MSCI Brazil Small-CapEtf_High_volatility,iShares MSCI Brazil Small-CapEtf_High_change,iShares MSCI Brazil Small-CapEtf_Low_average,iShares MSCI Brazil Small-CapEtf_Low_max,iShares MSCI Brazil Small-CapEtf_Low_min,iShares MSCI Brazil Small-CapEtf_Low_volatility,iShares MSCI Brazil Small-CapEtf_Low_change,iShares MSCI Brazil Small-CapEtf_Close_average,iShares MSCI Brazil Small-CapEtf_Close_max,iShares MSCI Brazil Small-CapEtf_Close_min,iShares MSCI Brazil Small-CapEtf_Close_volatility,iShares MSCI Brazil Small-CapEtf_Close_change
2016-01-03,6.46,6.46,6.46,0.0,0.0,6.49,6.49,6.49,0.0,0.0,6.31,6.31,6.31,0.0,0.0,6.35,6.35,6.35,0.0,0.0
2016-01-10,6.03,6.03,6.03,0.0,0.0,6.21,6.21,6.21,0.0,0.0,6.02,6.02,6.02,0.0,0.0,6.03,6.03,6.03,0.0,0.0
2016-01-17,5.93,5.93,5.93,0.0,0.0,6.01,6.01,6.01,0.0,0.0,5.87,5.87,5.87,0.0,0.0,5.87,5.87,5.87,0.0,0.0
2016-01-24,6.25,6.25,6.25,0.0,0.0,6.4,6.4,6.4,0.0,0.0,6.19,6.19,6.19,0.0,0.0,6.39,6.39,6.39,0.0,0.0
2016-01-31,6.68,6.68,6.68,0.0,0.0,6.69,6.69,6.69,0.0,0.0,6.6,6.6,6.6,0.0,0.0,6.6,6.6,6.6,0.0,0.0
2016-02-07,6.31,6.31,6.31,0.0,0.0,6.35,6.35,6.35,0.0,0.0,6.26,6.26,6.26,0.0,0.0,6.28,6.28,6.28,0.0,0.0
2016-02-14,6.48,6.48,6.48,0.0,0.0,6.56,6.56,6.56,0.0,0.0,6.4,6.4,6.4,0.0,0.0,6.53,6.53,6.53,0.0,0.0
2016-02-21,6.7,6.7,6.7,0.0,0.0,6.7,6.7,6.7,0.0,0.0,6.49,6.49,6.49,0.0,0.0,6.51,6.51,6.51,0.0,0.0
2016-02-28,7.79,7.79,7.79,0.0,0.0,7.85,7.85,7.85,0.0,0.0,7.66,7.66,7.66,0.0,0.0,7.68,7.68,7.68,0.0,0.0
2016-03-06,8.33,8.33,8.33,0.0,0.0,8.39,8.39,8.39,0.0,0.0,8.22,8.22,8.22,0.0,0.0,8.26,8.26,8.26,0.0,0.0
2016-03-13,8.42,8.42,8.42,0.0,0.0,8.49,8.49,8.49,0.0,0.0,8.33,8.33,8.33,0.0,0.0,8.49,8.49,8.49,0.0,0.0
2016-03-20,8.09,8.09,8.09,0.0,0.0,8.12,8.12,8.12,0.0,0.0,7.99,7.99,7.99,0.0,0.0,8.12,8.12,8.12,0.0,0.0
2016-03-27,8.36,8.36,8.36,0.0,0.0,8.61,8.61,8.61,0.0,0.0,8.34,8.34,8.34,0.0,0.0,8.6,8.6,8.6,0.0,0.0
2016-04-03,8.11,8.11,8.11,0.0,0.0,8.36,8.36,8.36,0.0,0.0,8.06,8.06,8.06,0.0,0.0,8.33,8.33,8.33,0.0,0.0
2016-04-10,9.03,9.03,9.03,0.0,0.0,9.06,9.06,9.06,0.0,0.0,8.94,8.94,8.94,0.0,0.0,8.96,8.96,8.96,0.0,0.0
2016-04-17,8.84,8.84,8.84,0.0,0.0,8.84,8.84,8.84,0.0,0.0,8.7,8.7,8.7,0.0,0.0,8.75,8.75,8.75,0.0,0.0
2016-04-24,9.37,9.37,9.37,0.0,0.0,9.48,9.48,9.48,0.0,0.0,9.25,9.25,9.25,0.0,0.0,9.33,9.33,9.33,0.0,0.0
