Date,iShares Core MSCI Emerging MarketsEtf_Open_average,iShares Core MSCI Emerging MarketsEtf_Open_max,iShares Core MSCI Emerging MarketsEtf_Open_min,iShares Core MSCI Emerging MarketsEtf_Open_volatility,iShares Core MSCI Emerging MarketsEtf_Open_change,iShares Core MSCI Emerging MarketsEtf_High_average,iShares Core MSCI Emerging MarketsEtf_High_max,iShares Core MSCI Emerging MarketsEtf_High_min,iShares Core MSCI Emerging MarketsEtf_High_volatility,iShares Core MSCI Emerging MarketsEtf_High_change,iShares Core MSCI Emerging MarketsEtf_Low_average,iShares Core MSCI Emerging MarketsEtf_Low_max,iShares Core MSCI Emerging MarketsEtf_Low_min,iShares Core MSCI Emerging MarketsEtf_Low_volatility,iShares Core MSCI Emerging MarketsEtf_Low_change,iShares Core MSCI Emerging MarketsEtf_Close_average,iShares Core MSCI Emerging MarketsEtf_Close_max,iShares Core MSCI Emerging MarketsEtf_Close_min,iShares Core MSCI Emerging MarketsEtf_Close_volatility,iShares Core MSCI Emerging MarketsEtf_Close_change
2016-01-03,36.72,36.72,36.72,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.03,36.03,36.03,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2016-01-10,34.78,34.78,34.78,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2016-01-17,35.64,35.64,35.64,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2016-01-24,36.58,36.58,36.58,0.0,0.0,37.14,37.14,37.14,0.0,0.0,36.46,36.46,36.46,0.0,0.0,37.13,37.13,37.13,0.0,0.0
2016-01-31,36.82,36.82,36.82,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.45,36.45,36.45,0.0,0.0
2016-02-07,35.27,35.27,35.27,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.13,35.13,35.13,0.0,0.0,35.59,35.59,35.59,0.0,0.0
2016-02-14,36.61,36.61,36.61,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.67,36.67,36.67,0.0,0.0
2016-02-21,37.05,37.05,37.05,0.0,0.0,37.06,37.06,37.06,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.48,36.48,36.48,0.0,0.0
2016-02-28,39.33,39.33,39.33,0.0,0.0,39.88,39.88,39.88,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.72,39.72,39.72,0.0,0.0
2016-03-06,39.84,39.84,39.84,0.0,0.0,40.19,40.19,40.19,0.0,0.0,39.83,39.83,39.83,0.0,0.0,40.16,40.16,40.16,0.0,0.0
2016-03-13,41.13,41.13,41.13,0.0,0.0,41.27,41.27,41.27,0.0,0.0,41.04,41.04,41.04,0.0,0.0,41.06,41.06,41.06,0.0,0.0
2016-03-20,40.13,40.13,40.13,0.0,0.0,40.37,40.37,40.37,0.0,0.0,39.94,39.94,39.94,0.0,0.0,40.35,40.35,40.35,0.0,0.0
2016-03-27,40.62,40.62,40.62,0.0,0.0,41.37,41.37,41.37,0.0,0.0,40.47,40.47,40.47,0.0,0.0,41.31,41.31,41.31,0.0,0.0
2016-04-03,40.69,40.69,40.69,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.39,40.39,40.39,0.0,0.0,40.49,40.49,40.49,0.0,0.0
2016-04-10,42.02,42.02,42.02,0.0,0.0,42.08,42.08,42.08,0.0,0.0,41.87,41.87,41.87,0.0,0.0,41.89,41.89,41.89,0.0,0.0
2016-04-17,41.93,41.93,41.93,0.0,0.0,42.18,42.18,42.18,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.85,41.85,41.85,0.0,0.0
2016-04-24,41.72,41.72,41.72,0.0,0.0,41.86,41.86,41.86,0.0,0.0,41.33,41.33,41.33,0.0,0.0,41.67,41.67,41.67,0.0,0.0
2016-05-01,39.76,39.76,39.76,0.0,0.0,40.09,40.09,40.09,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.97,39.97,39.97,0.0,0.0
2016-05-08,39.69,39.69,39.69,0.0,0.0,39.82,39.82,39.82,0.0,0.0,39.21,39.21,39.21,0.0,0.0,39.3,39.3,39.3,0.0,0.0
2016-05-15,39.29,39.29,39.29,0.0,0.0,39.38,39.38,39.38,0.0,0.0,39.2,39.2,39.2,0.0,0.0,39.3,39.3,39.3,0.0,0.0
2016-05-22,40.34,40.34,40.34,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.1,40.1,40.1,0.0,0.0,40.22,40.22,40.22,0.0,0.0
2016-05-29,40.97,40.97,40.97,0.0,0.0,41.15,41.15,41.15,0.0,0.0,40.74,40.74,40.74,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2016-06-05,40.9,40.9,40.9,0.0,0.0,41.03,41.03,41.03,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.7,40.7,40.7,0.0,0.0
2016-06-12,40.32,40.32,40.32,0.0,0.0,40.37,40.37,40.37,0.0,0.0,40.06,40.06,40.06,0.0,0.0,40.34,40.34,40.34,0.0,0.0
2016-06-19,39.6,39.6,39.6,0.0,0.0,40.43,40.43,40.43,0.0,0.0,39.41,39.41,39.41,0.0,0.0,39.51,39.51,39.51,0.0,0.0
