Date,MMS_stock_Open_average,MMS_stock_Open_max,MMS_stock_Open_min,MMS_stock_Open_volatility,MMS_stock_Open_change,MMS_stock_High_average,MMS_stock_High_max,MMS_stock_High_min,MMS_stock_High_volatility,MMS_stock_High_change,MMS_stock_Low_average,MMS_stock_Low_max,MMS_stock_Low_min,MMS_stock_Low_volatility,MMS_stock_Low_change,MMS_stock_Close_average,MMS_stock_Close_max,MMS_stock_Close_min,MMS_stock_Close_volatility,MMS_stock_Close_change,MMS_stock_Volume_average,MMS_stock_Volume_max,MMS_stock_Volume_min,MMS_stock_Volume_volatility,MMS_stock_Volume_change
2016-01-03,54.546,55.62,53.86,1.759999999999998,-1.2899999999999991,55.092,55.67,54.31,1.3599999999999994,-1.1199999999999974,53.716,54.27,53.33,0.9400000000000048,-0.4100000000000037,54.39,55.02,53.58,1.4400000000000048,-0.8299999999999983,641126,924065,378097,545968,52883
2016-01-10,53.449999999999996,54.98,52.08,2.8999999999999986,-1.7100000000000009,54.104,54.98,52.9,2.0799999999999983,-0.9500000000000028,52.338,53.62,51.31,2.309999999999995,-1.5899999999999963,53.226,54.49,52.22,2.270000000000003,-1.019999999999996,369849,431335,270587,160748,110166
2016-01-17,52.7325,53.24,51.62,1.6200000000000045,0.28999999999999915,53.6525,53.86,53.48,0.38000000000000256,0.28999999999999915,51.89,52.77,50.33,2.440000000000005,0.6300000000000026,52.980000000000004,53.58,52.45,1.1299999999999955,0.9499999999999957,493160,619174,331958,287216,-207642
2016-01-24,52.454,53.18,52.21,0.9699999999999989,-0.9699999999999989,53.129999999999995,53.89,52.72,1.1700000000000017,-0.480000000000004,51.768,52.01,51.32,0.6899999999999977,0.00999999999999801,52.328,53.37,51.56,1.8099999999999952,1.2399999999999949,470938,868070,274954,593116,575528
2016-01-31,52.294,53.91,49.8,4.109999999999999,-4.109999999999999,52.804,55.11,50.5,4.609999999999999,-4.609999999999999,50.664,53.37,46.7,6.669999999999995,-6.669999999999995,51.178,53.73,46.92,6.809999999999995,-6.809999999999995,1055446,1776287,604341,1171946,774480
2016-02-07,46.074,46.69,45.28,1.4099999999999966,0.4299999999999997,47.048,47.59,46.52,1.0700000000000003,1.0700000000000003,45.578,46.16,45.15,1.009999999999998,0.9599999999999937,46.506,47.49,45.94,1.5500000000000043,1.3400000000000034,740800,1138131,350514,787617,-408547
2016-02-14,47.6475,48.22,46.79,1.4299999999999997,-1.1700000000000017,48.120000000000005,48.38,47.78,0.6000000000000014,-0.3100000000000023,46.7625,47.04,46.37,0.6700000000000017,-0.6300000000000026,47.5,48.04,46.68,1.3599999999999994,0.25,484919,577835,417065,160770,-8555
2016-02-21,47.998,48.72,46.83,1.8900000000000006,0.12999999999999545,48.55,49.31,47.74,1.5700000000000003,0.4100000000000037,47.42,48.33,46.34,1.9899999999999949,0.5499999999999972,48.148,48.86,47.2,1.6599999999999966,0.9099999999999966,328122,371002,278950,92052,52424
2016-02-28,50.014,51.11,48.85,2.259999999999998,1.6499999999999986,50.878,51.49,49.75,1.740000000000002,1.740000000000002,49.46,50.16,48.74,1.4199999999999946,0.759999999999998,50.524,51.41,49.17,2.239999999999995,2.239999999999995,603073,1037824,472577,565247,-7880
2016-03-06,52.058,52.6,51.05,1.5500000000000043,0.5500000000000043,52.652,53.84,51.97,1.8700000000000045,0.4399999999999977,51.398,52.39,50.57,1.8200000000000003,0.23000000000000398,51.93,52.47,51.21,1.259999999999998,0.4200000000000017,462312,749006,283597,465409,-124828
