Date,JCI_stock_Open_average,JCI_stock_Open_max,JCI_stock_Open_min,JCI_stock_Open_volatility,JCI_stock_Open_change,JCI_stock_High_average,JCI_stock_High_max,JCI_stock_High_min,JCI_stock_High_volatility,JCI_stock_High_change,JCI_stock_Low_average,JCI_stock_Low_max,JCI_stock_Low_min,JCI_stock_Low_volatility,JCI_stock_Low_change,JCI_stock_Close_average,JCI_stock_Close_max,JCI_stock_Close_min,JCI_stock_Close_volatility,JCI_stock_Close_change,JCI_stock_Volume_average,JCI_stock_Volume_max,JCI_stock_Volume_min,JCI_stock_Volume_volatility,JCI_stock_Volume_change
2016-01-03,32.256,33.09,31.74,1.350000000000005,-0.9600000000000009,32.61,33.31,32.01,1.3000000000000043,-1.230000000000004,31.97,32.7,31.45,1.2500000000000036,-1.230000000000004,32.274,33.12,31.53,1.5899999999999963,-1.5899999999999963,3769886,5867720,3120540,2747180,-59790
2016-01-10,31.614,32.51,30.74,1.7699999999999996,-0.860000000000003,32.147999999999996,32.86,31.69,1.1699999999999982,-0.09999999999999787,31.073999999999998,31.6,30.74,0.860000000000003,-0.5500000000000007,31.498,31.85,31.06,0.7900000000000027,0.019999999999999574,3827416,4440830,3161830,1279000,420310
2016-01-17,31.39,32.11,30.78,1.3299999999999983,-0.46999999999999886,31.79,32.11,31.34,0.7699999999999996,-0.07000000000000028,30.945,31.45,30.15,1.3000000000000007,0.05999999999999872,31.4925,31.87,31.07,0.8000000000000007,0.08000000000000185,3559917,4572180,2124420,2447760,-2441000
2016-01-24,35.152,35.72,34.23,1.490000000000002,1.490000000000002,35.91,36.22,35.62,0.6000000000000014,0.39000000000000057,34.576,35.36,33.41,1.9500000000000028,1.9500000000000028,35.342,35.83,34.88,0.9499999999999957,0.25,9409408,22872040,4597910,18274130,-17893930
2016-01-31,35.548,36.09,35.17,0.9200000000000017,0.47000000000000597,36.025999999999996,36.48,35.25,1.2299999999999969,0.5300000000000011,35.272,35.91,34.94,0.9699999999999989,0.8799999999999955,35.792,36.44,35.16,1.2800000000000011,0.9399999999999977,4546980,5171330,3568150,1603180,1531420
2016-02-07,35.628,36.15,34.93,1.2199999999999989,-1.2100000000000009,35.872,36.46,35.02,1.4399999999999977,-1.279999999999994,35.156,35.83,34.29,1.5399999999999991,-1.4299999999999997,35.472,36.18,34.64,1.5399999999999991,-1.259999999999998,3689412,4829810,2863480,1966330,1748280
2016-02-14,35.837500000000006,36.42,35.42,1.0,0.46000000000000085,36.1875,36.52,35.78,0.740000000000002,0.1599999999999966,35.2825,35.88,34.53,1.3500000000000014,-0.6000000000000014,35.7375,36.41,34.97,1.4399999999999977,-0.6600000000000037,4517700,7676840,3212980,4463860,4463860
2016-02-21,35.568000000000005,36.46,34.95,1.509999999999998,1.4399999999999977,36.138,36.96,35.68,1.2800000000000011,1.2800000000000011,35.274,36.4,34.39,2.009999999999998,1.3799999999999955,35.980000000000004,36.89,35.23,1.6600000000000037,1.2899999999999991,4084828,4810690,3175770,1634920,-577360
2016-02-28,37.216,37.63,36.82,0.8100000000000023,0.8100000000000023,37.524,37.9,36.91,0.990000000000002,0.990000000000002,37.03,37.41,36.52,0.8899999999999935,0.8899999999999935,37.398,37.82,36.65,1.1700000000000017,1.1700000000000017,3405796,5408280,2223140,3185140,-2507200
2016-03-06,37.492,37.68,37.11,0.5700000000000003,-0.5700000000000003,37.784,37.93,37.63,0.29999999999999716,-0.10000000000000142,37.166,37.44,36.74,0.6999999999999957,-0.3399999999999963,37.464,37.85,36.9,0.9500000000000028,-0.05000000000000426,2004130,2887930,1522180,1365750,-350530
