Date,iShares MSCI South AfricaEtf_Open_average,iShares MSCI South AfricaEtf_Open_max,iShares MSCI South AfricaEtf_Open_min,iShares MSCI South AfricaEtf_Open_volatility,iShares MSCI South AfricaEtf_Open_change,iShares MSCI South AfricaEtf_High_average,iShares MSCI South AfricaEtf_High_max,iShares MSCI South AfricaEtf_High_min,iShares MSCI South AfricaEtf_High_volatility,iShares MSCI South AfricaEtf_High_change,iShares MSCI South AfricaEtf_Low_average,iShares MSCI South AfricaEtf_Low_max,iShares MSCI South AfricaEtf_Low_min,iShares MSCI South AfricaEtf_Low_volatility,iShares MSCI South AfricaEtf_Low_change,iShares MSCI South AfricaEtf_Close_average,iShares MSCI South AfricaEtf_Close_max,iShares MSCI South AfricaEtf_Close_min,iShares MSCI South AfricaEtf_Close_volatility,iShares MSCI South AfricaEtf_Close_change
2016-01-03,39.05,39.05,39.05,0.0,0.0,39.12,39.12,39.12,0.0,0.0,37.95,37.95,37.95,0.0,0.0,38.06,38.06,38.06,0.0,0.0
2016-01-10,36.16,36.16,36.16,0.0,0.0,36.37,36.37,36.37,0.0,0.0,35.43,35.43,35.43,0.0,0.0,36.05,36.05,36.05,0.0,0.0
2016-01-17,37.73,37.73,37.73,0.0,0.0,38.01,38.01,38.01,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.93,37.93,37.93,0.0,0.0
2016-01-24,41.09,41.09,41.09,0.0,0.0,42.38,42.38,42.38,0.0,0.0,40.96,40.96,40.96,0.0,0.0,42.27,42.27,42.27,0.0,0.0
2016-01-31,41.73,41.73,41.73,0.0,0.0,41.84,41.84,41.84,0.0,0.0,41.12,41.12,41.12,0.0,0.0,41.32,41.32,41.32,0.0,0.0
2016-02-07,40.4,40.4,40.4,0.0,0.0,41.07,41.07,41.07,0.0,0.0,40.4,40.4,40.4,0.0,0.0,41.01,41.01,41.01,0.0,0.0
2016-02-14,42.21,42.21,42.21,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.21,42.21,42.21,0.0,0.0,42.56,42.56,42.56,0.0,0.0
2016-02-21,41.77,41.77,41.77,0.0,0.0,41.84,41.84,41.84,0.0,0.0,40.41,40.41,40.41,0.0,0.0,40.55,40.55,40.55,0.0,0.0
2016-02-28,44.81,44.81,44.81,0.0,0.0,46.35,46.35,46.35,0.0,0.0,44.71,44.71,44.71,0.0,0.0,45.81,45.81,45.81,0.0,0.0
2016-03-06,45.48,45.48,45.48,0.0,0.0,45.94,45.94,45.94,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.88,45.88,45.88,0.0,0.0
2016-03-13,47.71,47.71,47.71,0.0,0.0,48.24,48.24,48.24,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2016-03-20,45.96,45.96,45.96,0.0,0.0,46.59,46.59,46.59,0.0,0.0,45.63,45.63,45.63,0.0,0.0,46.59,46.59,46.59,0.0,0.0
2016-03-27,47.78,47.78,47.78,0.0,0.0,49.05,49.05,49.05,0.0,0.0,47.53,47.53,47.53,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2016-04-03,47.33,47.33,47.33,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2016-04-10,49.9,49.9,49.9,0.0,0.0,50.31,50.31,50.31,0.0,0.0,49.81,49.81,49.81,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2016-04-17,50.48,50.48,50.48,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.48,50.48,50.48,0.0,0.0
2016-04-24,51.48,51.48,51.48,0.0,0.0,51.61,51.61,51.61,0.0,0.0,50.81,50.81,50.81,0.0,0.0,51.37,51.37,51.37,0.0,0.0
