Date,iShares Emerging Markets High Yield Bond_etf_Open_average,iShares Emerging Markets High Yield Bond_etf_Open_max,iShares Emerging Markets High Yield Bond_etf_Open_min,iShares Emerging Markets High Yield Bond_etf_Open_volatility,iShares Emerging Markets High Yield Bond_etf_Open_change,iShares Emerging Markets High Yield Bond_etf_High_average,iShares Emerging Markets High Yield Bond_etf_High_max,iShares Emerging Markets High Yield Bond_etf_High_min,iShares Emerging Markets High Yield Bond_etf_High_volatility,iShares Emerging Markets High Yield Bond_etf_High_change,iShares Emerging Markets High Yield Bond_etf_Low_average,iShares Emerging Markets High Yield Bond_etf_Low_max,iShares Emerging Markets High Yield Bond_etf_Low_min,iShares Emerging Markets High Yield Bond_etf_Low_volatility,iShares Emerging Markets High Yield Bond_etf_Low_change,iShares Emerging Markets High Yield Bond_etf_Close_average,iShares Emerging Markets High Yield Bond_etf_Close_max,iShares Emerging Markets High Yield Bond_etf_Close_min,iShares Emerging Markets High Yield Bond_etf_Close_volatility,iShares Emerging Markets High Yield Bond_etf_Close_change
2016-01-03,44.9,44.9,44.9,0.0,0.0,45.01,45.01,45.01,0.0,0.0,44.85,44.85,44.85,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2016-01-10,43.79,43.79,43.79,0.0,0.0,44.05,44.05,44.05,0.0,0.0,43.63,43.63,43.63,0.0,0.0,43.63,43.63,43.63,0.0,0.0
2016-01-17,44.31,44.31,44.31,0.0,0.0,44.34,44.34,44.34,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.21,44.21,44.21,0.0,0.0
2016-01-24,44.82,44.82,44.82,0.0,0.0,44.99,44.99,44.99,0.0,0.0,44.75,44.75,44.75,0.0,0.0,44.89,44.89,44.89,0.0,0.0
2016-01-31,44.49,44.49,44.49,0.0,0.0,44.57,44.57,44.57,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.57,44.57,44.57,0.0,0.0
2016-02-07,43.96,43.96,43.96,0.0,0.0,44.11,44.11,44.11,0.0,0.0,43.76,43.76,43.76,0.0,0.0,43.94,43.94,43.94,0.0,0.0
2016-02-14,44.03,44.03,44.03,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.03,44.03,44.03,0.0,0.0,44.73,44.73,44.73,0.0,0.0
2016-02-21,45.3,45.3,45.3,0.0,0.0,45.3,45.3,45.3,0.0,0.0,45.15,45.15,45.15,0.0,0.0,45.19,45.19,45.19,0.0,0.0
2016-02-28,45.98,45.98,45.98,0.0,0.0,46.06,46.06,46.06,0.0,0.0,45.97,45.97,45.97,0.0,0.0,46.06,46.06,46.06,0.0,0.0
2016-03-06,46.28,46.28,46.28,0.0,0.0,46.43,46.43,46.43,0.0,0.0,46.28,46.28,46.28,0.0,0.0,46.4,46.4,46.4,0.0,0.0
2016-03-13,46.61,46.61,46.61,0.0,0.0,46.86,46.86,46.86,0.0,0.0,46.61,46.61,46.61,0.0,0.0,46.86,46.86,46.86,0.0,0.0
2016-03-20,46.93,46.93,46.93,0.0,0.0,46.93,46.93,46.93,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2016-03-27,46.93,46.93,46.93,0.0,0.0,46.99,46.99,46.99,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.99,46.99,46.99,0.0,0.0
2016-04-03,46.74,46.74,46.74,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2016-04-10,47.7,47.7,47.7,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.53,47.53,47.53,0.0,0.0,47.6,47.6,47.6,0.0,0.0
2016-04-17,47.86,47.86,47.86,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.76,47.76,47.76,0.0,0.0
2016-04-24,48.15,48.15,48.15,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.07,48.07,48.07,0.0,0.0,48.12,48.12,48.12,0.0,0.0
2016-05-01,47.52,47.52,47.52,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.61,47.61,47.61,0.0,0.0
2016-05-08,47.78,47.78,47.78,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.95,47.95,47.95,0.0,0.0
2016-05-15,47.67,47.67,47.67,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.49,47.49,47.49,0.0,0.0,47.62,47.62,47.62,0.0,0.0
2016-05-22,47.9,47.9,47.9,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.81,47.81,47.81,0.0,0.0
2016-05-29,47.57,47.57,47.57,0.0,0.0,47.96,47.96,47.96,0.0,0.0,47.57,47.57,47.57,0.0,0.0,47.91,47.91,47.91,0.0,0.0
2016-06-05,48.08,48.08,48.08,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.08,48.08,48.08,0.0,0.0,48.36,48.36,48.36,0.0,0.0
2016-06-12,48.05,48.05,48.05,0.0,0.0,48.16,48.16,48.16,0.0,0.0,47.85,47.85,47.85,0.0,0.0,47.91,47.91,47.91,0.0,0.0
2016-06-19,48.34,48.34,48.34,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.36,48.36,48.36,0.0,0.0
2016-06-26,49.25,49.25,49.25,0.0,0.0,49.25,49.25,49.25,0.0,0.0,48.99,48.99,48.99,0.0,0.0,49.09,49.09,49.09,0.0,0.0
2016-07-03,49.48,49.48,49.48,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.53,49.53,49.53,0.0,0.0
2016-07-10,49.77,49.77,49.77,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2016-07-17,49.88,49.88,49.88,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2016-07-24,49.95,49.95,49.95,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2016-07-31,49.82,49.82,49.82,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2016-08-07,50.37,50.37,50.37,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.43,50.43,50.43,0.0,0.0
2016-08-14,50.47,50.47,50.47,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.44,50.44,50.44,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2016-08-21,50.5,50.5,50.5,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.38,50.38,50.38,0.0,0.0
