Date,EXPOStock_Open_average,EXPOStock_Open_max,EXPOStock_Open_min,EXPOStock_Open_volatility,EXPOStock_Open_change,EXPOStock_High_average,EXPOStock_High_max,EXPOStock_High_min,EXPOStock_High_volatility,EXPOStock_High_change,EXPOStock_Low_average,EXPOStock_Low_max,EXPOStock_Low_min,EXPOStock_Low_volatility,EXPOStock_Low_change,EXPOStock_Close_average,EXPOStock_Close_max,EXPOStock_Close_min,EXPOStock_Close_volatility,EXPOStock_Close_change,EXPOStock_Volume_average,EXPOStock_Volume_max,EXPOStock_Volume_min,EXPOStock_Volume_volatility,EXPOStock_Volume_change
2016-01-03,48.418,49.31,47.73,1.5800000000000054,-1.480000000000004,48.792,49.31,48.36,0.9500000000000028,-0.9400000000000048,47.918,48.62,47.2,1.4199999999999946,-1.0399999999999991,48.186,48.81,47.4,1.4100000000000037,-1.25,108387,121843,85538,36305,-2375
2016-01-10,46.756,47.87,45.15,2.719999999999999,-2.4299999999999997,47.275999999999996,48.16,46.13,2.029999999999994,-1.769999999999996,45.85,47.12,44.82,2.299999999999997,-2.229999999999997,46.606,47.73,45.36,2.3699999999999974,-1.5799999999999983,141056,231977,90191,141786,56718
2016-01-17,47.5925,48.6,46.63,1.9699999999999989,1.8499999999999943,48.5,49.01,47.33,1.6799999999999997,1.5399999999999991,47.0925,48.17,46.1,2.0700000000000003,2.0700000000000003,48.0225,48.81,47.2,1.6099999999999994,1.6099999999999994,150113,181625,91713,89912,-59637
2016-01-24,48.666000000000004,49.39,47.96,1.4299999999999997,0.8599999999999994,49.626,51.34,48.66,2.680000000000007,2.680000000000007,48.278,49.39,47.61,1.7800000000000011,1.7800000000000011,49.108000000000004,51.31,47.84,3.469999999999999,3.469999999999999,112670,165972,76203,89769,44954
2016-01-31,49.938,51.1,49.0,2.1000000000000014,-0.990000000000002,50.856,51.99,49.41,2.5800000000000054,0.7899999999999991,48.778,49.83,47.8,2.030000000000001,-1.0499999999999972,49.354,50.23,48.62,1.6099999999999994,-1.3499999999999943,121401,142061,102670,39391,18073
2016-02-07,47.33,48.29,45.95,2.3399999999999963,-1.1899999999999977,47.9,48.32,47.13,1.1899999999999977,-0.6300000000000026,46.578,47.38,45.18,2.200000000000003,-0.22999999999999687,47.269999999999996,48.15,46.68,1.4699999999999989,-0.8900000000000006,111169,131469,80520,50949,-37852
2016-02-14,47.54,47.91,46.76,1.1499999999999986,-1.0300000000000011,47.915,48.12,47.62,0.5,-0.5,46.682500000000005,47.34,45.73,1.6100000000000065,-1.5400000000000063,47.305,47.58,46.84,0.7399999999999949,-0.259999999999998,100459,129287,79449,49838,5887
2016-02-21,47.185,47.56,46.71,0.8500000000000014,-0.3400000000000034,47.788333333333334,48.8,47.16,1.6400000000000006,-1.5800000000000054,46.638333333333335,47.16,45.67,1.4899999999999949,0.00999999999999801,47.15833333333333,47.62,46.97,0.6499999999999986,-0.46000000000000085,83829,126846,0,126846,-126846
2016-02-28,47.262,47.6,46.85,0.75,0.5900000000000034,47.914,48.25,47.56,0.6899999999999977,0.6899999999999977,46.932,47.35,46.62,0.730000000000004,0.730000000000004,47.566,48.19,46.69,1.5,1.5,101226,118844,83450,35394,-7458
2016-03-06,47.746,47.92,47.39,0.5300000000000011,-0.5300000000000011,48.204,48.48,47.91,0.5700000000000003,-0.5700000000000003,47.244,47.68,46.78,0.8999999999999986,-0.8999999999999986,47.688,48.15,47.17,0.9799999999999969,-0.3999999999999986,90240,107794,67036,40758,-28452
2016-03-13,48.894,50.58,47.51,3.0700000000000003,2.530000000000001,49.72,51.2,48.21,2.990000000000002,2.990000000000002,48.642,50.38,47.2,3.1799999999999997,2.730000000000004,49.446,50.8,47.71,3.0899999999999963,3.0899999999999963,107194,158900,50102,108798,108798
2016-03-20,50.19,50.55,49.56,0.9899999999999949,-0.9899999999999949,50.6975,50.87,50.49,0.37999999999999545,-0.37999999999999545,49.8775,50.19,49.46,0.7299999999999969,-0.7299999999999969,50.082499999999996,50.41,49.7,0.7099999999999937,-0.5899999999999963,106786,145020,66502,78518,78518
2016-03-27,50.252,51.03,49.28,1.75,1.009999999999998,51.038000000000004,51.85,49.95,1.8999999999999986,0.8999999999999986,49.402,50.67,46.77,3.8999999999999986,0.75,50.546,51.12,49.35,1.769999999999996,1.240000000000002,93615,125451,66183,59268,24846
2016-04-03,49.564,50.38,49.08,1.3000000000000043,-1.220000000000006,49.873999999999995,50.55,49.16,1.3900000000000006,-1.3900000000000006,49.058,49.91,48.4,1.509999999999998,-1.509999999999998,49.428000000000004,50.18,48.77,1.4099999999999966,-1.1499999999999986,78484,97268,58539,38729,-14667
2016-04-10,49.354,50.11,49.04,1.0700000000000003,0.23000000000000398,50.07,50.69,49.55,1.1400000000000006,0.75,49.032000000000004,49.43,48.69,0.740000000000002,0.3200000000000003,49.492,50.1,48.9,1.2000000000000028,1.2000000000000028,89250,174756,54067,120689,102510
2016-04-17,50.288000000000004,50.62,49.95,0.6699999999999946,0.10999999999999943,50.822,51.6,50.35,1.25,0.5300000000000011,49.734,49.95,49.54,0.4100000000000037,0.4100000000000037,50.374,50.62,50.15,0.46999999999999886,0.4199999999999946,116348,176585,68221,108364,45267
2016-04-24,49.626,50.33,49.04,1.2899999999999991,-1.2899999999999991,50.002,50.6,49.65,0.9500000000000028,-0.759999999999998,48.967999999999996,49.46,48.39,1.0700000000000003,-0.9600000000000009,49.53,49.84,49.01,0.8300000000000054,0.25,86909,127408,62346,65062,42253
2016-05-01,49.338,49.9,48.94,0.9600000000000009,-0.9099999999999966,49.792,49.99,49.65,0.3400000000000034,-0.3100000000000023,48.788,49.27,48.48,0.7900000000000063,-0.6900000000000048,49.348,49.65,48.99,0.6599999999999966,0.030000000000001137,94452,168099,69379,98720,93405
2016-05-08,50.034,50.42,49.78,0.6400000000000006,0.04999999999999716,50.372,50.45,50.19,0.2600000000000051,-0.060000000000002274,49.672,49.74,49.62,0.12000000000000455,-0.030000000000001137,50.052,50.32,49.74,0.5799999999999983,0.21000000000000085,93430,133815,58210,75605,-19450
2016-05-15,30.016000000000002,50.27,24.8,25.470000000000002,-25.320000000000004,30.518,51.26,25.11,26.15,-25.99,29.658,49.97,24.26,25.709999999999997,-25.169999999999998,30.15,50.8,24.8,25.999999999999996,-25.609999999999996,183131,257894,118816,139078,61892
2016-05-22,25.714,26.25,25.08,1.1700000000000017,1.0100000000000016,26.05,26.5,25.26,1.2399999999999984,1.2399999999999984,25.535999999999998,26.23,24.8,1.4299999999999997,1.4299999999999997,25.936,26.45,25.05,1.3999999999999986,1.3999999999999986,207820,278534,144834,133700,524
2016-05-29,26.869999999999997,27.23,26.45,0.7800000000000011,0.7800000000000011,27.2525,27.43,27.12,0.3099999999999987,0.23999999999999844,26.77,27.11,26.2,0.9100000000000001,0.9100000000000001,27.15,27.36,26.95,0.41000000000000014,0.41000000000000014,207343,331716,148126,183590,-155954
2016-06-05,27.546,27.64,27.35,0.28999999999999915,0.2699999999999996,27.808,27.91,27.67,0.23999999999999844,0.18999999999999773,27.496,27.63,27.23,0.3999999999999986,0.33999999999999986,27.724,27.82,27.55,0.2699999999999996,0.259999999999998,134080,189688,107410,82278,-26654
2016-06-12,27.676,27.95,27.37,0.5799999999999983,0.25,27.882,27.95,27.8,0.14999999999999858,0.0799999999999983,27.022000000000002,27.54,25.6,1.9399999999999977,0.3999999999999986,27.694,27.91,27.55,0.35999999999999943,0.019999999999999574,201052,312116,127686,184430,78506
2016-06-19,27.866,28.36,26.92,1.4399999999999977,-1.0,28.318,28.41,28.16,0.25,-0.25,27.742,28.05,26.92,1.129999999999999,-0.9299999999999997,28.096,28.32,27.85,0.46999999999999886,-0.46999999999999886,185999,343664,89072,254592,141814
2016-06-26,28.064,29.16,27.55,1.6099999999999994,1.6099999999999994,28.496,29.32,27.86,1.4600000000000009,1.4600000000000009,27.814,28.72,27.27,1.4499999999999993,1.4499999999999993,28.236,29.2,27.44,1.759999999999998,1.370000000000001,229986,300370,138728,161642,-102026
2016-07-03,29.015,29.27,28.88,0.39000000000000057,-0.010000000000001563,29.2725,29.36,29.09,0.2699999999999996,0.21000000000000085,28.81,28.9,28.73,0.16999999999999815,0.16999999999999815,29.005,29.12,28.84,0.28000000000000114,0.16000000000000014,198001,333814,126936,206878,184882
2016-07-10,29.55,29.73,29.32,0.41000000000000014,0.17999999999999972,29.716,29.86,29.54,0.3200000000000003,0.14000000000000057,29.39,29.48,29.27,0.21000000000000085,0.05000000000000071,29.536,29.63,29.45,0.17999999999999972,-0.030000000000001137,206573,256834,152706,104128,-38144
2016-07-17,26.642,29.57,22.66,6.91,-3.5700000000000003,27.458000000000002,29.57,26.12,3.4499999999999993,-3.4499999999999993,26.376,29.02,22.5,6.52,-3.259999999999998,27.238,29.21,25.89,3.3200000000000003,-3.2699999999999996,776734,2457742,122842,2334900,180736
2016-07-24,25.848,25.93,25.8,0.129999999999999,0.019999999999999574,26.018,26.12,25.92,0.1999999999999993,-0.14999999999999858,25.644,25.8,25.29,0.5100000000000016,-0.33000000000000185,25.766,25.93,25.41,0.5199999999999996,-0.3299999999999983,331702,449894,220474,229420,-115004
2016-07-31,25.374,25.52,25.25,0.2699999999999996,-0.1999999999999993,25.64,25.98,25.36,0.620000000000001,0.33999999999999986,25.076,25.3,24.81,0.490000000000002,-0.10000000000000142,25.438,25.85,25.24,0.610000000000003,0.39000000000000057,256178,302528,211834,90694,51636
2016-08-07,25.832,25.98,25.74,0.240000000000002,-0.10000000000000142,25.94,25.99,25.84,0.14999999999999858,0.14999999999999858,25.624,25.73,25.5,0.23000000000000043,0.21000000000000085,25.832,25.93,25.7,0.23000000000000043,0.23000000000000043,187054,278606,118148,160458,-67812
2016-08-14,25.718,26.09,25.23,0.8599999999999994,-0.6699999999999982,25.816,26.18,25.23,0.9499999999999993,-0.870000000000001,25.302,25.86,24.54,1.3200000000000003,-1.3000000000000007,25.4,26.01,24.56,1.4500000000000028,-1.4500000000000028,261664,481340,121916,359424,359424
2016-08-21,24.958000000000002,25.62,24.46,1.1600000000000001,1.1600000000000001,25.346,25.79,24.95,0.8399999999999999,0.8399999999999999,24.77,25.0,24.36,0.6400000000000006,0.620000000000001,25.154,25.45,24.61,0.8399999999999999,0.7800000000000011,373244,612692,223632,389060,389060
2016-08-28,25.344,25.49,25.16,0.3299999999999983,-0.0799999999999983,25.526,25.79,25.38,0.41000000000000014,0.25,25.124,25.29,25.02,0.2699999999999996,0.08999999999999986,25.306,25.45,25.21,0.23999999999999844,0.120000000000001,279574,363104,230228,132876,70122
2016-09-04,25.134999999999998,25.44,24.93,0.5100000000000016,-0.45000000000000284,25.2425,25.44,25.07,0.370000000000001,-0.370000000000001,24.765,24.92,24.62,0.3000000000000007,-0.14999999999999858,24.9775,25.14,24.64,0.5,-0.35999999999999943,364746,402362,314010,88352,-68142
2016-09-11,24.552,24.75,24.42,0.3299999999999983,0.129999999999999,24.782,24.91,24.66,0.25,-0.10999999999999943,24.42,24.57,24.35,0.21999999999999886,0.08999999999999986,24.618,24.84,24.42,0.41999999999999815,-0.14000000000000057,341121,424956,218430,206526,3202
2016-09-18,25.116,25.59,24.84,0.75,0.75,25.36,25.71,25.0,0.7100000000000009,0.7100000000000009,24.983999999999998,25.25,24.7,0.5500000000000007,0.5,25.142,25.54,24.82,0.7199999999999989,0.379999999999999,139166,181884,102508,79376,52498
