Date,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Open_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Open_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Open_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Open_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Open_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_High_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_High_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_High_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_High_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_High_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Low_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Low_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Low_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Low_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Low_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Close_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Close_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Close_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Close_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Close_change
2016-01-03,82.6,82.6,82.6,0.0,0.0,83.3,83.3,83.3,0.0,0.0,81.6,81.6,81.6,0.0,0.0,83.1,83.1,83.1,0.0,0.0
2016-01-10,81.2,81.2,81.2,0.0,0.0,81.2,81.2,81.2,0.0,0.0,79.0,79.0,79.0,0.0,0.0,79.3,79.3,79.3,0.0,0.0
2016-01-17,81.2,81.2,81.2,0.0,0.0,83.0,83.0,83.0,0.0,0.0,80.6,80.6,80.6,0.0,0.0,81.2,81.2,81.2,0.0,0.0
2016-01-24,85.2,85.2,85.2,0.0,0.0,86.1,86.1,86.1,0.0,0.0,84.3,84.3,84.3,0.0,0.0,85.8,85.8,85.8,0.0,0.0
2016-01-31,93.0,93.0,93.0,0.0,0.0,99.4,99.4,99.4,0.0,0.0,92.4,92.4,92.4,0.0,0.0,99.4,99.4,99.4,0.0,0.0
2016-02-07,114.7,114.7,114.7,0.0,0.0,116.5,116.5,116.5,0.0,0.0,113.8,113.8,113.8,0.0,0.0,115.6,115.6,115.6,0.0,0.0
2016-02-14,113.0,113.0,113.0,0.0,0.0,114.1,114.1,114.1,0.0,0.0,111.5,111.5,111.5,0.0,0.0,113.0,113.0,113.0,0.0,0.0
2016-02-21,111.5,111.5,111.5,0.0,0.0,112.9,112.9,112.9,0.0,0.0,107.5,107.5,107.5,0.0,0.0,110.7,110.7,110.7,0.0,0.0
2016-02-28,123.0,123.0,123.0,0.0,0.0,126.6,126.6,126.6,0.0,0.0,120.1,120.1,120.1,0.0,0.0,121.2,121.2,121.2,0.0,0.0
2016-03-06,123.0,123.0,123.0,0.0,0.0,123.8,123.8,123.8,0.0,0.0,117.69,117.69,117.69,0.0,0.0,117.7,117.7,117.7,0.0,0.0
2016-03-13,117.5,117.5,117.5,0.0,0.0,119.7,119.7,119.7,0.0,0.0,117.4,117.4,117.4,0.0,0.0,118.4,118.4,118.4,0.0,0.0
2016-03-20,109.5,109.5,109.5,0.0,0.0,109.9,109.9,109.9,0.0,0.0,108.2,108.2,108.2,0.0,0.0,108.5,108.5,108.5,0.0,0.0
2016-03-27,107.4,107.4,107.4,0.0,0.0,109.8,109.8,109.8,0.0,0.0,105.7,105.7,105.7,0.0,0.0,109.7,109.7,109.7,0.0,0.0
2016-04-03,112.9,112.9,112.9,0.0,0.0,115.0,115.0,115.0,0.0,0.0,112.7,112.7,112.7,0.0,0.0,114.1,114.1,114.1,0.0,0.0
2016-04-10,110.7,110.7,110.7,0.0,0.0,113.0,113.0,113.0,0.0,0.0,110.3,110.3,110.3,0.0,0.0,112.3,112.3,112.3,0.0,0.0
