Date,ProShares UltraShort MSCI JapanEtf_Open_average,ProShares UltraShort MSCI JapanEtf_Open_max,ProShares UltraShort MSCI JapanEtf_Open_min,ProShares UltraShort MSCI JapanEtf_Open_volatility,ProShares UltraShort MSCI JapanEtf_Open_change,ProShares UltraShort MSCI JapanEtf_High_average,ProShares UltraShort MSCI JapanEtf_High_max,ProShares UltraShort MSCI JapanEtf_High_min,ProShares UltraShort MSCI JapanEtf_High_volatility,ProShares UltraShort MSCI JapanEtf_High_change,ProShares UltraShort MSCI JapanEtf_Low_average,ProShares UltraShort MSCI JapanEtf_Low_max,ProShares UltraShort MSCI JapanEtf_Low_min,ProShares UltraShort MSCI JapanEtf_Low_volatility,ProShares UltraShort MSCI JapanEtf_Low_change,ProShares UltraShort MSCI JapanEtf_Close_average,ProShares UltraShort MSCI JapanEtf_Close_max,ProShares UltraShort MSCI JapanEtf_Close_min,ProShares UltraShort MSCI JapanEtf_Close_volatility,ProShares UltraShort MSCI JapanEtf_Close_change
2016-01-03,52.51,52.51,52.51,0.0,0.0,54.64,54.64,54.64,0.0,0.0,52.43,52.43,52.43,0.0,0.0,54.45,54.45,54.45,0.0,0.0
2016-01-10,57.1,57.1,57.1,0.0,0.0,57.51,57.51,57.51,0.0,0.0,56.38,56.38,56.38,0.0,0.0,56.95,56.95,56.95,0.0,0.0
2016-01-17,57.35,57.35,57.35,0.0,0.0,57.58,57.58,57.58,0.0,0.0,55.12,55.12,55.12,0.0,0.0,55.33,55.33,55.33,0.0,0.0
2016-01-24,55.06,55.06,55.06,0.0,0.0,55.06,55.06,55.06,0.0,0.0,53.0,53.0,53.0,0.0,0.0,53.08,53.08,53.08,0.0,0.0
2016-01-31,57.15,57.15,57.15,0.0,0.0,58.8,58.8,58.8,0.0,0.0,57.05,57.05,57.05,0.0,0.0,58.35,58.35,58.35,0.0,0.0
2016-02-07,66.46,66.46,66.46,0.0,0.0,67.11,67.11,67.11,0.0,0.0,64.1,64.1,64.1,0.0,0.0,64.24,64.24,64.24,0.0,0.0
2016-02-14,59.79,59.79,59.79,0.0,0.0,59.82,59.82,59.82,0.0,0.0,59.16,59.16,59.16,0.0,0.0,59.26,59.26,59.26,0.0,0.0
2016-02-21,55.69,55.69,55.69,0.0,0.0,56.86,56.86,56.86,0.0,0.0,55.52,55.52,55.52,0.0,0.0,56.74,56.74,56.74,0.0,0.0
2016-02-28,51.81,51.81,51.81,0.0,0.0,52.3,52.3,52.3,0.0,0.0,51.56,51.56,51.56,0.0,0.0,52.14,52.14,52.14,0.0,0.0
2016-03-06,52.74,52.74,52.74,0.0,0.0,52.74,52.74,52.74,0.0,0.0,51.75,51.75,51.75,0.0,0.0,51.81,51.81,51.81,0.0,0.0
