Date,iShares MSCI PhilippinesEtf_Open_average,iShares MSCI PhilippinesEtf_Open_max,iShares MSCI PhilippinesEtf_Open_min,iShares MSCI PhilippinesEtf_Open_volatility,iShares MSCI PhilippinesEtf_Open_change,iShares MSCI PhilippinesEtf_High_average,iShares MSCI PhilippinesEtf_High_max,iShares MSCI PhilippinesEtf_High_min,iShares MSCI PhilippinesEtf_High_volatility,iShares MSCI PhilippinesEtf_High_change,iShares MSCI PhilippinesEtf_Low_average,iShares MSCI PhilippinesEtf_Low_max,iShares MSCI PhilippinesEtf_Low_min,iShares MSCI PhilippinesEtf_Low_volatility,iShares MSCI PhilippinesEtf_Low_change,iShares MSCI PhilippinesEtf_Close_average,iShares MSCI PhilippinesEtf_Close_max,iShares MSCI PhilippinesEtf_Close_min,iShares MSCI PhilippinesEtf_Close_volatility,iShares MSCI PhilippinesEtf_Close_change
2016-01-03,31.95,31.95,31.95,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2016-01-10,30.33,30.33,30.33,0.0,0.0,30.39,30.39,30.39,0.0,0.0,29.89,29.89,29.89,0.0,0.0,30.1,30.1,30.1,0.0,0.0
2016-01-17,29.84,29.84,29.84,0.0,0.0,30.04,30.04,30.04,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.86,29.86,29.86,0.0,0.0
2016-01-24,31.71,31.71,31.71,0.0,0.0,32.33,32.33,32.33,0.0,0.0,31.71,31.71,31.71,0.0,0.0,32.29,32.29,32.29,0.0,0.0
2016-01-31,32.27,32.27,32.27,0.0,0.0,32.45,32.45,32.45,0.0,0.0,31.94,31.94,31.94,0.0,0.0,32.17,32.17,32.17,0.0,0.0
2016-02-07,32.24,32.24,32.24,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.08,32.08,32.08,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2016-02-14,32.73,32.73,32.73,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2016-02-21,32.94,32.94,32.94,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2016-02-28,34.02,34.02,34.02,0.0,0.0,34.62,34.62,34.62,0.0,0.0,33.99,33.99,33.99,0.0,0.0,34.32,34.32,34.32,0.0,0.0
2016-03-06,35.3,35.3,35.3,0.0,0.0,35.57,35.57,35.57,0.0,0.0,35.27,35.27,35.27,0.0,0.0,35.51,35.51,35.51,0.0,0.0
2016-03-13,36.45,36.45,36.45,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.56,36.56,36.56,0.0,0.0
2016-03-20,35.97,35.97,35.97,0.0,0.0,36.06,36.06,36.06,0.0,0.0,35.75,35.75,35.75,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2016-03-27,36.12,36.12,36.12,0.0,0.0,36.62,36.62,36.62,0.0,0.0,35.9,35.9,35.9,0.0,0.0,36.6,36.6,36.6,0.0,0.0
2016-04-03,36.3,36.3,36.3,0.0,0.0,36.44,36.44,36.44,0.0,0.0,35.97,35.97,35.97,0.0,0.0,36.02,36.02,36.02,0.0,0.0
2016-04-10,36.8,36.8,36.8,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.44,36.44,36.44,0.0,0.0
2016-04-17,35.9,35.9,35.9,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.62,35.62,35.62,0.0,0.0
2016-04-24,35.16,35.16,35.16,0.0,0.0,35.24,35.24,35.24,0.0,0.0,34.76,34.76,34.76,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2016-05-01,34.38,34.38,34.38,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.17,34.17,34.17,0.0,0.0,34.41,34.41,34.41,0.0,0.0
2016-05-08,37.27,37.27,37.27,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2016-05-15,36.58,36.58,36.58,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.5,36.5,36.5,0.0,0.0
