Date,Credit Suisse X Links Silver Shares Covered CallEtf_Open_average,Credit Suisse X Links Silver Shares Covered CallEtf_Open_max,Credit Suisse X Links Silver Shares Covered CallEtf_Open_min,Credit Suisse X Links Silver Shares Covered CallEtf_Open_volatility,Credit Suisse X Links Silver Shares Covered CallEtf_Open_change,Credit Suisse X Links Silver Shares Covered CallEtf_High_average,Credit Suisse X Links Silver Shares Covered CallEtf_High_max,Credit Suisse X Links Silver Shares Covered CallEtf_High_min,Credit Suisse X Links Silver Shares Covered CallEtf_High_volatility,Credit Suisse X Links Silver Shares Covered CallEtf_High_change,Credit Suisse X Links Silver Shares Covered CallEtf_Low_average,Credit Suisse X Links Silver Shares Covered CallEtf_Low_max,Credit Suisse X Links Silver Shares Covered CallEtf_Low_min,Credit Suisse X Links Silver Shares Covered CallEtf_Low_volatility,Credit Suisse X Links Silver Shares Covered CallEtf_Low_change,Credit Suisse X Links Silver Shares Covered CallEtf_Close_average,Credit Suisse X Links Silver Shares Covered CallEtf_Close_max,Credit Suisse X Links Silver Shares Covered CallEtf_Close_min,Credit Suisse X Links Silver Shares Covered CallEtf_Close_volatility,Credit Suisse X Links Silver Shares Covered CallEtf_Close_change
2016-01-03,9.41,9.41,9.41,0.0,0.0,9.41,9.41,9.41,0.0,0.0,9.25,9.25,9.25,0.0,0.0,9.3,9.3,9.3,0.0,0.0
2016-01-10,9.3,9.3,9.3,0.0,0.0,9.3,9.3,9.3,0.0,0.0,9.2,9.2,9.2,0.0,0.0,9.23,9.23,9.23,0.0,0.0
2016-01-17,9.35,9.35,9.35,0.0,0.0,9.44,9.44,9.44,0.0,0.0,9.32,9.32,9.32,0.0,0.0,9.32,9.32,9.32,0.0,0.0
2016-01-24,9.47,9.47,9.47,0.0,0.0,9.48,9.48,9.48,0.0,0.0,9.42,9.42,9.42,0.0,0.0,9.43,9.43,9.43,0.0,0.0
2016-01-31,9.58,9.58,9.58,0.0,0.0,9.69,9.69,9.69,0.0,0.0,9.58,9.58,9.58,0.0,0.0,9.69,9.69,9.69,0.0,0.0
2016-02-07,9.78,9.78,9.78,0.0,0.0,9.93,9.93,9.93,0.0,0.0,9.78,9.78,9.78,0.0,0.0,9.87,9.87,9.87,0.0,0.0
2016-02-14,9.65,9.65,9.65,0.0,0.0,9.71,9.71,9.71,0.0,0.0,9.55,9.55,9.55,0.0,0.0,9.61,9.61,9.61,0.0,0.0
2016-02-21,9.59,9.59,9.59,0.0,0.0,9.59,9.59,9.59,0.0,0.0,9.33,9.33,9.33,0.0,0.0,9.36,9.36,9.36,0.0,0.0
2016-02-28,9.68,9.68,9.68,0.0,0.0,9.9,9.9,9.9,0.0,0.0,9.68,9.68,9.68,0.0,0.0,9.78,9.78,9.78,0.0,0.0
2016-03-06,9.85,9.85,9.85,0.0,0.0,9.88,9.88,9.88,0.0,0.0,9.78,9.78,9.78,0.0,0.0,9.8,9.8,9.8,0.0,0.0
2016-03-13,9.88,9.88,9.88,0.0,0.0,9.88,9.88,9.88,0.0,0.0,9.77,9.77,9.77,0.0,0.0,9.8,9.8,9.8,0.0,0.0
2016-03-20,9.6,9.6,9.6,0.0,0.0,9.6,9.6,9.6,0.0,0.0,9.52,9.52,9.52,0.0,0.0,9.53,9.53,9.53,0.0,0.0
2016-03-27,9.46,9.46,9.46,0.0,0.0,9.49,9.49,9.49,0.0,0.0,9.32,9.32,9.32,0.0,0.0,9.47,9.47,9.47,0.0,0.0
2016-04-03,9.6,9.6,9.6,0.0,0.0,9.65,9.65,9.65,0.0,0.0,9.54,9.54,9.54,0.0,0.0,9.65,9.65,9.65,0.0,0.0
