Date,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Open_average,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Open_max,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Open_min,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Open_volatility,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Open_change,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_High_average,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_High_max,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_High_min,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_High_volatility,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_High_change,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Low_average,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Low_max,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Low_min,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Low_volatility,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Low_change,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Close_average,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Close_max,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Close_min,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Close_volatility,VelocityShares 3x Inverse Silver linked to S&P GSCEtf_Close_change
2016-01-03,67.21,67.21,67.21,0.0,0.0,69.5,69.5,69.5,0.0,0.0,67.21,67.21,67.21,0.0,0.0,69.05,69.05,69.05,0.0,0.0
2016-01-10,65.97,65.97,65.97,0.0,0.0,69.14,69.14,69.14,0.0,0.0,65.85,65.85,65.85,0.0,0.0,68.85,68.85,68.85,0.0,0.0
2016-01-17,64.59,64.59,64.59,0.0,0.0,66.7,66.7,66.7,0.0,0.0,62.4,62.4,62.4,0.0,0.0,66.7,66.7,66.7,0.0,0.0
2016-01-24,63.81,63.81,63.81,0.0,0.0,64.3,64.3,64.3,0.0,0.0,62.76,62.76,62.76,0.0,0.0,63.16,63.16,63.16,0.0,0.0
2016-01-31,57.21,57.21,57.21,0.0,0.0,57.31,57.31,57.31,0.0,0.0,53.19,53.19,53.19,0.0,0.0,53.3,53.3,53.3,0.0,0.0
2016-02-07,46.19,46.19,46.19,0.0,0.0,46.21,46.21,46.21,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.73,45.73,45.73,0.0,0.0
2016-02-14,48.69,48.69,48.69,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.07,48.07,48.07,0.0,0.0,48.62,48.62,48.62,0.0,0.0
2016-02-21,51.94,51.94,51.94,0.0,0.0,55.75,55.75,55.75,0.0,0.0,51.94,51.94,51.94,0.0,0.0,55.24,55.24,55.24,0.0,0.0
2016-02-28,47.81,47.81,47.81,0.0,0.0,47.86,47.86,47.86,0.0,0.0,43.89,43.89,43.89,0.0,0.0,46.57,46.57,46.57,0.0,0.0
2016-03-06,45.52,45.52,45.52,0.0,0.0,46.95,46.95,46.95,0.0,0.0,45.39,45.39,45.39,0.0,0.0,46.88,46.88,46.88,0.0,0.0
