Date,CNBKAStock_Open_average,CNBKAStock_Open_max,CNBKAStock_Open_min,CNBKAStock_Open_volatility,CNBKAStock_Open_change,CNBKAStock_High_average,CNBKAStock_High_max,CNBKAStock_High_min,CNBKAStock_High_volatility,CNBKAStock_High_change,CNBKAStock_Low_average,CNBKAStock_Low_max,CNBKAStock_Low_min,CNBKAStock_Low_volatility,CNBKAStock_Low_change,CNBKAStock_Close_average,CNBKAStock_Close_max,CNBKAStock_Close_min,CNBKAStock_Close_volatility,CNBKAStock_Close_change,CNBKAStock_Volume_average,CNBKAStock_Volume_max,CNBKAStock_Volume_min,CNBKAStock_Volume_volatility,CNBKAStock_Volume_change
2016-01-03,43.22,43.96,42.9,1.0600000000000023,0.240000000000002,43.528,44.0,43.14,0.8599999999999994,-0.10999999999999943,43.172,43.96,42.9,1.0600000000000023,0.0,43.266,43.96,42.9,1.0600000000000023,-0.10000000000000142,5109,8983,447,8536,-3445
2016-01-10,42.06,43.2,40.75,2.450000000000003,-2.25,42.136,43.3,40.75,2.549999999999997,-2.25,41.344,42.71,40.01,2.700000000000003,-2.700000000000003,41.4,42.71,40.01,2.700000000000003,-2.700000000000003,7801,14040,4956,9084,-5208
2016-01-17,39.64,40.57,39.05,1.5200000000000031,-0.6799999999999997,40.405,41.1,39.75,1.3500000000000014,0.5300000000000011,39.205,39.76,38.76,1.0,-0.509999999999998,39.9475,40.19,39.75,0.4399999999999977,-0.21999999999999886,6744,8489,5574,2915,1475
2016-01-24,40.026,40.58,39.49,1.0899999999999963,0.46999999999999886,40.448,41.5,39.74,1.759999999999998,0.759999999999998,39.646,40.25,39.05,1.2000000000000028,0.9500000000000028,39.85,40.5,39.35,1.1499999999999986,1.1499999999999986,4705,7307,1966,5341,-828
2016-01-31,40.06,40.99,39.4,1.5900000000000034,-1.5900000000000034,40.288,40.99,39.87,1.1200000000000045,-1.1000000000000014,39.647999999999996,40.25,39.3,0.9500000000000028,-0.9500000000000028,39.854,40.26,39.3,0.9600000000000009,-0.9600000000000009,3655,5643,1842,3801,242
2016-02-07,39.38,39.89,38.91,0.980000000000004,-0.8700000000000045,39.584,39.95,38.99,0.9600000000000009,0.01999999999999602,38.984,39.41,38.26,1.1499999999999986,-0.5599999999999952,39.232,39.6,38.75,0.8500000000000014,0.19000000000000483,2476,3797,995,2802,844
2016-02-14,39.9775,40.1,39.82,0.28000000000000114,-0.1700000000000017,39.9975,40.1,39.82,0.28000000000000114,-0.17999999999999972,39.07,39.54,38.48,1.0600000000000023,-0.35999999999999943,39.795,40.07,39.54,0.5300000000000011,-0.36999999999999744,3423,4198,1983,2215,-293
2016-02-21,39.454,39.8,39.16,0.6400000000000006,0.36999999999999744,39.796,40.19,39.55,0.6400000000000006,0.1599999999999966,39.32,39.55,39.15,0.3999999999999986,0.05000000000000426,39.568,40.19,39.15,1.0399999999999991,-0.3299999999999983,2028,4907,1027,3880,-3844
2016-02-28,39.22,39.5,39.0,0.5,-0.45000000000000284,39.49,39.96,39.04,0.9200000000000017,-0.4100000000000037,39.1,39.5,38.6,0.8999999999999986,-0.6500000000000057,39.31,39.71,38.9,0.8100000000000023,-0.4100000000000037,3403,6649,1629,5020,3603
2016-03-06,39.298,39.87,38.82,1.0499999999999972,-0.17999999999999972,39.686,40.0,39.24,0.759999999999998,0.759999999999998,39.156,39.53,38.82,0.7100000000000009,-0.1700000000000017,39.458,40.0,39.06,0.9399999999999977,0.8699999999999974,3237,6084,1534,4550,3146
