Date,ProShares UltraShort Consumer ServicesEtf_Open_average,ProShares UltraShort Consumer ServicesEtf_Open_max,ProShares UltraShort Consumer ServicesEtf_Open_min,ProShares UltraShort Consumer ServicesEtf_Open_volatility,ProShares UltraShort Consumer ServicesEtf_Open_change,ProShares UltraShort Consumer ServicesEtf_High_average,ProShares UltraShort Consumer ServicesEtf_High_max,ProShares UltraShort Consumer ServicesEtf_High_min,ProShares UltraShort Consumer ServicesEtf_High_volatility,ProShares UltraShort Consumer ServicesEtf_High_change,ProShares UltraShort Consumer ServicesEtf_Low_average,ProShares UltraShort Consumer ServicesEtf_Low_max,ProShares UltraShort Consumer ServicesEtf_Low_min,ProShares UltraShort Consumer ServicesEtf_Low_volatility,ProShares UltraShort Consumer ServicesEtf_Low_change,ProShares UltraShort Consumer ServicesEtf_Close_average,ProShares UltraShort Consumer ServicesEtf_Close_max,ProShares UltraShort Consumer ServicesEtf_Close_min,ProShares UltraShort Consumer ServicesEtf_Close_volatility,ProShares UltraShort Consumer ServicesEtf_Close_change
2016-01-03,45.68,45.68,45.68,0.0,0.0,46.55,46.55,46.55,0.0,0.0,45.68,45.68,45.68,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2016-01-10,49.94,49.94,49.94,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2016-01-17,48.08,48.08,48.08,0.0,0.0,48.08,48.08,48.08,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.4,47.4,47.4,0.0,0.0
2016-01-24,48.5,48.5,48.5,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.5,48.5,48.5,0.0,0.0
2016-01-31,50.71,50.71,50.71,0.0,0.0,52.08,52.08,52.08,0.0,0.0,50.71,50.71,50.71,0.0,0.0,52.08,52.08,52.08,0.0,0.0
2016-02-07,52.83,52.83,52.83,0.0,0.0,52.83,52.83,52.83,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2016-02-14,48.2,48.2,48.2,0.0,0.0,48.51,48.51,48.51,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.06,48.06,48.06,0.0,0.0
2016-02-21,44.55,44.55,44.55,0.0,0.0,44.67,44.67,44.67,0.0,0.0,44.55,44.55,44.55,0.0,0.0,44.66,44.66,44.66,0.0,0.0
2016-02-28,42.81,42.81,42.81,0.0,0.0,43.05,43.05,43.05,0.0,0.0,42.81,42.81,42.81,0.0,0.0,43.05,43.05,43.05,0.0,0.0
2016-03-06,42.25,42.25,42.25,0.0,0.0,42.25,42.25,42.25,0.0,0.0,41.95,41.95,41.95,0.0,0.0,41.95,41.95,41.95,0.0,0.0
2016-03-13,41.17,41.17,41.17,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.17,41.17,41.17,0.0,0.0,41.51,41.51,41.51,0.0,0.0
2016-03-20,41.47,41.47,41.47,0.0,0.0,42.0,42.0,42.0,0.0,0.0,41.47,41.47,41.47,0.0,0.0,42.0,42.0,42.0,0.0,0.0
