Date,Direxion Daily Emerging Markets Bear 3X SharesEtf_Open_average,Direxion Daily Emerging Markets Bear 3X SharesEtf_Open_max,Direxion Daily Emerging Markets Bear 3X SharesEtf_Open_min,Direxion Daily Emerging Markets Bear 3X SharesEtf_Open_volatility,Direxion Daily Emerging Markets Bear 3X SharesEtf_Open_change,Direxion Daily Emerging Markets Bear 3X SharesEtf_High_average,Direxion Daily Emerging Markets Bear 3X SharesEtf_High_max,Direxion Daily Emerging Markets Bear 3X SharesEtf_High_min,Direxion Daily Emerging Markets Bear 3X SharesEtf_High_volatility,Direxion Daily Emerging Markets Bear 3X SharesEtf_High_change,Direxion Daily Emerging Markets Bear 3X SharesEtf_Low_average,Direxion Daily Emerging Markets Bear 3X SharesEtf_Low_max,Direxion Daily Emerging Markets Bear 3X SharesEtf_Low_min,Direxion Daily Emerging Markets Bear 3X SharesEtf_Low_volatility,Direxion Daily Emerging Markets Bear 3X SharesEtf_Low_change,Direxion Daily Emerging Markets Bear 3X SharesEtf_Close_average,Direxion Daily Emerging Markets Bear 3X SharesEtf_Close_max,Direxion Daily Emerging Markets Bear 3X SharesEtf_Close_min,Direxion Daily Emerging Markets Bear 3X SharesEtf_Close_volatility,Direxion Daily Emerging Markets Bear 3X SharesEtf_Close_change
2016-01-03,285.2,285.2,285.2,0.0,0.0,300.7,300.7,300.7,0.0,0.0,282.25,282.25,282.25,0.0,0.0,300.1,300.1,300.1,0.0,0.0
2016-01-10,331.35,331.35,331.35,0.0,0.0,342.35,342.35,342.35,0.0,0.0,325.45,325.45,325.45,0.0,0.0,331.45,331.45,331.45,0.0,0.0
2016-01-17,301.0,301.0,301.0,0.0,0.0,308.6,308.6,308.6,0.0,0.0,298.66,298.66,298.66,0.0,0.0,298.95,298.95,298.95,0.0,0.0
2016-01-24,275.1,275.1,275.1,0.0,0.0,276.25,276.25,276.25,0.0,0.0,260.35,260.35,260.35,0.0,0.0,261.6,261.6,261.6,0.0,0.0
2016-01-31,266.25,266.25,266.25,0.0,0.0,275.25,275.25,275.25,0.0,0.0,263.75,263.75,263.75,0.0,0.0,271.85,271.85,271.85,0.0,0.0
2016-02-07,298.2,298.2,298.2,0.0,0.0,301.55,301.55,301.55,0.0,0.0,289.6,289.6,289.6,0.0,0.0,290.0,290.0,290.0,0.0,0.0
2016-02-14,263.5,263.5,263.5,0.0,0.0,266.7,266.7,266.7,0.0,0.0,258.75,258.75,258.75,0.0,0.0,262.65,262.65,262.65,0.0,0.0
2016-02-21,252.05,252.05,252.05,0.0,0.0,265.57,265.57,265.57,0.0,0.0,251.85,251.85,251.85,0.0,0.0,264.9,264.9,264.9,0.0,0.0
2016-02-28,207.35,207.35,207.35,0.0,0.0,209.15,209.15,209.15,0.0,0.0,198.05,198.05,198.05,0.0,0.0,201.25,201.25,201.25,0.0,0.0
2016-03-06,197.75,197.75,197.75,0.0,0.0,198.45,198.45,198.45,0.0,0.0,192.75,192.75,192.75,0.0,0.0,193.9,193.9,193.9,0.0,0.0
2016-03-13,178.25,178.25,178.25,0.0,0.0,178.55,178.55,178.55,0.0,0.0,175.6,175.6,175.6,0.0,0.0,177.9,177.9,177.9,0.0,0.0
2016-03-20,193.35,193.35,193.35,0.0,0.0,194.5,194.5,194.5,0.0,0.0,188.15,188.15,188.15,0.0,0.0,188.15,188.15,188.15,0.0,0.0
2016-03-27,184.85,184.85,184.85,0.0,0.0,186.4,186.4,186.4,0.0,0.0,174.5,174.5,174.5,0.0,0.0,175.3,175.3,175.3,0.0,0.0
2016-04-03,183.4,183.4,183.4,0.0,0.0,188.05,188.05,188.05,0.0,0.0,182.55,182.55,182.55,0.0,0.0,186.15,186.15,186.15,0.0,0.0
2016-04-10,165.2,165.2,165.2,0.0,0.0,166.55,166.55,166.55,0.0,0.0,163.8,163.8,163.8,0.0,0.0,166.45,166.45,166.45,0.0,0.0
2016-04-17,165.7,165.7,165.7,0.0,0.0,166.95,166.95,166.95,0.0,0.0,162.2,162.2,162.2,0.0,0.0,166.15,166.15,166.15,0.0,0.0
2016-04-24,167.85,167.85,167.85,0.0,0.0,172.35,172.35,172.35,0.0,0.0,165.75,165.75,165.75,0.0,0.0,168.2,168.2,168.2,0.0,0.0
2016-05-01,194.85,194.85,194.85,0.0,0.0,195.55,195.55,195.55,0.0,0.0,189.8,189.8,189.8,0.0,0.0,192.2,192.2,192.2,0.0,0.0
2016-05-08,195.7,195.7,195.7,0.0,0.0,202.35,202.35,202.35,0.0,0.0,193.4,193.4,193.4,0.0,0.0,201.25,201.25,201.25,0.0,0.0
2016-05-15,202.4,202.4,202.4,0.0,0.0,202.8,202.8,202.8,0.0,0.0,199.95,199.95,199.95,0.0,0.0,201.6,201.6,201.6,0.0,0.0
