Date,MHKStock_Open_average,MHKStock_Open_max,MHKStock_Open_min,MHKStock_Open_volatility,MHKStock_Open_change,MHKStock_High_average,MHKStock_High_max,MHKStock_High_min,MHKStock_High_volatility,MHKStock_High_change,MHKStock_Low_average,MHKStock_Low_max,MHKStock_Low_min,MHKStock_Low_volatility,MHKStock_Low_change,MHKStock_Close_average,MHKStock_Close_max,MHKStock_Close_min,MHKStock_Close_volatility,MHKStock_Close_change,MHKStock_Volume_average,MHKStock_Volume_max,MHKStock_Volume_min,MHKStock_Volume_volatility,MHKStock_Volume_change
2016-01-03,183.13400000000001,189.0,177.78,11.219999999999999,-11.219999999999999,184.566,189.0,179.09,9.909999999999997,-9.909999999999997,180.298,185.4,175.82,9.580000000000013,-7.02000000000001,181.638,186.45,176.75,9.699999999999989,-9.629999999999995,729405,954404,580367,374037,154703
2016-01-10,174.142,179.42,166.5,12.919999999999987,-11.090000000000003,176.42,182.0,168.17,13.830000000000013,-11.060000000000002,169.492,174.76,163.16,11.599999999999994,-10.27000000000001,172.032,178.97,165.44,13.530000000000001,-10.240000000000009,732494,861148,585266,275882,-96802
2016-01-17,164.51749999999998,168.0,160.25,7.75,1.2700000000000102,167.5975,170.33,164.78,5.550000000000011,1.9800000000000182,160.51,165.29,153.15,12.139999999999986,3.8899999999999864,164.535,166.99,162.56,4.430000000000007,3.6500000000000057,967271,1406487,642320,764167,-200525
2016-01-24,165.542,166.12,164.26,1.8600000000000136,-1.8000000000000114,167.35399999999998,167.79,166.53,1.259999999999991,-0.539999999999992,163.662,164.2,162.7,1.5,-0.549999999999983,165.056,166.41,163.38,3.030000000000001,1.9799999999999898,608840,926524,492314,434210,387530
2016-01-31,164.782,166.69,161.27,5.4199999999999875,-1.0699999999999932,166.284,168.4,164.96,3.4399999999999977,-3.4399999999999977,160.816,163.73,157.66,6.069999999999993,-4.289999999999992,163.444,167.62,159.92,7.700000000000017,-7.700000000000017,697894,905915,594549,311366,-18939
2016-02-07,154.768,157.73,149.72,8.009999999999991,-2.329999999999984,157.152,159.48,155.63,3.8499999999999943,-2.569999999999993,151.298,154.35,148.56,5.789999999999992,3.4199999999999875,154.274,157.86,151.78,6.0800000000000125,3.430000000000007,884775,1140840,689369,451471,-358459
2016-02-14,160.9075,163.08,157.55,5.530000000000001,5.039999999999992,163.73499999999999,166.56,159.89,6.670000000000016,6.670000000000016,159.285,161.31,154.89,6.420000000000016,6.420000000000016,162.835,165.68,159.52,6.159999999999997,6.159999999999997,760727,964722,614799,349923,-265960
2016-02-21,168.362,175.04,164.3,10.73999999999998,8.789999999999992,171.894,179.6,167.42,12.180000000000007,11.759999999999991,167.064,175.04,163.26,11.780000000000001,10.120000000000005,170.65,178.49,166.47,12.02000000000001,12.02000000000001,1033814,1666846,638472,1028374,970943
2016-02-28,183.404,186.5,178.74,7.759999999999991,7.759999999999991,186.38400000000001,189.75,182.96,6.789999999999992,6.789999999999992,182.548,185.42,178.5,6.9199999999999875,6.9199999999999875,184.87,186.89,179.73,7.159999999999997,7.090000000000003,842238,1204568,677930,526638,-526638
2016-03-06,181.814,185.46,180.31,5.150000000000006,-3.780000000000001,183.372,186.53,180.66,5.8700000000000045,-0.8199999999999932,178.75,180.71,176.59,4.1200000000000045,0.11000000000001364,181.174,185.24,179.39,5.850000000000023,4.2900000000000205,693494,980035,519283,460752,-312274
