Date,First Trust Multi-Asset Diversified Income_etf_Open_average,First Trust Multi-Asset Diversified Income_etf_Open_max,First Trust Multi-Asset Diversified Income_etf_Open_min,First Trust Multi-Asset Diversified Income_etf_Open_volatility,First Trust Multi-Asset Diversified Income_etf_Open_change,First Trust Multi-Asset Diversified Income_etf_High_average,First Trust Multi-Asset Diversified Income_etf_High_max,First Trust Multi-Asset Diversified Income_etf_High_min,First Trust Multi-Asset Diversified Income_etf_High_volatility,First Trust Multi-Asset Diversified Income_etf_High_change,First Trust Multi-Asset Diversified Income_etf_Low_average,First Trust Multi-Asset Diversified Income_etf_Low_max,First Trust Multi-Asset Diversified Income_etf_Low_min,First Trust Multi-Asset Diversified Income_etf_Low_volatility,First Trust Multi-Asset Diversified Income_etf_Low_change,First Trust Multi-Asset Diversified Income_etf_Close_average,First Trust Multi-Asset Diversified Income_etf_Close_max,First Trust Multi-Asset Diversified Income_etf_Close_min,First Trust Multi-Asset Diversified Income_etf_Close_volatility,First Trust Multi-Asset Diversified Income_etf_Close_change
2016-01-03,17.88,17.88,17.88,0.0,0.0,17.9,17.9,17.9,0.0,0.0,17.71,17.71,17.71,0.0,0.0,17.71,17.71,17.71,0.0,0.0
2016-01-10,17.07,17.07,17.07,0.0,0.0,17.16,17.16,17.16,0.0,0.0,16.9,16.9,16.9,0.0,0.0,17.04,17.04,17.04,0.0,0.0
2016-01-17,16.78,16.78,16.78,0.0,0.0,17.15,17.15,17.15,0.0,0.0,16.78,16.78,16.78,0.0,0.0,17.08,17.08,17.08,0.0,0.0
2016-01-24,17.42,17.42,17.42,0.0,0.0,17.57,17.57,17.57,0.0,0.0,17.37,17.37,17.37,0.0,0.0,17.53,17.53,17.53,0.0,0.0
2016-01-31,17.45,17.45,17.45,0.0,0.0,17.54,17.54,17.54,0.0,0.0,17.35,17.35,17.35,0.0,0.0,17.37,17.37,17.37,0.0,0.0
2016-02-07,16.47,16.47,16.47,0.0,0.0,16.72,16.72,16.72,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.72,16.72,16.72,0.0,0.0
2016-02-14,17.25,17.25,17.25,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.21,17.21,17.21,0.0,0.0
2016-02-21,17.53,17.53,17.53,0.0,0.0,17.63,17.63,17.63,0.0,0.0,17.41,17.41,17.41,0.0,0.0,17.47,17.47,17.47,0.0,0.0
2016-02-28,18.14,18.14,18.14,0.0,0.0,18.24,18.24,18.24,0.0,0.0,18.07,18.07,18.07,0.0,0.0,18.18,18.18,18.18,0.0,0.0
2016-03-06,18.18,18.18,18.18,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.18,18.18,18.18,0.0,0.0,18.28,18.28,18.28,0.0,0.0
