Date,VanEck Vectors ChinaAMC A-ShareEtf_Open_average,VanEck Vectors ChinaAMC A-ShareEtf_Open_max,VanEck Vectors ChinaAMC A-ShareEtf_Open_min,VanEck Vectors ChinaAMC A-ShareEtf_Open_volatility,VanEck Vectors ChinaAMC A-ShareEtf_Open_change,VanEck Vectors ChinaAMC A-ShareEtf_High_average,VanEck Vectors ChinaAMC A-ShareEtf_High_max,VanEck Vectors ChinaAMC A-ShareEtf_High_min,VanEck Vectors ChinaAMC A-ShareEtf_High_volatility,VanEck Vectors ChinaAMC A-ShareEtf_High_change,VanEck Vectors ChinaAMC A-ShareEtf_Low_average,VanEck Vectors ChinaAMC A-ShareEtf_Low_max,VanEck Vectors ChinaAMC A-ShareEtf_Low_min,VanEck Vectors ChinaAMC A-ShareEtf_Low_volatility,VanEck Vectors ChinaAMC A-ShareEtf_Low_change,VanEck Vectors ChinaAMC A-ShareEtf_Close_average,VanEck Vectors ChinaAMC A-ShareEtf_Close_max,VanEck Vectors ChinaAMC A-ShareEtf_Close_min,VanEck Vectors ChinaAMC A-ShareEtf_Close_volatility,VanEck Vectors ChinaAMC A-ShareEtf_Close_change
2016-01-03,39.27,39.27,39.27,0.0,0.0,39.27,39.27,39.27,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2016-01-10,36.44,36.44,36.44,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.28,36.28,36.28,0.0,0.0
2016-01-17,36.99,36.99,36.99,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.83,36.83,36.83,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2016-01-24,34.48,34.48,34.48,0.0,0.0,34.96,34.96,34.96,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2016-01-31,34.77,34.77,34.77,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2016-02-07,33.29,33.29,33.29,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.68,33.68,33.68,0.0,0.0
2016-02-14,36.11,36.11,36.11,0.0,0.0,36.13,36.13,36.13,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.12,36.12,36.12,0.0,0.0
2016-02-21,35.03,35.03,35.03,0.0,0.0,35.03,35.03,35.03,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.75,34.75,34.75,0.0,0.0
2016-02-28,36.78,36.78,36.78,0.0,0.0,37.31,37.31,37.31,0.0,0.0,36.78,36.78,36.78,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2016-03-06,35.92,35.92,35.92,0.0,0.0,36.32,36.32,36.32,0.0,0.0,35.91,35.91,35.91,0.0,0.0,36.32,36.32,36.32,0.0,0.0
2016-03-13,38.22,38.22,38.22,0.0,0.0,38.63,38.63,38.63,0.0,0.0,38.22,38.22,38.22,0.0,0.0,38.59,38.59,38.59,0.0,0.0
2016-03-20,37.65,37.65,37.65,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.51,37.51,37.51,0.0,0.0
2016-03-27,38.24,38.24,38.24,0.0,0.0,38.72,38.72,38.72,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.62,38.62,38.62,0.0,0.0
2016-04-03,38.6,38.6,38.6,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.29,38.29,38.29,0.0,0.0
2016-04-10,39.48,39.48,39.48,0.0,0.0,39.48,39.48,39.48,0.0,0.0,39.14,39.14,39.14,0.0,0.0,39.18,39.18,39.18,0.0,0.0
2016-04-17,38.14,38.14,38.14,0.0,0.0,38.16,38.16,38.16,0.0,0.0,37.95,37.95,37.95,0.0,0.0,38.01,38.01,38.01,0.0,0.0
2016-04-24,38.01,38.01,38.01,0.0,0.0,38.05,38.05,38.05,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.93,37.93,37.93,0.0,0.0
