Date,CMP_stock_Open_average,CMP_stock_Open_max,CMP_stock_Open_min,CMP_stock_Open_volatility,CMP_stock_Open_change,CMP_stock_High_average,CMP_stock_High_max,CMP_stock_High_min,CMP_stock_High_volatility,CMP_stock_High_change,CMP_stock_Low_average,CMP_stock_Low_max,CMP_stock_Low_min,CMP_stock_Low_volatility,CMP_stock_Low_change,CMP_stock_Close_average,CMP_stock_Close_max,CMP_stock_Close_min,CMP_stock_Close_volatility,CMP_stock_Close_change,CMP_stock_Volume_average,CMP_stock_Volume_max,CMP_stock_Volume_min,CMP_stock_Volume_volatility,CMP_stock_Volume_change
2016-01-03,74.128,76.0,71.86,4.140000000000001,-3.4099999999999966,74.658,76.82,72.0,4.819999999999993,-4.819999999999993,73.16,74.75,70.07,4.680000000000007,-4.680000000000007,73.682,76.07,70.5,5.569999999999993,-5.569999999999993,503871,1055422,327370,728052,663854
2016-01-10,70.91799999999999,71.85,70.28,1.5699999999999932,1.0999999999999943,72.078,72.89,71.36,1.5300000000000011,1.519999999999996,70.206,71.13,69.64,1.4899999999999949,1.4899999999999949,71.136,72.6,70.11,2.489999999999995,1.5700000000000074,489858,628672,368722,259950,74127
2016-01-17,71.73,72.72,70.93,1.789999999999992,-0.4899999999999949,72.3575,73.45,71.57,1.8800000000000097,0.6300000000000097,70.4475,71.41,69.43,1.9799999999999898,0.5,71.5875,72.65,71.0,1.6500000000000057,1.0500000000000114,381697,438083,293254,144829,-144829
2016-01-24,72.688,73.71,71.94,1.769999999999996,1.769999999999996,73.484,74.88,72.46,2.4200000000000017,2.4200000000000017,72.05799999999999,73.23,71.13,2.1000000000000085,2.1000000000000085,73.064,74.85,71.7,3.1499999999999915,3.1499999999999915,339093,424002,207077,216925,38628
2016-01-31,73.754,74.66,72.26,2.3999999999999915,0.22999999999998977,74.712,75.62,73.98,1.6400000000000006,0.37000000000000455,72.548,73.7,71.42,2.280000000000001,-0.5,73.458,75.35,71.52,3.8299999999999983,-1.0700000000000074,405101,486338,342895,143443,-7716
2016-02-07,70.288,72.84,67.14,5.700000000000003,-5.700000000000003,71.432,73.0,69.69,3.3100000000000023,-3.2900000000000063,68.69,71.33,66.53,4.799999999999997,-4.799999999999997,69.908,72.09,66.8,5.290000000000006,-2.3999999999999915,525027,893221,371542,521679,-79533
2016-02-14,68.7525,69.25,67.3,1.9500000000000028,0.0,69.89750000000001,70.44,69.4,1.039999999999992,-0.5900000000000034,67.5875,68.67,66.3,2.3700000000000045,1.7999999999999972,68.62,69.58,66.62,2.9599999999999937,2.4299999999999926,491370,710412,319250,391162,-391162
2016-02-21,68.766,70.1,67.7,2.3999999999999915,-1.519999999999996,69.492,70.86,68.26,2.5999999999999943,-1.9500000000000028,67.928,69.21,67.0,2.2099999999999937,-1.509999999999991,68.634,70.22,67.75,2.469999999999999,-2.1700000000000017,317248,366613,257948,108665,19096
2016-02-28,68.89200000000001,70.12,68.15,1.9699999999999989,1.9699999999999989,69.782,70.97,68.92,2.049999999999997,1.8799999999999955,68.006,68.75,67.27,1.480000000000004,0.4200000000000017,68.87,69.92,67.84,2.0799999999999983,0.8799999999999955,469267,690007,235138,454869,322979
2016-03-06,70.62400000000001,71.92,69.28,2.6400000000000006,2.0900000000000034,71.852,73.4,70.57,2.8300000000000125,-1.4200000000000017,69.724,70.96,68.8,2.1599999999999966,1.6899999999999977,71.174,72.72,70.06,2.6599999999999966,-0.769999999999996,348898,558736,207401,351335,-351335
