Date,First Trust United Kingdom AlphaDEX_etf_Open_average,First Trust United Kingdom AlphaDEX_etf_Open_max,First Trust United Kingdom AlphaDEX_etf_Open_min,First Trust United Kingdom AlphaDEX_etf_Open_volatility,First Trust United Kingdom AlphaDEX_etf_Open_change,First Trust United Kingdom AlphaDEX_etf_High_average,First Trust United Kingdom AlphaDEX_etf_High_max,First Trust United Kingdom AlphaDEX_etf_High_min,First Trust United Kingdom AlphaDEX_etf_High_volatility,First Trust United Kingdom AlphaDEX_etf_High_change,First Trust United Kingdom AlphaDEX_etf_Low_average,First Trust United Kingdom AlphaDEX_etf_Low_max,First Trust United Kingdom AlphaDEX_etf_Low_min,First Trust United Kingdom AlphaDEX_etf_Low_volatility,First Trust United Kingdom AlphaDEX_etf_Low_change,First Trust United Kingdom AlphaDEX_etf_Close_average,First Trust United Kingdom AlphaDEX_etf_Close_max,First Trust United Kingdom AlphaDEX_etf_Close_min,First Trust United Kingdom AlphaDEX_etf_Close_volatility,First Trust United Kingdom AlphaDEX_etf_Close_change
2016-01-03,37.89,37.89,37.89,0.0,0.0,38.09,38.09,38.09,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.46,37.46,37.46,0.0,0.0
2016-01-10,35.61,35.61,35.61,0.0,0.0,35.61,35.61,35.61,0.0,0.0,34.93,34.93,34.93,0.0,0.0,35.14,35.14,35.14,0.0,0.0
2016-01-17,35.49,35.49,35.49,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.82,35.82,35.82,0.0,0.0
2016-01-24,36.16,36.16,36.16,0.0,0.0,36.63,36.63,36.63,0.0,0.0,35.97,35.97,35.97,0.0,0.0,36.43,36.43,36.43,0.0,0.0
2016-01-31,36.29,36.29,36.29,0.0,0.0,36.29,36.29,36.29,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.56,35.56,35.56,0.0,0.0
2016-02-07,33.95,33.95,33.95,0.0,0.0,34.51,34.51,34.51,0.0,0.0,33.95,33.95,33.95,0.0,0.0,34.51,34.51,34.51,0.0,0.0
2016-02-14,35.55,35.55,35.55,0.0,0.0,36.01,36.01,36.01,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.93,35.93,35.93,0.0,0.0
2016-02-21,35.25,35.25,35.25,0.0,0.0,35.25,35.25,35.25,0.0,0.0,34.96,34.96,34.96,0.0,0.0,35.04,35.04,35.04,0.0,0.0
2016-02-28,36.39,36.39,36.39,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.62,36.62,36.62,0.0,0.0
2016-03-06,36.28,36.28,36.28,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.28,36.28,36.28,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2016-03-13,37.85,37.85,37.85,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.75,37.75,37.75,0.0,0.0
