Date,ASTIStock_Open_average,ASTIStock_Open_max,ASTIStock_Open_min,ASTIStock_Open_volatility,ASTIStock_Open_change,ASTIStock_High_average,ASTIStock_High_max,ASTIStock_High_min,ASTIStock_High_volatility,ASTIStock_High_change,ASTIStock_Low_average,ASTIStock_Low_max,ASTIStock_Low_min,ASTIStock_Low_volatility,ASTIStock_Low_change,ASTIStock_Close_average,ASTIStock_Close_max,ASTIStock_Close_min,ASTIStock_Close_volatility,ASTIStock_Close_change,ASTIStock_Volume_average,ASTIStock_Volume_max,ASTIStock_Volume_min,ASTIStock_Volume_volatility,ASTIStock_Volume_change
2016-01-03,2716.0,2980.0,2400.0,580.0,-580.0,2730.8,2982.0,2440.0,542.0,-542.0,2446.8,2716.0,2200.0,516.0,-498.0,2535.6,2816.0,2294.0,522.0,-522.0,431,637,336,301,81
2016-01-10,1724.0,2040.0,1400.0,640.0,-460.0,1817.2,2200.0,1600.0,600.0,-600.0,1463.6,1790.0,1158.0,632.0,-388.0,1593.2,1998.0,1302.0,696.0,-548.0,581,878,371,507,-276
2016-01-17,1423.5,1522.0,1272.0,250.0,-142.0,1555.0,1728.0,1472.0,256.0,-256.0,1318.0,1480.0,1200.0,280.0,-280.0,1422.0,1620.0,1292.0,328.0,-240.0,465,542,431,111,111
2016-01-24,1433.2,1500.0,1394.0,106.0,38.0,1454.4,1500.0,1394.0,106.0,-62.0,1292.0,1342.0,1200.0,142.0,-42.0,1350.0,1420.0,1270.0,150.0,50.0,485,656,367,289,78
2016-01-31,2100.0,2400.0,1620.0,780.0,-100.0,2275.2,2600.0,1988.0,612.0,-400.0,1802.0,2050.0,1600.0,450.0,-150.0,1908.8,2212.0,1606.0,606.0,-272.0,1197,2454,570,1884,-1884
2016-02-07,2210.4,2400.0,2040.0,360.0,-360.0,2232.0,2400.0,2040.0,360.0,-360.0,1973.6,2060.0,1840.0,220.0,-182.0,2128.4,2276.0,1900.0,376.0,-376.0,508,886,286,600,-480
2016-02-14,1920.0,2000.0,1800.0,200.0,-200.0,1946.0,2004.0,1860.0,144.0,-144.0,1775.0,1820.0,1700.0,120.0,-120.0,1849.0,1900.0,1752.0,148.0,-134.0,405,455,337,118,-62
2016-02-21,1418.0,1838.0,1072.0,766.0,-578.0,1591.6,1838.0,1300.0,538.0,-378.0,1272.0,1700.0,920.0,780.0,-600.0,1463.24,1740.0,1200.0,540.0,-360.0,730,1648,241,1407,-164
2016-02-28,1198.2,1300.0,1075.0,225.0,-180.0,1260.0,1500.0,1100.0,400.0,-380.0,1078.4,1280.0,970.0,310.0,-280.0,1140.0,1292.0,1050.0,242.0,-192.0,392,468,338,130,-12
2016-03-06,1149.2,1170.0,1120.0,50.0,50.0,1375.8,1980.0,1200.0,780.0,740.0,1096.0,1102.0,1080.0,22.0,20.0,1312.868,1980.0,1106.34,873.6600000000001,820.0,468,1109,132,977,709
2016-03-13,1734.6,2421.0,1382.0,1039.0,-821.0,1831.2,2422.0,1494.0,928.0,-782.0,1417.384,1640.0,1286.92,353.0799999999999,-240.0,1545.704,1800.0,1378.0,422.0,-277.48,613,1416,146,1270,-1270
2016-03-20,1434.56,1555.24,1320.0,235.24,-235.24,1492.5,1640.0,1400.0,240.0,-240.0,1265.6,1396.4,1200.0,196.4000000000001,-194.4000000000001,1374.0,1518.0,1280.0,238.0,-198.0,403,574,219,355,-128
2016-03-27,1268.2,1359.0,1210.0,149.0,-119.0,1307.6,1380.0,1260.0,120.0,-80.0,1198.48,1222.0,1183.8,38.200000000000045,29.59999999999991,1228.6,1250.0,1210.0,40.0,21.0,217,338,99,239,-232
2016-04-03,1216.6,1302.0,1140.0,162.0,31.0,1293.6,1398.0,1210.0,188.0,40.0,1135.08,1200.0,1093.4,106.59999999999991,40.0,1197.2,1260.0,1122.0,138.0,4.0,318,409,131,278,-231
2016-04-10,1235.2,1301.0,1189.0,112.0,-112.0,1271.8,1301.0,1238.0,63.0,-63.0,1134.428,1150.0,1120.14,29.8599999999999,22.0,1190.8,1236.0,1140.0,96.0,36.0,255,394,121,273,-164
2016-04-17,1210.4,1240.0,1179.0,61.0,-12.0,1244.0,1280.0,1220.0,60.0,-40.0,1145.36,1180.0,1127.2,52.799999999999955,48.0,1176.8,1200.0,1162.0,38.0,38.0,259,387,104,283,-214
2016-04-24,1163.728,1224.0,1078.0,146.0,-146.0,1176.8,1240.0,1122.0,118.0,-118.0,1064.992,1120.16,1032.0,88.16000000000008,-86.16000000000008,1123.6,1158.0,1098.0,60.0,-60.0,319,419,126,293,-208
2016-05-01,1082.72,1159.6,1021.0,138.5999999999999,-65.0,1120.0,1220.0,1052.0,168.0,-150.0,1001.08,1048.4,980.0,68.40000000000009,-68.40000000000009,1036.0,1060.0,1000.0,60.0,-60.0,367,544,298,246,-243
2016-05-08,933.972,1022.0,719.0,303.0,-303.0,960.0,1060.0,720.0,340.0,-340.0,827.6,958.0,530.0,428.0,-420.0,882.0,990.0,620.0,370.0,-370.0,643,1463,274,1189,950
2016-05-15,519.54,605.0,409.7,195.3,-4.0,577.2,650.0,500.0,150.0,-18.0,417.0,456.0,398.0,58.0,35.0,503.8,640.0,413.0,227.0,-36.0,955,1203,784,419,-157
2016-05-22,463.6,520.0,437.0,83.0,-74.0,482.8,520.0,448.0,72.0,-30.0,406.0,430.0,398.0,32.0,-30.0,448.0,468.0,434.0,34.0,8.0,652,957,356,601,427
2016-05-29,496.25,589.0,405.0,184.0,-94.0,518.5,589.0,405.0,184.0,-95.0,372.3,439.2,270.0,169.2,-160.0,410.25,490.0,281.0,209.0,-189.0,701,1330,250,1080,686
2016-06-05,205.46,295.0,162.3,132.7,-132.7,228.0,295.0,178.0,117.0,-117.0,166.88,181.1,141.0,40.099999999999994,-31.099999999999994,178.68,200.0,150.0,50.0,-36.400000000000006,1341,2260,899,1361,-982
2016-06-12,103.49,146.0,73.0,73.0,-73.0,105.76,150.0,75.0,75.0,-75.0,82.8,115.0,66.0,49.0,-49.0,90.58,120.0,75.0,45.0,-45.0,1274,1458,1056,402,402
2016-06-19,81.37,104.0,66.35,37.650000000000006,-3.6500000000000057,96.46,119.0,73.8,45.2,-45.2,66.2,77.0,55.0,22.0,-15.0,82.316,104.0,64.68,39.31999999999999,-36.0,2873,3619,2369,1250,-1228
