Date,MCY_stock_Open_average,MCY_stock_Open_max,MCY_stock_Open_min,MCY_stock_Open_volatility,MCY_stock_Open_change,MCY_stock_High_average,MCY_stock_High_max,MCY_stock_High_min,MCY_stock_High_volatility,MCY_stock_High_change,MCY_stock_Low_average,MCY_stock_Low_max,MCY_stock_Low_min,MCY_stock_Low_volatility,MCY_stock_Low_change,MCY_stock_Close_average,MCY_stock_Close_max,MCY_stock_Close_min,MCY_stock_Close_volatility,MCY_stock_Close_change,MCY_stock_Volume_average,MCY_stock_Volume_max,MCY_stock_Volume_min,MCY_stock_Volume_volatility,MCY_stock_Volume_change
2016-01-03,45.346000000000004,46.15,44.34,1.8099999999999952,-1.8099999999999952,45.658,46.17,44.34,1.8299999999999983,-1.8099999999999952,44.58,45.36,42.98,2.3800000000000026,-2.2900000000000063,44.922,45.9,43.06,2.8399999999999963,-2.8399999999999963,230336,264846,145627,119219,-16913
2016-01-10,43.93,44.6,43.18,1.4200000000000017,0.5399999999999991,44.652,44.98,44.4,0.5799999999999983,-0.07000000000000028,43.532,43.86,42.97,0.8900000000000006,0.6099999999999994,44.302,44.65,43.79,0.8599999999999994,-0.04999999999999716,227242,259797,192124,67673,41166
2016-01-17,44.185,44.71,43.34,1.3699999999999974,0.05000000000000426,44.775,45.18,44.33,0.8500000000000014,0.3999999999999986,43.88,44.56,43.17,1.3900000000000006,0.6200000000000045,44.292500000000004,44.86,44.01,0.8500000000000014,0.8500000000000014,179500,236991,122908,114083,-29433
2016-01-24,44.906,45.18,44.34,0.8399999999999963,0.4200000000000017,45.634,46.55,45.06,1.4899999999999949,1.4899999999999949,44.556,45.15,44.18,0.9699999999999989,0.9699999999999989,45.168,46.43,44.23,2.200000000000003,2.200000000000003,212841,463209,125502,337707,290860
2016-01-31,45.672000000000004,46.2,45.24,0.9600000000000009,-0.9600000000000009,46.168,46.66,45.71,0.9499999999999957,-0.5,45.232,45.68,45.06,0.6199999999999974,-0.4399999999999977,45.58,45.8,45.33,0.46999999999999886,-0.09999999999999432,141565,165240,123185,42055,-5109
2016-02-07,48.300000000000004,49.31,46.01,3.3000000000000043,2.3700000000000045,49.784,50.2,48.91,1.2900000000000063,0.28000000000000114,48.004,49.11,46.01,3.1000000000000014,2.3700000000000045,49.134,49.79,48.07,1.7199999999999989,0.1700000000000017,261795,341373,198214,143159,-133867
2016-02-14,50.8375,51.6,50.12,1.480000000000004,1.480000000000004,51.775000000000006,53.1,51.27,1.8299999999999983,1.8299999999999983,50.6475,51.6,50.12,1.480000000000004,1.480000000000004,51.41,53.01,50.58,2.4299999999999997,2.280000000000001,195160,334897,140170,194727,187086
2016-02-21,53.242000000000004,53.77,52.42,1.3500000000000014,0.3200000000000003,53.71,53.79,53.59,0.19999999999999574,0.04999999999999716,52.878,53.31,52.42,0.8900000000000006,-0.11999999999999744,53.304,53.57,52.84,0.7299999999999969,-0.28999999999999915,150317,192569,112420,80149,-41545
2016-02-28,53.206,53.95,52.78,1.1700000000000017,0.7600000000000051,53.589999999999996,54.1,53.19,0.9100000000000037,0.8400000000000034,52.916,53.62,52.58,1.0399999999999991,1.0399999999999991,53.344,54.04,52.58,1.4600000000000009,1.4600000000000009,175740,234078,117212,116866,-116866
2016-03-06,53.86,54.12,53.49,0.6299999999999955,-0.19999999999999574,54.394,54.51,54.28,0.22999999999999687,-0.22999999999999687,53.452,53.92,52.7,1.2199999999999989,-0.3200000000000003,53.944,54.44,53.15,1.2899999999999991,-0.23999999999999488,143078,180608,98807,81801,-63625
2016-03-13,53.616,54.04,52.92,1.1199999999999974,0.0799999999999983,54.262,54.96,53.6,1.3599999999999994,0.5700000000000003,53.442,53.95,52.66,1.2900000000000063,0.3500000000000014,53.832,54.3,53.5,0.7999999999999972,0.5300000000000011,169253,288753,132079,156674,134512
2016-03-20,54.035,54.42,53.48,0.9400000000000048,-0.5600000000000023,54.625,54.91,54.24,0.6699999999999946,-0.6699999999999946,53.745,54.07,53.23,0.8400000000000034,-0.7700000000000031,54.2425,54.55,53.68,0.8699999999999974,-0.30999999999999517,117834,142859,97402,45457,14561
2016-03-27,55.334,56.0,54.34,1.6599999999999966,1.019999999999996,55.828,56.02,55.28,0.740000000000002,0.6700000000000017,54.966,55.57,54.15,1.4200000000000017,0.8100000000000023,55.606,55.84,55.27,0.5700000000000003,0.3299999999999983,137618,163387,110606,52781,-21328
2016-04-03,54.228,55.66,53.38,2.279999999999994,-2.279999999999994,54.49,55.66,53.82,1.8399999999999963,-1.8399999999999963,53.474,54.73,52.81,1.9199999999999946,-1.9199999999999946,53.712,54.93,52.99,1.9399999999999977,-1.9399999999999977,133925,198664,99056,99608,-27599
