Date,GROW_stock_Open_average,GROW_stock_Open_max,GROW_stock_Open_min,GROW_stock_Open_volatility,GROW_stock_Open_change,GROW_stock_High_average,GROW_stock_High_max,GROW_stock_High_min,GROW_stock_High_volatility,GROW_stock_High_change,GROW_stock_Low_average,GROW_stock_Low_max,GROW_stock_Low_min,GROW_stock_Low_volatility,GROW_stock_Low_change,GROW_stock_Close_average,GROW_stock_Close_max,GROW_stock_Close_min,GROW_stock_Close_volatility,GROW_stock_Close_change,GROW_stock_Volume_average,GROW_stock_Volume_max,GROW_stock_Volume_min,GROW_stock_Volume_volatility,GROW_stock_Volume_change
2016-03-13,1.676,1.75,1.59,0.15999999999999992,0.08000000000000007,1.724,1.75,1.67,0.08000000000000007,0.010000000000000009,1.614,1.67,1.57,0.09999999999999987,0.04999999999999982,1.686,1.74,1.63,0.1100000000000001,0.040000000000000036,12668,18455,8706,9749,-238
2016-03-20,1.655,1.69,1.61,0.07999999999999985,-0.04999999999999982,1.6749999999999998,1.69,1.64,0.050000000000000044,-0.040000000000000036,1.62,1.67,1.56,0.10999999999999988,-0.08999999999999986,1.6225,1.68,1.56,0.11999999999999988,-0.08999999999999986,5944,19130,990,18140,-1363
2016-03-27,1.674,1.77,1.57,0.19999999999999996,0.17999999999999994,1.744,1.8,1.6,0.19999999999999996,0.17999999999999994,1.642,1.72,1.56,0.15999999999999992,0.1399999999999999,1.71,1.78,1.6,0.17999999999999994,0.09999999999999987,19910,50646,4106,46540,4658
2016-04-03,1.6440000000000001,1.7,1.6,0.09999999999999987,-0.05999999999999983,1.686,1.71,1.65,0.06000000000000005,-0.030000000000000027,1.59,1.66,1.48,0.17999999999999994,-0.1100000000000001,1.648,1.71,1.59,0.11999999999999988,-0.020000000000000018,20187,60336,2379,57957,42007
2016-04-10,1.586,1.6,1.55,0.050000000000000044,0.040000000000000036,1.6219999999999999,1.64,1.6,0.039999999999999813,0.019999999999999796,1.55,1.58,1.51,0.07000000000000006,0.040000000000000036,1.564,1.58,1.54,0.040000000000000036,-0.020000000000000018,13410,20112,8332,11780,2347
2016-04-17,1.608,1.66,1.56,0.09999999999999987,0.030000000000000027,1.664,1.68,1.61,0.06999999999999984,0.06999999999999984,1.582,1.62,1.54,0.08000000000000007,0.050000000000000044,1.61,1.68,1.54,0.1399999999999999,0.07000000000000006,14929,23881,7479,16402,9586
2016-04-24,1.586,1.62,1.56,0.06000000000000005,-0.06000000000000005,1.69,1.94,1.62,0.31999999999999984,0.31000000000000005,1.548,1.58,1.52,0.06000000000000005,0.020000000000000018,1.6520000000000001,1.9,1.58,0.31999999999999984,0.2999999999999998,63495,252054,6713,245341,213172
2016-05-01,1.8499999999999999,1.9,1.75,0.1499999999999999,-0.020000000000000018,1.932,1.98,1.89,0.09000000000000008,0.020000000000000018,1.762,1.82,1.71,0.1100000000000001,0.1100000000000001,1.872,1.95,1.78,0.16999999999999993,0.06000000000000005,46733,113289,13339,99950,-58106
2016-05-08,1.916,1.98,1.84,0.1399999999999999,0.010000000000000009,1.98,2.0,1.95,0.050000000000000044,-0.020000000000000018,1.83,1.89,1.76,0.1299999999999999,-0.04999999999999982,1.874,1.92,1.85,0.06999999999999984,-0.04999999999999982,18536,33198,5641,27557,-2911
2016-05-15,1.848,1.93,1.78,0.1499999999999999,-0.1499999999999999,1.876,1.93,1.84,0.08999999999999986,-0.08999999999999986,1.7770000000000001,1.85,1.705,0.14500000000000002,-0.11499999999999999,1.81,1.88,1.71,0.16999999999999993,-0.16000000000000014,22723,32651,8537,24114,24114
2016-05-22,1.694,1.78,1.61,0.16999999999999993,-0.10999999999999988,1.7504,1.7919999999999998,1.72,0.07199999999999984,-0.07199999999999984,1.618,1.7,1.55,0.1499999999999999,-0.10999999999999988,1.658,1.71,1.6,0.10999999999999988,-0.09999999999999987,19609,46038,8900,37138,11
2016-05-29,1.66,1.69,1.63,0.06000000000000005,0.040000000000000036,1.7325,1.86,1.69,0.17000000000000015,0.17000000000000015,1.62,1.63,1.6,0.029999999999999805,0.0,1.6925,1.79,1.64,0.15000000000000013,0.1100000000000001,22970,46251,7975,38276,16712
2016-06-05,1.902,2.07,1.77,0.2999999999999998,0.15999999999999992,1.994,2.07,1.88,0.18999999999999995,0.16000000000000014,1.82,1.95,1.75,0.19999999999999996,0.1200000000000001,1.9154,2.028,1.77,0.258,0.19099999999999984,48413,69322,35372,33950,-4397
2016-06-12,1.8908,2.0,1.85,0.1499999999999999,-0.1459999999999999,1.9136,2.0,1.88,0.1200000000000001,-0.10000000000000009,1.818,1.88,1.79,0.08999999999999986,-0.07999999999999985,1.8659999999999999,1.9,1.82,0.07999999999999985,0.020000000000000018,18884,38283,4902,33381,-5876
2016-06-19,1.836,1.88,1.78,0.09999999999999987,-0.029999999999999805,1.8872,1.949,1.84,0.10899999999999999,0.009000000000000119,1.776,1.83,1.71,0.1200000000000001,-0.10000000000000009,1.806,1.89,1.75,0.1399999999999999,-0.1399999999999999,55285,207055,6012,201043,198382
2016-06-26,1.7550000000000001,1.83,1.685,0.14500000000000002,-0.13000000000000012,1.854,2.1,1.77,0.33000000000000007,0.27,1.644,1.7,1.6,0.09999999999999987,0.09999999999999987,1.792,2.06,1.69,0.3700000000000001,0.32000000000000006,84412,155954,32457,123497,85641
2016-07-03,2.06,2.15,2.0,0.1499999999999999,0.08999999999999986,2.11425,2.17,2.0,0.16999999999999993,0.16999999999999993,1.9825,2.09,1.88,0.20999999999999996,0.1399999999999999,2.09,2.14,1.97,0.17000000000000015,0.15000000000000013,41010,50253,27567,22686,-19036
2016-07-10,2.234,2.3,2.17,0.1299999999999999,0.050000000000000266,2.2694,2.327,2.21,0.11699999999999999,-0.09699999999999998,2.148,2.16,2.12,0.040000000000000036,-0.010000000000000231,2.23,2.3,2.18,0.11999999999999966,0.0,27304,80796,4934,75862,-75862
2016-07-17,2.198,2.23,2.16,0.06999999999999984,-0.04999999999999982,2.2138,2.23,2.2,0.029999999999999805,-0.009999999999999787,2.154,2.17,2.12,0.04999999999999982,-0.040000000000000036,2.1798,2.199,2.14,0.05899999999999972,-0.05899999999999972,14522,34382,5981,28401,9915
2016-07-24,2.198,2.26,2.11,0.1499999999999999,0.05999999999999961,2.232,2.28,2.16,0.11999999999999966,0.06999999999999984,2.13,2.18,2.09,0.0900000000000003,0.08000000000000007,2.2,2.28,2.11,0.16999999999999993,0.08000000000000007,12815,23974,3723,20251,7657
2016-07-31,2.226,2.28,2.12,0.1599999999999997,-0.13999999999999968,2.235,2.28,2.15,0.1299999999999999,-0.10999999999999988,2.1231999999999998,2.182,2.01,0.17200000000000015,-0.14400000000000013,2.189,2.26,2.065,0.19499999999999984,-0.19499999999999984,29227,45133,16549,28584,26310
2016-08-07,2.0546,2.12,2.0,0.1200000000000001,0.0,2.112,2.12,2.1,0.020000000000000018,-0.020000000000000018,2.022,2.05,1.99,0.05999999999999983,-0.05999999999999983,2.05,2.07,2.04,0.029999999999999805,-0.009999999999999787,21394,61243,7051,54192,51398
2016-08-14,2.082,2.1,2.05,0.050000000000000266,0.040000000000000036,2.1376,2.18,2.1,0.08000000000000007,-0.03000000000000025,2.0362,2.05,2.02,0.029999999999999805,-0.0009999999999998899,2.082,2.1,2.05,0.050000000000000266,-0.03000000000000025,32891,49542,15513,34029,-11963
2016-08-21,2.0389999999999997,2.09,2.005,0.08499999999999996,0.04999999999999982,2.064,2.09,2.03,0.06000000000000005,0.009999999999999787,1.9789999999999999,2.005,1.95,0.05499999999999994,-0.040000000000000036,2.001,2.06,1.96,0.10000000000000009,-0.010000000000000009,13252,22167,4516,17651,-10558
2016-08-28,1.9476,2.0,1.9,0.10000000000000009,-0.08000000000000007,1.9886,2.019,1.954,0.06500000000000017,-0.029000000000000137,1.916,1.95,1.9,0.050000000000000044,-0.050000000000000044,1.953,1.98,1.92,0.06000000000000005,0.014999999999999902,21551,40792,6108,34684,-22170
2016-09-04,1.983,2.02,1.97,0.050000000000000044,0.0,2.045,2.09,1.97,0.11999999999999988,-0.1100000000000001,1.9175,1.96,1.79,0.16999999999999993,-0.16999999999999993,1.96025,2.04,1.871,0.16900000000000004,-0.16900000000000004,35901,74995,10280,64715,35432
