Date,PowerShares S&P SmallCap Financials_etf_Open_average,PowerShares S&P SmallCap Financials_etf_Open_max,PowerShares S&P SmallCap Financials_etf_Open_min,PowerShares S&P SmallCap Financials_etf_Open_volatility,PowerShares S&P SmallCap Financials_etf_Open_change,PowerShares S&P SmallCap Financials_etf_High_average,PowerShares S&P SmallCap Financials_etf_High_max,PowerShares S&P SmallCap Financials_etf_High_min,PowerShares S&P SmallCap Financials_etf_High_volatility,PowerShares S&P SmallCap Financials_etf_High_change,PowerShares S&P SmallCap Financials_etf_Low_average,PowerShares S&P SmallCap Financials_etf_Low_max,PowerShares S&P SmallCap Financials_etf_Low_min,PowerShares S&P SmallCap Financials_etf_Low_volatility,PowerShares S&P SmallCap Financials_etf_Low_change,PowerShares S&P SmallCap Financials_etf_Close_average,PowerShares S&P SmallCap Financials_etf_Close_max,PowerShares S&P SmallCap Financials_etf_Close_min,PowerShares S&P SmallCap Financials_etf_Close_volatility,PowerShares S&P SmallCap Financials_etf_Close_change
2016-01-03,39.24,39.24,39.24,0.0,0.0,39.24,39.24,39.24,0.0,0.0,38.27,38.27,38.27,0.0,0.0,38.27,38.27,38.27,0.0,0.0
2016-01-10,36.53,36.53,36.53,0.0,0.0,36.86,36.86,36.86,0.0,0.0,36.02,36.02,36.02,0.0,0.0,36.79,36.79,36.79,0.0,0.0
2016-01-17,36.52,36.52,36.52,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2016-01-24,37.15,37.15,37.15,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2016-01-31,37.22,37.22,37.22,0.0,0.0,37.24,37.24,37.24,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.84,36.84,36.84,0.0,0.0
2016-02-07,35.93,35.93,35.93,0.0,0.0,36.36,36.36,36.36,0.0,0.0,35.82,35.82,35.82,0.0,0.0,36.26,36.26,36.26,0.0,0.0
2016-02-14,37.18,37.18,37.18,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.18,37.18,37.18,0.0,0.0,37.41,37.41,37.41,0.0,0.0
2016-02-21,38.17,38.17,38.17,0.0,0.0,38.56,38.56,38.56,0.0,0.0,38.17,38.17,38.17,0.0,0.0,38.33,38.33,38.33,0.0,0.0
2016-02-28,39.67,39.67,39.67,0.0,0.0,39.97,39.97,39.97,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.82,39.82,39.82,0.0,0.0
2016-03-06,39.8,39.8,39.8,0.0,0.0,40.35,40.35,40.35,0.0,0.0,39.68,39.68,39.68,0.0,0.0,40.35,40.35,40.35,0.0,0.0
