Date,EMCF_stock_Open_average,EMCF_stock_Open_max,EMCF_stock_Open_min,EMCF_stock_Open_volatility,EMCF_stock_Open_change,EMCF_stock_High_average,EMCF_stock_High_max,EMCF_stock_High_min,EMCF_stock_High_volatility,EMCF_stock_High_change,EMCF_stock_Low_average,EMCF_stock_Low_max,EMCF_stock_Low_min,EMCF_stock_Low_volatility,EMCF_stock_Low_change,EMCF_stock_Close_average,EMCF_stock_Close_max,EMCF_stock_Close_min,EMCF_stock_Close_volatility,EMCF_stock_Close_change,EMCF_stock_Volume_average,EMCF_stock_Volume_max,EMCF_stock_Volume_min,EMCF_stock_Volume_volatility,EMCF_stock_Volume_change
2016-01-03,24.2525,24.6,23.86,0.740000000000002,-0.6900000000000013,24.34,24.6,23.86,0.740000000000002,-0.740000000000002,23.925,24.0,23.86,0.14000000000000057,0.0,24.0425,24.3,23.86,0.4400000000000013,-0.15000000000000213,1135,2377,27,2350,-989
2016-01-10,23.855,23.95,23.71,0.23999999999999844,-0.23999999999999844,23.995,24.1,23.84,0.26000000000000156,-0.060000000000002274,23.8375,23.95,23.71,0.23999999999999844,-0.23999999999999844,23.9575,24.1,23.84,0.26000000000000156,-0.060000000000002274,900,2450,163,2287,365
2016-01-17,23.48,23.67,23.25,0.4200000000000017,-0.1700000000000017,23.48,23.67,23.25,0.4200000000000017,-0.1700000000000017,23.4175,23.67,23.25,0.4200000000000017,-0.4200000000000017,23.4175,23.67,23.25,0.4200000000000017,-0.4200000000000017,147,356,0,356,-319
2016-01-24,23.84,24.38,23.26,1.1199999999999974,-0.6199999999999974,24.099999999999998,24.45,23.88,0.5700000000000003,0.08999999999999986,23.8,24.26,23.26,1.0,-0.6199999999999974,24.046666666666667,24.29,23.88,0.41000000000000014,0.08999999999999986,471,970,10,960,536
2016-01-31,23.815,24.21,23.51,0.6999999999999993,0.5199999999999996,23.815,24.21,23.51,0.6999999999999993,0.5199999999999996,23.4825,23.72,23.26,0.4599999999999973,-0.4299999999999997,23.5825,23.72,23.26,0.4599999999999973,-0.030000000000001137,433,1131,78,1053,1025
2016-02-07,23.594,23.97,22.74,1.2300000000000004,-1.2300000000000004,23.596,23.98,22.74,1.240000000000002,-1.240000000000002,23.364,23.79,22.73,1.0599999999999987,-0.9199999999999982,23.364,23.79,22.73,1.0599999999999987,-0.9199999999999982,1392,3207,68,3139,-2676
2016-02-14,23.259999999999998,24.0,22.45,1.5500000000000007,-1.25,23.2725,24.0,22.5,1.5,-1.25,23.2375,23.91,22.45,1.4600000000000009,-1.1600000000000001,23.2375,23.91,22.45,1.4600000000000009,-1.1600000000000001,308,569,6,563,75
2016-02-21,23.275,23.63,22.75,0.879999999999999,-0.879999999999999,23.41,23.87,22.75,1.120000000000001,-0.879999999999999,23.060000000000002,23.42,22.75,0.6700000000000017,-0.019999999999999574,23.125,23.59,22.75,0.8399999999999999,-0.019999999999999574,308,749,4,745,-745
2016-02-28,23.598,24.0,22.6,1.3999999999999986,0.18999999999999773,24.004,24.25,23.69,0.5599999999999987,0.5599999999999987,23.4,24.0,22.6,1.3999999999999986,1.1799999999999997,23.806,24.25,22.7,1.5500000000000007,1.5500000000000007,569,1436,119,1317,15
2016-03-06,24.073333333333334,24.25,23.81,0.4400000000000013,0.3500000000000014,24.073333333333334,24.25,23.81,0.4400000000000013,0.3500000000000014,23.966666666666665,24.25,23.81,0.4400000000000013,0.030000000000001137,23.973333333333333,24.25,23.81,0.4400000000000013,0.05000000000000071,258,450,0,450,125
